year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2025,year,1,1,2,A,,8/16/24,8/11/25,360,Mixed,C,2.35,4.234,5,1.884,3.116
2025,year,1,1,6,B,,8/16/24,8/11/25,360,Mixed,C,2.37,4.118,5,1.748,3.252
2025,year,1,1,8,C,,8/16/24,8/11/25,360,Mixed,C,2.38,4.062,5,1.682,3.318
2025,year,2,1,1,A,,8/16/24,8/11/25,360,Mixed,R,2.39,3.73,5,1.34,3.66
2025,year,2,1,2,B,,8/16/24,8/11/25,360,Mixed,R,2.4,4.356,5,1.956,3.044
2025,year,2,1,4,C,,8/16/24,8/11/25,360,Mixed,R,2.36,3.546,5,1.186,3.814
2025,year,3,2,1,A,yes,8/16/24,8/11/25,360,Castilleja,C,,,5,,
2025,year,3,2,2,B,,8/16/24,8/11/25,360,Castilleja,C,2.39,4.186,5,1.796,3.204
2025,year,3,2,5,C,,8/16/24,8/11/25,360,Castilleja,C,2.37,3.361,5,0.991,4.009
2025,year,4,2,5,A,,8/16/24,8/11/25,360,Castilleja,R,2.38,3.715,5,1.335,3.665
2025,year,4,2,3,B,,8/16/24,8/11/25,360,Castilleja,R,2.38,4.586,5,2.206,2.794
2025,year,4,2,8,C,,8/16/24,8/11/25,360,Castilleja,R,2.37,3.765,5,1.395,3.605
2025,year,5,2,2,A,,8/16/24,8/11/25,360,Community,R,2.39,3.798,5,1.408,3.592
2025,year,5,2,4,B,,8/16/24,8/11/25,360,Community,R,2.35,4.029,5,1.679,3.321
2025,year,5,2,3,C,,8/16/24,8/11/25,360,Community,R,2.33,4.137,5,1.807,3.193
2025,year,6,2,2,A,,8/16/24,8/11/25,360,Community,C,2.37,4.533,5,2.163,2.837
2025,year,6,2,6,B,,8/16/24,8/11/25,360,Community,C,2.41,3.71,5,1.3,3.7
2025,year,6,2,4,C,,8/16/24,8/11/25,360,Community,C,2.37,4.349,5,1.979,3.021
2025,year,7,2,3,A,yes,8/16/24,8/11/25,360,Mixed,R,,,5,,
2025,year,7,2,4,B,,8/16/24,8/11/25,360,Mixed,R,2.351,3.563,5,1.212,3.788
2025,year,7,2,7,C,,8/16/24,8/11/25,360,Mixed,R,2.372,4.435,5,2.063,2.937
2025,year,8,2,4,A,,8/16/24,8/11/25,360,Mixed,C,2.36,3.853,5,1.493,3.507
2025,year,8,2,4,B,,8/16/24,8/11/25,360,Mixed,C,2.41,4.624,5,2.214,2.786
2025,year,8,2,7,C,,8/16/24,8/11/25,360,Mixed,C,2.43,4.749,5,2.319,2.681
2025,year,9,3,2,A,,8/16/24,8/11/25,360,Mixed,C,2.35,4.143,5,1.793,3.207
2025,year,9,3,4,B,,8/16/24,8/11/25,360,Mixed,C,2.41,4.202,5,1.792,3.208
2025,year,9,3,9,C,,8/16/24,8/11/25,360,Mixed,C,2.4,4.733,5,2.333,2.667
2025,year,10,3,6,A,,8/16/24,8/11/25,360,Mixed,R,3.58,5.76,5,2.18,2.82
2025,year,10,3,3,B,,8/16/24,8/11/25,360,Mixed,R,3.595,5.957,5,2.362,2.638
2025,year,10,3,5,C,,8/16/24,8/11/25,360,Mixed,R,3.639,5.857,5,2.218,2.782
2025,year,11,3,2,A,,8/16/24,8/11/25,360,Community,R,2.335,4.579,5,2.244,2.756
2025,year,11,3,3,B,,8/16/24,8/11/25,360,Community,R,3.56,5.486,5,1.926,3.074
2025,year,11,3,5,C,,8/16/24,8/11/25,360,Community,R,2.362,4.08,5,1.718,3.282
2025,year,12,3,2,A,,8/16/24,8/11/25,360,Community,C,2.37,4.251,5,1.881,3.119
2025,year,12,3,4,B,yes,8/16/24,8/11/25,360,Community,C,,,5,,
2025,year,12,3,8,C,,8/16/24,8/11/25,360,Community,C,2.39,4.257,5,1.867,3.133
2025,year,13,4,1,A,,8/16/24,8/11/25,360,Castilleja,C,2.41,3.906,5,1.496,3.504
2025,year,13,4,3,B,,8/16/24,8/11/25,360,Castilleja,C,2.36,4.108,5,1.748,3.252
2025,year,13,4,7,C,,8/16/24,8/11/25,360,Castilleja,C,2.4,4.188,5,1.788,3.212
2025,year,14,4,2,A,,8/16/24,8/11/25,360,Castilleja,R,2.39,4.367,5,1.977,3.023
2025,year,14,4,5,B,,8/16/24,8/11/25,360,Castilleja,R,2.39,4.614,5,2.224,2.776
2025,year,14,4,8,C,,8/16/24,8/11/25,360,Castilleja,R,2.41,3.88,5,1.47,3.53
2025,year,17,5,2,A,,8/16/24,8/11/25,360,Mixed,C,3.54,5.74,5,2.2,2.8
2025,year,17,5,5,B,,8/16/24,8/11/25,360,Mixed,C,3.62,5.354,5,1.734,3.266
2025,year,17,5,4,C,,8/16/24,8/11/25,360,Mixed,C,3.53,6.135,5,2.605,2.395
2025,year,18,5,8,A,,8/16/24,8/11/25,360,Mixed,R,3.59,5.608,5,2.018,2.982
2025,year,18,5,6,B,,8/16/24,8/11/25,360,Mixed,R,3.58,5.12,5,1.54,3.46
2025,year,18,5,4,C,,8/16/24,8/11/25,360,Mixed,R,3.575,4.893,5,1.318,3.682
2025,year,21,3,1,A,,8/16/24,8/11/25,360,Castilleja,C,2.41,4.659,5,2.249,2.751
2025,year,21,3,7,B,,8/16/24,8/11/25,360,Castilleja,C,2.4,4.45,5,2.05,2.95
2025,year,21,3,8,C,,8/16/24,8/11/25,360,Castilleja,C,2.38,4.701,5,2.321,2.679
2025,year,22,3,7,A,,8/16/24,8/11/25,360,Castilleja,R,2.4,4.559,5,2.159,2.841
2025,year,22,3,8,B,,8/16/24,8/11/25,360,Castilleja,R,2.38,4.447,5,2.067,2.933
2025,year,22,3,4,C,,8/16/24,8/11/25,360,Castilleja,R,2.42,4.183,5,1.763,3.237
2025,year,27,1,3,A,,8/16/24,8/11/25,360,Community,C,2.355,3.64,5,1.285,3.715
