year,deployment_period,plot,block,location,bag,missing,ups_missing ,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2025,Overwinter,1,1,5,A,no,no,8/16/24,6/17/25,303,Mixed,C,2.484,4.042,5,1.558,3.442
2025,Overwinter,1,1,3,B,no,yes,8/16/24,6/17/25,303,Mixed,C,2.505,,5,,
2025,Overwinter,1,1,1,C,no,yes,8/16/24,6/17/25,303,Mixed,C,2.518,,5,,
2025,Overwinter,2,1,8,B,no,no,8/16/24,6/17/25,303,Mixed,R,2.543,4.319,5,1.776,3.224
2025,Overwinter,2,1,5,A,no,yes,8/16/24,6/17/25,303,Mixed,R,2.475,,5,,
2025,Overwinter,2,1,9,C,no,yes,8/16/24,6/17/25,303,Mixed,R,2.485,,5,,
2025,Overwinter,3,2,4,B,no,no,8/16/24,6/17/25,303,Castilleja,C,2.275,4.558,5,2.283,2.717
2025,Overwinter,3,2,3,A,no,yes,8/16/24,6/17/25,303,Castilleja,C,2.469,,5,,
2025,Overwinter,3,2,6,C,no,yes,8/16/24,6/17/25,303,Castilleja,C,2.475,,5,,
2025,Overwinter,4,2,2,B,no,no,8/16/24,6/17/25,303,Castilleja,R,2.473,4.234,5,1.761,3.239
2025,Overwinter,4,2,1,A,no,yes,8/16/24,6/17/25,303,Castilleja,R,2.498,,5,,
2025,Overwinter,4,2,7,C,yes,yes,8/16/24,,303,Castilleja,R,2.487,,5,,
2025,Overwinter,5,2,6,A,no,yes,8/16/24,6/17/25,303,Community,R,2.454,,5,,
2025,Overwinter,5,2,9,B,no,yes,8/16/24,6/17/25,303,Community,R,2.492,,5,,
2025,Overwinter,5,2,1,C,no,yes,8/16/24,6/17/25,303,Community,R,2.444,,5,,
2025,Overwinter,6,2,9,C,no,no,8/16/24,6/17/25,303,Community,C,2.482,3.547,5,1.065,3.935
2025,Overwinter,6,2,3,A,no,yes,8/16/24,6/17/25,303,Community,C,2.494,,5,,
2025,Overwinter,6,2,7,B,no,yes,8/16/24,6/17/25,303,Community,C,2.522,,5,,
2025,Overwinter,7,2,5,A,yes,yes,8/16/24,,303,Mixed,R,2.465,,5,,
