Year,site,field_plot,pair,plot,block,litter,removal,elevation,disturbance_distance,disturbance_type,diversity,richness,evenness,soil_moisture,summer_precip,summer_temp,snowpack,snowfall
2023,Emerald Lake ,1A,1,1,1,Mixed,R,3214.53,3.81,Treeline,2.13328292,15,0.78775605,5.68,0.80,19.35,246,362.6
2023,Emerald Lake ,1B,1,2,1,Mixed,C,3214.30,5,Treeline,2.20085322,13,0.85804939,6.58,0.80,19.35,246,362.6
2023,Emerald Lake ,2A,2,3,2,Castilleja,C,3214.13,2.95,Trail,1.84482189,9,0.83961463,7.08,0.80,19.35,246,362.6
2023,Emerald Lake ,2B,2,4,2,Castilleja,R,3214.69,4.62,Treeline,2.28434038,13,0.89059863,6.06,0.80,19.35,246,362.6
2023,Emerald Lake ,3A,3,5,2,Community,R,3213.22,5.78,Treeline,2.22409876,13,0.86711215,5.49,0.80,19.35,246,362.6
2023,Emerald Lake ,3B,3,6,2,Community,C,3213.49,7,Creek,2.18343658,16,0.78750828,5.77,0.80,19.35,246,362.6
2023,Emerald Lake ,4A,4,7,2,Mixed,R,3212.75,6.12,Treeline,2.10480992,14,0.79756127,6.31,0.80,19.35,246,362.6
2023,Emerald Lake ,4B,4,8,2,Mixed,C,3212.82,6.8,Creek,2.36192887,16,0.85188577,6.30,0.80,19.35,246,362.6
2023,Emerald Lake ,5A,5,9,3,Mixed,C,3214.16,3.46,Treeline,1.75982477,10,0.76428219,7.92,0.80,19.35,246,362.6
2023,Emerald Lake ,5B,5,10,3,Mixed,R,3214.76,5.78,Trail,2.1400965,13,0.83436209,7.32,0.80,19.35,246,362.6
2023,Emerald Lake ,6A,6,11,3,Community,R,3218.01,4.27,Treeline,2.29764551,14,0.87063115,6.64,0.80,19.35,246,362.6
2023,Emerald Lake ,6B,6,12,3,Community,C,3214.81,5.16,Treeline,2.09980873,15,0.77539505,5.56,0.80,19.35,246,362.6
2023,Emerald Lake ,7A,7,13,4,Castilleja,C,3210.22,3.3,Treeline,1.97337397,12,0.79414411,4.38,0.80,19.35,246,362.6
2023,Emerald Lake ,7B,7,14,4,Castilleja,R,3210.28,4.7,Treeline,1.98350212,15,0.73244659,7.69,0.80,19.35,246,362.6
2023,Emerald Lake ,8A,8,15,4,Control,C,3207.14,4.18,Treeline,2.0366125,10,0.88448957,5.97,0.80,19.35,246,362.6
2023,Emerald Lake ,8B,8,16,4,Control,R,3209.16,4.61,Treeline,1.90995684,12,0.76862318,5.97,0.80,19.35,246,362.6
2023,Emerald Lake ,9A,9,17,5,Mixed,C,3208.28,3.12,Treeline,1.72524608,12,0.6942901,6.11,0.80,19.35,246,362.6
2023,Emerald Lake ,9B,9,18,5,Mixed,R,3207.11,4.35,Treeline,2.01910548,15,0.74559381,5.90,0.80,19.35,246,362.6
2023,Emerald Lake ,10A,10,19,5,Control,C,3207.27,2.22,Treeline,2.06920087,13,0.80672192,8.90,0.80,19.35,246,362.6
2023,Emerald Lake ,10B,10,20,5,Control,R,3207.81,2.57,Treeline,2.13886658,15,0.78981792,6.60,0.80,19.35,246,362.6
2023,Emerald Lake ,11A,11,21,3,Castilleja,C,3211.66,9.25,Creek,2.3050727,16,0.83137924,4.05,0.80,19.35,246,362.6
2023,Emerald Lake ,11B,11,22,3,Castilleja,R,3211.10,5.93,Creek,1.94585715,10,0.84507502,7.10,0.80,19.35,246,362.6
2023,Emerald Lake ,12A,12,23,3,Control,C,3215.35,6.92,Treeline,1.9743734,13,0.76975141,7.13,0.80,19.35,246,362.6
2023,Emerald Lake ,12B,12,24,3,Control,R,3211.64,9.6,Creek,2.07200781,13,0.80781627,6.87,0.80,19.35,246,362.6
