sample-id,year,year_code,site,site_code,plot,pair,block,litter,removal,removal_held,elevation,disturbance_distance,disturbance_type,soil_moisture,summer_precip,summer_temp,snowpack,snowfall,plate_row,plate_column,project_id,ggbc_filename
EL1A,2024,A,Emerald Lake,EL,1,1,1,Mixed,R,,3214.53,3.81,Treeline,9.7,2.24,18.13,164,300.4,A,1,7160,7160_EL1A-ds.34bda5b8ca1a4701a60486988f4c6a85
EL1B,2025,B,Emerald Lake,EL,1,1,1,Mixed,R,yes,3214.53,3.81,Treeline,2.59,1.0,19.74,90,226.0,A,6,7160,7160_EL1B-ds.e570e17c2a4f495c82c3fb17f6771d9e
EL2A,2024,A,Emerald Lake,EL,2,1,1,Mixed,C,,3214.3,5.0,Treeline,10.3,2.24,18.13,164,300.4,B,1,7160,7160_EL2A-ds.d3c6a830c4694034a303714e3d45d77f
EL2B,2025,B,Emerald Lake,EL,2,1,1,Mixed,C,yes,3214.3,5.0,Treeline,2.51,1.0,19.74,90,226.0,D,7,7160,7160_EL2B-ds.df5b8355f84c4f7a883eff7c0bf36e5c
EL3A,2024,A,Emerald Lake,EL,3,2,2,Castilleja,C,,3214.13,2.95,Trail,9.95,2.24,18.13,164,300.4,C,1,7160,7160_EL3A-ds.38063dfb8e0c4ac4af7d63eb7194a4e6
EL3B,2025,B,Emerald Lake,EL,3,2,2,Castilleja,C,yes,3214.13,2.95,Trail,2.89,1.0,19.74,90,226.0,C,6,7160,7160_EL3B-ds.3e36287c11fc4452a002ca86507dcb94
EL4A,2024,A,Emerald Lake,EL,4,2,2,Castilleja,R,,3214.69,4.62,Treeline,6.34,2.24,18.13,164,300.4,D,1,7160,7160_EL4A-ds.86532a8f2a724a2490fb3282f32daf70
EL4B,2025,B,Emerald Lake,EL,4,2,2,Castilleja,R,yes,3214.69,4.62,Treeline,3.19,1.0,19.74,90,226.0,D,6,7160,7160_EL4B-ds.541bb3e0209a4c53a0ca0b6a20770240
EL5A,2024,A,Emerald Lake,EL,5,3,2,Community,R,,3213.22,5.78,Treeline,7.45,2.24,18.13,164,300.4,E,1,7160,7160_EL5A-ds.9478fc664b4e4ee8956c83baae9458d9
EL5B,2025,B,Emerald Lake,EL,5,3,2,Community,R,yes,3213.22,5.78,Treeline,2.5,1.0,19.74,90,226.0,E,6,7160,7160_EL5B-ds.3fcf7df6b0ab4819bcbbb45a22b180e5
EL6A,2024,A,Emerald Lake,EL,6,3,2,Community,C,,3213.49,7.0,Creek,6.18,2.24,18.13,164,300.4,F,1,7160,7160_EL6A-ds.3a04d5bb04044cd49a872774de2b39d2
EL6B,2025,B,Emerald Lake,EL,6,3,2,Community,C,yes,3213.49,7.0,Creek,2.93,1.0,19.74,90,226.0,F,6,7160,7160_EL6B-ds.c846cbf171114c2d881416c75cd57660
EL7A,2024,A,Emerald Lake,EL,7,4,2,Mixed,R,,3212.75,6.12,Treeline,7.25,2.24,18.13,164,300.4,G,1,7160,7160_EL7A-ds.d1fe17572d5741b58e38b13158c310c0
EL7B,2025,B,Emerald Lake,EL,7,4,2,Mixed,R,yes,3212.75,6.12,Treeline,2.59,1.0,19.74,90,226.0,G,6,7160,7160_EL7B-ds.8a67de330d144fa6a69415a024225e93
EL8A,2024,A,Emerald Lake,EL,8,4,2,Mixed,C,,3212.82,6.8,Creek,8.8,2.24,18.13,164,300.4,H,1,7160,7160_EL8A-ds.3ef693b16d5a451da5217ddf2ab0d707
EL8B,2025,B,Emerald Lake,EL,8,4,2,Mixed,C,yes,3212.82,6.8,Creek,3.0,1.0,19.74,90,226.0,H,6,7160,7160_EL8B-ds.2fe1710e2e1c43839d2d5a9604ccc5c4
EL9A,2024,A,Emerald Lake,EL,9,5,3,Mixed,C,,3214.16,3.46,Treeline,10.43,2.24,18.13,164,300.4,A,2,7160,7160_EL9A-ds.d193acbb14bf47f79117dd15fc0b4fcf
EL9B,2025,B,Emerald Lake,EL,9,5,3,Mixed,C,yes,3214.16,3.46,Treeline,5.48,1.0,19.74,90,226.0,A,7,7160,7160_EL9B-ds.5d80641a1fdd4c1a80b877b7cb3913b2
EL10A,2024,A,Emerald Lake,EL,10,5,3,Mixed,R,,3214.76,5.78,Trail,9.31,2.24,18.13,164,300.4,B,2,7160,7160_EL10A-ds.7001c5355cb14bbd940ccab93f41a4e8
EL10B,2025,B,Emerald Lake,EL,10,5,3,Mixed,R,yes,3214.76,5.78,Trail,3.94,1.0,19.74,90,226.0,B,7,7160,7160_EL10B-ds.3c12c07f222142ca88ad050e8658ca31
EL11A,2024,A,Emerald Lake,EL,11,6,3,Community,R,,3218.01,4.27,Treeline,5.5,2.24,18.13,164,300.4,C,2,7160,7160_EL11A-ds.7019267904be4bd88a53b34e99426066
EL11B,2025,B,Emerald Lake,EL,11,6,3,Community,R,yes,3218.01,4.27,Treeline,3.38,1.0,19.74,90,226.0,C,7,7160,7160_EL11B-ds.379bcb653c684bb8ae2b0317bf6caf28
