OTU_ID,EL10A,EL10B,EL11A,EL11B,EL12A,EL12B,EL13A,EL13B,EL14A,EL14B,EL15A,EL15B,EL16A,EL16B,EL17A,EL17B,EL18A,EL19A,EL19B,EL1A,EL1B,EL20A,EL20B,EL21A,EL21B,EL22A,EL22B,EL23A,EL23B,EL24A,EL24B,EL25A,EL25B,EL26A,EL26B,EL27A,EL27B,EL28A,EL28B,EL29A,EL29B,EL2A,EL2B,EL30A,EL30B,EL31A,EL31B,EL32A,EL32B,EL33A,EL33B,EL34A,EL34B,EL35A,EL36A,EL36B,EL37A,EL37B,EL38A,EL39A,EL39B,EL3A,EL3B,EL4A,EL4B,EL5A,EL5B,EL6A,EL6B,EL7A,EL7B,EL8A,EL8B,EL9A,EL9B,taxonomy,confidence
a13126c8cd3af9615dd58c10c9e8255a,20583.0,11229.0,6927.0,14589.0,27670.0,14461.0,22655.0,19325.0,9344.0,7813.0,23157.0,16610.0,23665.0,11084.0,12254.0,9787.0,9913.0,11993.0,36441.0,3414.0,22471.0,5903.0,20397.0,29861.0,10578.0,6995.0,8203.0,4951.0,11363.0,15350.0,10041.0,22440.0,10336.0,29194.0,21374.0,7005.0,7308.0,17089.0,8746.0,2784.0,7762.0,29379.0,15323.0,13953.0,2553.0,2462.0,2471.0,4466.0,5424.0,825.0,8851.0,8909.0,12486.0,42255.0,2686.0,1533.0,90.0,2284.0,2483.0,15900.0,7953.0,23874.0,17923.0,11614.0,17297.0,15535.0,10405.0,6564.0,6123.0,26014.0,15733.0,12581.0,12422.0,11278.0,2968.0,k__Fungi;p__Ascomycota,0.999650579169081
2e7e4a668bff9694904f77ca59a16d29,7253.0,6935.0,5641.0,12668.0,2481.0,13957.0,2903.0,6682.0,2889.0,18747.0,1249.0,21938.0,921.0,3354.0,2172.0,9747.0,5035.0,380.0,1198.0,28570.0,6147.0,7.0,3680.0,10284.0,11132.0,5249.0,6791.0,4078.0,16612.0,8688.0,7593.0,134.0,28239.0,753.0,7657.0,1720.0,6087.0,16153.0,10509.0,1329.0,2786.0,1892.0,10661.0,4330.0,978.0,1012.0,1450.0,1013.0,2700.0,2136.0,6786.0,3866.0,5229.0,13002.0,6960.0,7323.0,145.0,8887.0,7846.0,7565.0,10073.0,2074.0,2751.0,619.0,4061.0,6099.0,8267.0,7762.0,5650.0,4085.0,6566.0,2669.0,7132.0,17019.0,4592.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum;sh__SH1335104.10FU,0.8542631869630992
91c3ca119815aaa4bb55dc35e3f34101,8941.0,10286.0,13707.0,5229.0,16493.0,5297.0,3575.0,8177.0,16720.0,20412.0,6832.0,6773.0,7002.0,3339.0,4748.0,4152.0,2695.0,3755.0,4359.0,9334.0,6558.0,893.0,3049.0,5663.0,5202.0,3529.0,7466.0,6801.0,5179.0,7577.0,8041.0,8770.0,6055.0,9743.0,7860.0,16646.0,8249.0,5172.0,7280.0,12179.0,9521.0,6993.0,5878.0,3090.0,9830.0,10943.0,3475.0,6666.0,12427.0,256.0,11268.0,2169.0,7679.0,11586.0,5592.0,10475.0,72.0,2242.0,5844.0,10810.0,9555.0,7240.0,7379.0,12858.0,7784.0,3170.0,3533.0,1336.0,3968.0,4128.0,6302.0,4023.0,8774.0,12191.0,12029.0,k__Fungi;p__Ascomycota;c__Sordariomycetes,0.9998149543736928
a69bcef111dd7823000c4e581a16c7b7,7319.0,6601.0,12598.0,8555.0,9920.0,4975.0,4362.0,4998.0,11640.0,6148.0,2872.0,4741.0,5659.0,4879.0,6368.0,10088.0,7501.0,1844.0,5046.0,6431.0,14124.0,9491.0,2552.0,4945.0,12299.0,31506.0,16785.0,8857.0,8513.0,15077.0,8290.0,8417.0,5266.0,13826.0,11276.0,4258.0,3322.0,1420.0,3728.0,196.0,2367.0,11864.0,9652.0,595.0,2548.0,226.0,2815.0,790.0,1272.0,13369.0,5513.0,5825.0,6900.0,3096.0,3618.0,25340.0,809.0,8948.0,16728.0,3470.0,1810.0,5755.0,4577.0,48002.0,15860.0,10726.0,12723.0,36379.0,16400.0,25157.0,9276.0,7284.0,8970.0,2949.0,2199.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_pimprinum;sh__SH1213578.10FU,0.8023273832935023
e42af37b3ba83bb4503dd99a5b4837aa,5984.0,3872.0,1354.0,4310.0,430.0,4084.0,2513.0,7336.0,10506.0,1331.0,4649.0,4025.0,1898.0,640.0,5070.0,2929.0,39.0,1634.0,2519.0,99.0,4270.0,8770.0,5329.0,310.0,2101.0,25.0,1042.0,4277.0,2630.0,350.0,354.0,2279.0,1018.0,1522.0,870.0,298.0,3514.0,0.0,6295.0,7469.0,6812.0,987.0,1448.0,6377.0,2476.0,962.0,14136.0,9905.0,4142.0,21.0,4564.0,0.0,1708.0,9.0,14639.0,5179.0,4.0,2509.0,0.0,2832.0,904.0,6614.0,7822.0,2521.0,1998.0,407.0,985.0,0.0,1210.0,7.0,2147.0,596.0,2701.0,310.0,5096.0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terricola;sh__SH1324252.10FU,0.977555255148572
2d7fae2280ef3914303b7221781693ba,941.0,640.0,1656.0,1500.0,9133.0,1132.0,2191.0,1798.0,1118.0,567.0,2863.0,1372.0,6810.0,1461.0,3676.0,838.0,12754.0,4556.0,976.0,624.0,1145.0,6888.0,1416.0,957.0,551.0,1734.0,514.0,810.0,813.0,2836.0,789.0,4029.0,1050.0,3942.0,1542.0,4770.0,899.0,2874.0,949.0,1292.0,813.0,4563.0,702.0,733.0,233.0,3763.0,483.0,3382.0,776.0,18743.0,863.0,6177.0,991.0,6662.0,1289.0,703.0,432.0,605.0,1928.0,510.0,280.0,1021.0,1122.0,992.0,307.0,1471.0,323.0,16254.0,850.0,7340.0,1168.0,3023.0,1729.0,2761.0,799.0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Pleotrichocladium;s__Pleotrichocladium_opacum;sh__SH1233085.10FU,0.7881222307072572
bb90c6a4303ea6539e8ea0538dfb7eb2,1943.0,2985.0,840.0,2913.0,2015.0,5418.0,1571.0,3303.0,5795.0,2606.0,651.0,957.0,1651.0,1177.0,1040.0,1683.0,389.0,171.0,410.0,352.0,2572.0,56.0,1188.0,1039.0,3921.0,219.0,1484.0,3977.0,943.0,679.0,1331.0,1772.0,2038.0,1272.0,1446.0,12848.0,4679.0,1013.0,1513.0,2250.0,5040.0,1959.0,4675.0,15500.0,3396.0,1697.0,8375.0,1296.0,3752.0,43.0,1895.0,64.0,1588.0,738.0,1257.0,1152.0,40.0,2156.0,2251.0,2616.0,1395.0,6206.0,7211.0,1206.0,4608.0,1228.0,2352.0,197.0,806.0,1423.0,1788.0,796.0,960.0,1093.0,1612.0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_watticus;sh__SH1358780.10FU,0.9996043245715376
b316aca0b1dcf6d5e2f07f4f25dca3c4,2676.0,1666.0,1494.0,3774.0,2157.0,1941.0,6361.0,2760.0,274.0,383.0,3773.0,2025.0,2481.0,922.0,3591.0,731.0,514.0,991.0,1165.0,410.0,3830.0,6639.0,2236.0,1045.0,626.0,159.0,288.0,1307.0,1166.0,557.0,116.0,5848.0,1456.0,1582.0,1767.0,2578.0,2163.0,125.0,1473.0,2772.0,880.0,2562.0,651.0,2360.0,1373.0,2291.0,5763.0,6665.0,853.0,60.0,1172.0,68.0,1302.0,223.0,11001.0,1230.0,15.0,1067.0,45.0,191.0,74.0,7324.0,3233.0,3299.0,343.0,2779.0,510.0,171.0,1531.0,168.0,920.0,1594.0,4883.0,1155.0,3129.0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus_roseus;sh__SH1357971.10FU,0.9929154790329084
444880d5c2139dfb29216a787eface2e,1478.0,2434.0,1707.0,2006.0,350.0,1159.0,1213.0,666.0,643.0,1512.0,115.0,884.0,205.0,4696.0,674.0,1906.0,1973.0,63.0,150.0,5779.0,501.0,0.0,997.0,1530.0,3296.0,10028.0,1253.0,1303.0,2430.0,1936.0,4204.0,11.0,579.0,98.0,285.0,328.0,1399.0,3562.0,1074.0,69.0,576.0,1297.0,1484.0,2889.0,29.0,173.0,246.0,27.0,305.0,5023.0,385.0,12730.0,1359.0,9587.0,5727.0,1136.0,184.0,4136.0,13025.0,1080.0,1004.0,949.0,422.0,484.0,823.0,2077.0,1391.0,3432.0,1068.0,5822.0,1191.0,549.0,4108.0,4089.0,485.0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae;sh__SH1303804.10FU,0.9999976361129173
29c1815381e5c0e31ae0af5290c987e9,2657.0,1347.0,1991.0,3175.0,1319.0,3042.0,1289.0,2104.0,756.0,4203.0,590.0,1849.0,3861.0,344.0,1066.0,2157.0,3490.0,339.0,937.0,7911.0,2536.0,0.0,2811.0,2518.0,6353.0,2427.0,4508.0,8619.0,3126.0,2668.0,2453.0,2214.0,14795.0,2707.0,5871.0,2078.0,7471.0,2812.0,4501.0,1531.0,1662.0,1439.0,4326.0,1279.0,1165.0,279.0,1462.0,1097.0,4300.0,81.0,3409.0,1714.0,2494.0,596.0,11596.0,1238.0,27.0,1986.0,1335.0,2192.0,1278.0,3085.0,910.0,1382.0,2445.0,5776.0,6066.0,377.0,2596.0,1948.0,3248.0,3579.0,2554.0,3883.0,5199.0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp;sh__SH1084973.10FU,0.9934951338179132
