Castilleja species,Site,Excavated species,Specimen number,Catalog Number
C. septentrionalis,Emerald Lake,Poaceae,N/A,N/A
,,Poa pratensis,N/A,N/A
,,"Viola adunca, Fragaria virginiana",CFW #3519,RMBL0007867
,,"Carex sp., Poaceae",CFW #3520,RMBL0007868
,,"Fragaria virginiana, Poaceae",CFW #3521,RMBL0007869
,,Elymus glaucus,N/A,N/A
,,Elymus glaucus,N/A,N/A
C. linariifolia,Deer Creek 1,Viola praemorsa,CFW #3524,RMBL0007872
,,Koeleria macrantha,"CFW #3535, #3526","RMBL0007873.1, RMBL0007873.2"
,Deer Creek 2,Eremegone congesta,Anders #58,RMBL0008746
,Stupid Falls,"Viola adunca, Paxistima myrsinites",Anders #84,RMBL0008757
C. chromosa,Almont,Achillea millefolium,"CFW #3450, #3451","RMBL0007812.1, RMBL0007812.2"
,,Poa sp.,"CFW #3444, #3445","RMBL0007809.1, RMBL0007809.2"
,,"Achnatherum pinetorum, Chrysothamnus vasseyi","CFW #3446, #3347, #3348","RMBL0007810.1, RMBL0007810.2, RMBL0007810.3"
,,Eriogonum racemosum,"CFW #3454, #3455","RMBL0007815.1, RMBL0007815.2"
,,Antennaria parviflora,"CFW #3484, #3485","RMBL0007838.1, RMBL0007838.2"
,,"Chrysothamnus vasseyi, Eremogone congesta, Penstemon caespitosus, Poaceae",CFW #3486,RMBL0007839
,,Achnatherum pinetorum,"CFW #3495, #3496","RMBL0007843.1, RMBL0007843.2"
,,"Chrysothamnus vasseyi, Eremogone congesta, Erigeron eatonii, Artemisia arbuscula, Antennaria parvifolia, Achnatherum pinetorum","CFW #3493, #3494","RMBL0007842.1, RMBL0007842.2"
,,"Phlox multiflora, Achnatherum pinetorum","CFW #3475, #3476, #3477","RMBL0007835.1, RMBL0007835.2, RMBL0007835.3"
,,"Penstemon cespitosum, Achnatherum pinetorum, Calochortus gunnisonii",CFW #3478,RMBL0007836
,,"Penstemon cespitosum, Achnatherum pinetorum",CFW #3481,RMBL0007837
,,"Chrysothamnus vaseyi, Chrysothamnus depressus, Eremogone congesta,  Erigeron eatonii, Calochortus gunnisonii, Achnatherum pinetorum","CFW #3491, #3492","RMBL0007840, RMBL0007841"
,,"Carex sp., Eremogone congesta, Calochortus gunnisonii, Phlox multiflora","CFW #3497, #3498","RMBL0007844, RMBL0007845"
C. miniata,Emerald Lake,"Potentilla pulcherrima, Poaceae",CFW #3523,RMBL0007871
,Bellview Bench,"Fragaria virginiana, Helianthella quinquenervis",CFW #3522,RMBL0007870
,East River,"Carex aurea, Geranium richardsonii, Viola adunca, Equisteum arvense",Argrett #006,TBD
,Judd Falls,"Packera neomexicana, Erimogone congesta",Argrett #004,TBD
,,Poa sp.,Argrett #005,TBD
