Castilleja species,Site,Castilleja,Indicator species,Indicator Value,P-value
C. septentrionalis,Avery,Absent,Elymus lanceolatus,0.173,0.0594
,Emerald Lake,Present,Fragaria virginiana,0.228,0.0054
,,Present,Erigeron coulteri ,0.210,0.0267
,,Present,Viola adunca ,0.179,0.0747
,Copper Creek,Present,Thalictrum fendleri,0.298,0.0039
,,Present,Campanula petiolata,0.276,0.0304
C. linariifolia,Deer Creek 1,Present,Heterotheca sp.,0.185,0.096
,,Present,Eremogone congesta,0.160,0.0504
,Deer Creek 2,Present,Delphinium nuttallianum,0.263,0.0011
,,Present,Koeleria macrantha,0.228,0.0497
,,Present,Eremogone congesta,0.159,0.0216
,,Absent,Gayophytum sp.,0.241,0.0642
,,Present,Erigeron speciosus,0.207,0.0919
,Johnson Hill,Absent,Heliomeris multiflora,0.197,0.0816
C. Chromosa,Almont,Present,Chrysothamnus vaseyi,0.222,0.0501
,,Present,Crepis sp.,0.135,0.0805
