"year","date","site","pair","plot","castilleja","total_cover","plant_cover","bare","div","rich","even"
2023,"7/25/23","Avery",1,1,"Castilleja",1.1,0.95,0.15,1.66873480682681,7,0.857560051083005
2023,"7/25/23","Avery",1,2,"Control",1.04,0.54,0.5,1.58405176045945,7,0.814041573927997
2023,"7/25/23","Avery",2,3,"Castilleja",1.06,0.85,0.2,1.37559656147207,5,0.854706199502677
2023,"7/25/23","Avery",2,4,"Control",1.12,0.84,0.25,1.44636550875476,6,0.80723196031323
2023,"7/26/23","Avery",3,5,"Castilleja",1.005,0.675,0.33,1.39873845871266,5,0.869085068710246
2023,"7/26/23","Avery",3,6,"Control",1.09,0.69,0.4,1.47135991583092,7,0.756129421774806
2023,"7/26/23","Avery",4,7,"Castilleja",1.075,0.875,0.2,1.6213011780667,7,0.833183987890603
2023,"7/26/23","Avery",4,8,"Control",1.11,0.86,0.25,1.55121336503388,5,0.963823054651324
2023,"7/26/23","Avery",5,9,"Castilleja",1.115,0.665,0.45,1.03889740835031,5,0.645503253231493
2023,"7/26/23","Avery",5,10,"Control",1.005,0.355,0.65,1.03925170330881,4,0.749661639299517
2023,"7/26/23","Avery",6,11,"Castilleja",1.21,0.86,0.3,1.39624513283157,6,0.779259245903755
2023,"7/26/23","Avery",6,12,"Control",1.2,0.8,0.3,1.5293391180588,6,0.853540413389129
2023,"7/26/23","Avery",7,13,"Castilleja",1.21,0.58,0.6,1.47213599415519,6,0.821614742066597
2023,"7/26/23","Avery",7,14,"Control",1.09,0.59,0.45,1.6636317575452,6,0.928490562554103
2023,"7/27/23","Avery",8,15,"Castilleja",1.03,0.73,0.3,1.40714601977174,7,0.72313000703289
2023,"7/27/23","Avery",8,16,"Control",1.06,0.31,0.75,1.15727508345053,4,0.834797511919221
2023,"7/27/23","Avery",9,17,"Castilleja",1.025,0.625,0.4,1.35704032769409,6,0.757378627544656
2023,"7/27/23","Avery",9,18,"Control",1.01,0.86,0.15,1.56359012495089,7,0.803526373357972
