"year","date","site","species","elevation","pair","plot","castilleja"
2023,"7/25/23","Avery","C. septentrionalis","2,939",1,1,"Present"
2023,"7/25/23","Avery","C. septentrionalis","2,939",1,2,"Absent"
2023,"7/25/23","Avery","C. septentrionalis","2,939",2,3,"Present"
2023,"7/25/23","Avery","C. septentrionalis","2,939",2,4,"Absent"
2023,"7/26/23","Avery","C. septentrionalis","2,939",3,5,"Present"
2023,"7/26/23","Avery","C. septentrionalis","2,939",3,6,"Absent"
2023,"7/26/23","Avery","C. septentrionalis","2,939",4,7,"Present"
2023,"7/26/23","Avery","C. septentrionalis","2,939",4,8,"Absent"
2023,"7/26/23","Avery","C. septentrionalis","2,939",5,9,"Present"
2023,"7/26/23","Avery","C. septentrionalis","2,939",5,10,"Absent"
2023,"7/26/23","Avery","C. septentrionalis","2,939",6,11,"Present"
2023,"7/26/23","Avery","C. septentrionalis","2,939",6,12,"Absent"
2023,"7/26/23","Avery","C. septentrionalis","2,939",7,13,"Present"
2023,"7/26/23","Avery","C. septentrionalis","2,939",7,14,"Absent"
2023,"7/27/23","Avery","C. septentrionalis","2,939",8,15,"Present"
2023,"7/27/23","Avery","C. septentrionalis","2,939",8,16,"Absent"
2023,"7/27/23","Avery","C. septentrionalis","2,939",8,17,"Present"
2023,"7/27/23","Avery","C. septentrionalis","2,939",9,18,"Absent"
2023,"7/27/23","Avery","C. septentrionalis","2,939",9,19,"Present"
2023,"7/27/23","Avery","C. septentrionalis","2,939",10,20,"Absent"
2023,"7/27/23","Avery","C. septentrionalis","2,939",10,21,"Present"
2023,"7/27/23","Avery","C. septentrionalis","2,939",11,22,"Absent"
2023,"7/27/23","Avery","C. septentrionalis","2,939",11,23,"Present"
2023,"7/27/23","Avery","C. septentrionalis","2,939",12,24,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",12,25,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",13,26,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",13,27,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",14,28,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",14,29,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",15,30,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",15,31,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",16,32,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",17,33,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",17,34,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",18,35,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",18,36,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",19,37,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",19,38,"Absent"
2023,"7/28/23","Avery","C. septentrionalis","2,939",20,39,"Present"
2023,"7/28/23","Avery","C. septentrionalis","2,939",20,40,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",21,41,"Present"
2024,"10-Jul","Avery","C. septentrionalis","2,939",21,42,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",22,43,"Present"
2024,"10-Jul","Avery","C. septentrionalis","2,939",22,44,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",23,45,"Present"
2024,"10-Jul","Avery","C. septentrionalis","2,939",23,46,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",24,47,"Present"
