year,date,site,species,elevation,pair,plot,castilleja,total_cover,plant_cover,bare,no_plant,no_total,div,rich,even,Achillea.millefolium,Achnatherum.sp.,Agastache.urticifolia,Agoseris.glauca,Agoseris.sp.,Allium.geyeri,Amelanchier.alnifolia,Androsace.septentrionales,Anemone.multifida,Antennaria.parviflora,Antennaria.parvifolia,Aquilegia.coerulea,Arctostaphylos.uva.ursi,Artemisia.arbuscula,Artemisia.dracunculus,Artemisia.tridentada,Artemisia.tridentata,Asteraceae,Astragalus.alpinus,Astragalus.drummondii,Astragalus.miser,Balsamorhiza.sagittata,Berberis.repens,Boechera.consanguinea,Boechera.stricta,Botrychium.sp.,Bromus.frondosus,Bromus.inermis,Calochortus.gunnisonii,Campanula.petiolata,Carex.pityophila,Carex.sp.,Carex.sp...chalciolepis..ebenea..egglestonii..hoodii.,Carex.sp...obtusata..geyeri.,Chenopodium.atrovirens,Chrysothamnus.depresus,Chrysothamnus.vaseyi,Chrysothamnus.viscidiflorus,Cirsium.griseum,Collomia.linearis,Crepis.sp.,Cymopterus.lemmonii,Cyrtorhyncha.ranunculina,Dactylis.glomerata,Dactylus.glomeratus,Danthonia.parryi,Delphinium.barbeyi,Delphinium.nuttalianum,Delphinium.nuttallianum,Delphinum.nuttalliianum,Deschampsia.cespitosa,Draba.spectabilis,Elymus.elymoides,Elymus.glaucus,Elymus.lanceolatus,Elymus.trachycaulus,Eremegone.congesta,Eremogone.congesta,Erigeron.coulteri,Erigeron.eatonii,Erigeron.flagellaris,Erigeron.leiomerus,Erigeron.sp.,Erigeron.speciosus,Erigeron.subtrinervis,Eriogonum.racemosum,Eriogonum.umbellatum,Eriogonum.umbellatum.aureum,Eriogonum.umbellatum.majus,Festuca.rubra,Festuca.thurberi,Fragaria.virginiana,Frasera.speciosa,Galium.bifolium,Galium.boreale,Gayophytum.sp.,Gentiana.parryi,Helianthella.quinquenerva,Helianthella.quinquenervis,Heliomerus.multiflora,Heterotheca.sp.,Hydrophyllum.capitatum,Hymenoxys.hoopesii,Ipomopsis.aggregata,Ipomopsis.aggregatta,Juniperus.communis,Koeleria.macrantha,Lathyrus.lanszwertii,Linum.lewisii,Lomatium.dissectum,Lomatium.triternatum,Lupinus.argenteus,Lupinus.polyphyllus,Lupinus.sp.,Maianthemum.stellatum,Mertensia.brevistyla,Moehringia.sp.,Noccaea.fendleri,Oreochrysum.parryi,Paxistima.myrsinites,Pediocactus.simpsonii,Penstemon.caespitosus,Penstemon.strictus,Phacelia.sp.,Phleum.alpinum,Phlox.multiflora,Poa.alpina,Poa.compressa,Poa.fendleriana,Poa.pratensis,Poa.sp.,Polygonum.sp.,Populus.balsamifera,Populus.tremuloides,Potentilla.glaucophylla,Potentilla.hippiana,Potentilla.pulcherrima,Pulsatilla.nuttalliana,Pyrrocoma.crocea,Rosa.woodsii,Sedum.lanceolatum,Senecio.crassulus,Senecio.integerrimus,Senecio.pudicus,Sibbaldia.procumbens,Silene.drummondii,Solidago.multiradiata,Solidago.multiradiata.1,Stipeae,Symphoricarpos.rotundifolius,Taraxacum.officianale,Taraxacum.officinale,Thalictrum.fendleri,Trisetum.canescens,Trisetum.spicatum,Valeriana.edulis,Valeriana.occidentalis,Vicia.americana,Viola.adunca,Viola.praemorsa,Wyethia.amplexicaulis,Wyethia.x.magna
2023,7/25/23,Avery,C. septentrionalis,"2,939",1,1,Castilleja,1.1,0.95,0.15,0.92,1.07,1.668734807,7,0.857560051,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,C. septentrionalis,"2,939",1,2,Control,1.04,0.54,0.5,0.54,1.04,1.58405176,7,0.814041574,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,C. septentrionalis,"2,939",2,3,Castilleja,1.06,0.85,0.2,0.76,0.96,1.375596561,5,0.8547062,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,C. septentrionalis,"2,939",2,4,Control,1.12,0.84,0.25,0.87,1.12,1.446365509,6,0.80723196,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",3,5,Castilleja,1.005,0.675,0.33,0.575,0.905,1.398738459,5,0.869085069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",3,6,Control,1.09,0.69,0.4,0.69,1.09,1.471359916,7,0.756129422,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",4,7,Castilleja,1.075,0.875,0.2,0.845,1.045,1.621301178,7,0.833183988,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.03,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",4,8,Control,1.11,0.86,0.25,0.86,1.11,1.551213365,5,0.963823055,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",5,9,Castilleja,1.115,0.665,0.45,0.625,1.075,1.038897408,5,0.645503253,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,C. septentrionalis,"2,939",5,10,Control,1.005,0.355,0.65,0.355,1.005,1.039251703,4,0.749661639,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
