OBJECTID,DataCollec,Owner,Site_Locat,Label_of_F,Manipulati,Instrument,Data_Use_C,Comment,MetadataID,HorizEstAc,VertEstAcc,FeatureHei,XCurrentMa,YCurrentMa,ProjectNam,SessionNam,DeviceType,PDOP,HDOP,CreationDa,CorrStatus,DeviceID,AccuracyRe
3221,jca,jca,,casu,1,1,3,,,0.10000000149,0.10044317693,2892.19724862000,-106.98794091400,38.95857191180,GPStemplate,Device [Unit 1] started [7/15/2023 8:20 AM] ended [7/15/2023 8:27 AM],Geo 7X (H-Star),3.00000000000,1.80000000000,7/15/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3222,jca,jca,,p2a,1,1,3,,,0.14498651028,0.46687528491,3214.13207870000,-107.04438583200,39.01310244120,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.50000000000,1.50000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3223,jca,jca,,p2b,1,1,3,,,0.20401091874,0.56799077988,3214.68675246000,-107.04435855700,39.01311963610,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.60000000000,1.40000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3224,jca,jca,,p13b,1,1,3,,,0.25856214762,0.47762751579,3216.14500120000,-107.04435674500,39.01316722180,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.70000000000,2.00000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3225,jca,jca,,p13a,1,1,3,,,0.19733226299,0.50052964687,3217.01555616000,-107.04437119800,39.01318756830,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.30000000000,1.40000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3226,jca,jca,,p1a,1,1,3,,,0.10829116404,0.12276171148,3214.52938492000,-107.04431684800,39.01312266570,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.70000000000,1.30000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3227,jca,jca,,p1b,1,1,3,,,0.18218915165,0.53818798065,3214.30306073000,-107.04429024900,39.01312530400,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),4.50000000000,1.60000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3228,jca,jca,,p3a,1,1,3,,,0.13617530465,0.27762252092,3213.21542457000,-107.04424955300,39.01309605650,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.50000000000,1.90000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3229,jca,jca,,p3b,1,1,3,,,0.29508858919,0.55622863770,3213.48924794000,-107.04421731500,39.01310072610,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),2.50000000000,1.40000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3230,jca,jca,,p4a,1,1,3,,,0.13711513579,0.24248453975,3212.74586405000,-107.04422658700,39.01307915680,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.30000000000,1.80000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3231,jca,jca,,p4b,1,1,3,,,0.37252524495,0.63361066580,3212.82166439000,-107.04419980400,39.01307470120,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),5.00000000000,1.70000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
3232,jca,jca,,p6a,1,1,3,,,0.89674723148,1.49699926376,3218.00559222000,-107.04422828300,39.01302821000,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),2.50000000000,1.10000000000,7/24/2023,Real-time corrected L1Code,Unit 1,RMS (68%)
3233,jca,jca,,p6b,1,1,3,,,0.29115501046,0.99011820555,3214.80530408000,-107.04424248000,39.01306010270,GPStemplate,Device [Unit 1] started [7/24/2023 8:31 AM] ended [7/24/2023 9:48 AM],Geo 7X (H-Star),3.60000000000,1.20000000000,7/24/2023,Post-processed L1L2CarrierFloat,Unit 1,RMS (68%)
