Year,Date,Site,Elevation,Collection Point,Disturbance Distance,Disturbance Type,Field Plot,Plot,Block,Removal,Litter,Family,Genus,Species,Code,Functional Group,Life History,Cover,Count,Nearest Neighbor,percent cover
2023,8/12/23,Schofield Park,3158.623,Post,,,,61,,R,,Poaceae,Bromus,,BR,Grass,perennial,15,5,0,0.15
2023,8/12/23,Schofield Park,3158.819,Post,,,,52,,R,,,,,bare,Environmental,,70,0,0,0.7
2023,8/12/23,Schofield Park,3157.816,Post,,,,80,,R,,,,,bare,Environmental,,70,0,0,0.7
2023,8/12/23,Schofield Park,3158.998,Post,,,,49,,C,,,,,bare,Environmental,,60,0,0,0.6
2023,8/12/23,Schofield Park,3158.732,Post,,,,57,,C,,,,,bare,Environmental,,60,0,0,0.6
2023,8/12/23,Schofield Park,3158.67,Post,,,,63,,R,,,,,bare,Environmental,,60,0,0,0.6
2023,8/12/23,Schofield Park,3158.206,Post,,,,74,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,60,5,0,0.6
2023,8/12/23,Schofield Park,3157.758,Post,,,,76,,R,,,,,bare,Environmental,,60,0,0,0.6
2023,8/12/23,Schofield Park,3157.881,Post,,,,79,,C,,,,,bare,Environmental,,60,0,0,0.6
2023,8/12/23,Schofield Park,3158.949,Post,,,,42,,C,,,,,bare,Environmental,,50,0,0,0.5
2023,8/12/23,Schofield Park,3158.943,Post,,,,43,,R,,,,,bare,Environmental,,50,0,0,0.5
2023,8/12/23,Schofield Park,3158.878,Post,,,,51,,C,,,,,bare,Environmental,,50,0,0,0.5
2023,8/12/23,Schofield Park,3158.748,Post,,,,55,,C,,,,,bare,Environmental,,50,0,0,0.5
2023,8/12/23,Schofield Park,3158.502,Post,,,,58,,R,,Salicaceae,Salix,,SA,Shrub,perennial,50,2,0,0.5
2023,8/12/23,Schofield Park,3158.749,Post,,,,59,,C,,,,,bare,Environmental,,50,0,0,0.5
2023,8/12/23,Schofield Park,3158.607,Post,,,,64,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,50,12,0,0.5
2023,8/12/23,Schofield Park,3158.185,Post,,,,66,,R,,,,,bare,Environmental,,50,0,0,0.5
2023,8/12/23,Schofield Park,3158.349,Post,,,,67,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,50,10,1,0.5
2023,8/12/23,Schofield Park,3158.529,Post,,,,69,,R,,,,,bare,Environmental,,50,0,0,0.5
2023,8/12/23,Schofield Park,3158.422,Post,,,,70,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,45,7,1,0.45
2023,8/12/23,Schofield Park,3159.004,Post,,,,46,,C,,,,,bare,Environmental,,40,0,0,0.4
2023,8/12/23,Schofield Park,3158.567,Post,,,,56,,R,,,,,bare,Environmental,,40,0,0,0.4
2023,8/12/23,Schofield Park,3158.674,Post,,,,60,,R,,,,,bare,Environmental,,40,0,0,0.4
2023,8/12/23,Schofield Park,3158.623,Post,,,,61,,R,,,,,bare,Environmental,,40,0,0,0.4
2023,8/12/23,Schofield Park,3158.574,Post,,,,62,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,40,15,1,0.4
2023,8/12/23,Schofield Park,3158.416,Post,,,,65,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,40,8,1,0.4
2023,8/12/23,Schofield Park,3158.375,Post,,,,68,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,40,13,0,0.4
2023,8/12/23,Schofield Park,3157.52,Post,,,,78,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,40,7,0,0.4
2023,8/12/23,Schofield Park,3158.571,Post,,,,53,,C,,,,,bare,Environmental,,35,0,0,0.35
2023,8/12/23,Schofield Park,3158.375,Post,,,,68,,R,,,,,bare,Environmental,,35,0,0,0.35
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,35,8,1,0.35
2023,8/12/23,Schofield Park,3158.13,Post,,,,75,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,35,7,1,0.35
2023,8/12/23,Schofield Park,3157.964,Post,,,,77,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,35,6,0,0.35
2023,8/12/23,Schofield Park,3159.067,Post,,,,41,,R,,,,,litter,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3159.067,Post,,,,41,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,30,10,0,0.3
2023,8/12/23,Schofield Park,3159.11,Post,,,,45,,R,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3158.816,Post,,,,48,,R,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3158.571,Post,,,,53,,C,,Poaceae,Bromus,,BR,Grass,perennial,30,7,1,0.3
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,Poaceae,Phleum,alpinum,PHAL,Grass,perennial,30,3,0,0.3
2023,8/12/23,Schofield Park,3158.748,Post,,,,55,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,30,12,1,0.3
2023,8/12/23,Schofield Park,3158.567,Post,,,,56,,R,,Salicaceae,Salix,,SA,Shrub,perennial,30,2,0,0.3
2023,8/12/23,Schofield Park,3158.502,Post,,,,58,,R,,Poaceae,Bromus,,BR,Grass,perennial,30,10,0,0.3
2023,8/12/23,Schofield Park,3158.574,Post,,,,62,,C,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3158.574,Post,,,,62,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,30,10,0,0.3
2023,8/12/23,Schofield Park,3158.416,Post,,,,65,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,30,9,0,0.3
2023,8/12/23,Schofield Park,3158.084,Post,,,,71,,R,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3158.084,Post,,,,71,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,30,12,0,0.3
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3158.412,Post,,,,73,,C,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3158.412,Post,,,,73,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,30,9,1,0.3
2023,8/12/23,Schofield Park,3158.13,Post,,,,75,,C,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3157.758,Post,,,,76,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,30,9,0,0.3
2023,8/12/23,Schofield Park,3157.964,Post,,,,77,,C,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3157.964,Post,,,,77,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,30,5,1,0.3
2023,8/12/23,Schofield Park,3157.52,Post,,,,78,,R,,,,,bare,Environmental,,30,0,0,0.3
2023,8/12/23,Schofield Park,3157.52,Post,,,,78,,R,,Salicaceae,Salix,,SA,Shrub,perennial,30,1,0,0.3
2023,8/12/23,Schofield Park,3158.896,Post,,,,44,,C,,Asteraceae,Erigeron,Coulteri,ERCO,Forb,perennial,25,12,1,0.25
2023,8/12/23,Schofield Park,3159.11,Post,,,,45,,R,,Poaceae,Bromus,,BR,Grass,perennial,25,6,0,0.25
2023,8/12/23,Schofield Park,3158.874,Post,,,,50,,R,,,,,bare,Environmental,,25,0,0,0.25
2023,8/12/23,Schofield Park,3158.571,Post,,,,53,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,25,10,1,0.25
2023,8/12/23,Schofield Park,3158.732,Post,,,,57,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,25,12,0,0.25
2023,8/12/23,Schofield Park,3158.502,Post,,,,58,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,25,5,0,0.25
2023,8/12/23,Schofield Park,3158.749,Post,,,,59,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,25,6,1,0.25
2023,8/12/23,Schofield Park,3158.422,Post,,,,70,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,25,10,0,0.25
2023,8/12/23,Schofield Park,3158.084,Post,,,,71,,R,,Salicaceae,Salix,,SA,Shrub,perennial,25,1,0,0.25
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,25,13,1,0.25
2023,8/12/23,Schofield Park,3157.881,Post,,,,79,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,25,8,,0.25
2023,8/12/23,Schofield Park,3159.067,Post,,,,41,,R,,,,,bare,Environmental,,20,0,0,0.2
2023,8/12/23,Schofield Park,3158.949,Post,,,,42,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,20,18,1,0.2
2023,8/12/23,Schofield Park,3158.896,Post,,,,44,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,20,10,1,0.2
