Field Plot,Plot,Removal,Block,Litter,Elevation,Disturbance Distance,Disturbance Type,Soil Moisture 2024
21A,41,Removal,,,3159.067,,,
21B,42,Control,,,3158.949,,,
22A,43,Removal,,,3158.943,,,
22B,44,Control,,,3158.896,,,
23A,45,Removal,,,3159.11,,,
23B,46,Control,,,3159.004,,,
24A,47,Control,,,3158.721,,,
24B,48,Removal,,,3158.816,,,
25A,49,Control,,,3158.998,,,
25B,50,Removal,,,3158.874,,,
26A,51,Control,,,3158.878,,,
26B,52,Removal,,,3158.819,,,
27A,53,Control,,,3158.571,,,
27B,54,Removal,,,3158.596,,,
28A,55,Control,,,3158.748,,,
28B,56,Removal,,,3158.567,,,
29A,57,Control,,,3158.732,,,
29B,58,Removal,,,3158.502,,,
30A,59,Control,,,3158.749,,,
30B,60,Removal,,,3158.674,,,
31A,61,Removal,,,3158.623,,,
31B,62,Control,,,3158.574,,,
32A,63,Removal,,,3158.67,,,
32B,64,Control,,,3158.607,,,
33A,65,Control,,,3158.416,,,
33B,66,Removal,,,3158.185,,,
34A,67,Control,,,3158.349,,,
34B,68,Removal,,,3158.375,,,
35A,69,Removal,,,3158.529,,,
35B,70,Control,,,3158.422,,,
36A,71,Removal,,,3158.084,,,
36B,72,Control,,,3158.099,,,
37A,73,Control,,,3158.412,,,
37B,74,Removal,,,3158.206,,,
38A,75,Control,,,3158.13,,,
38B,76,Removal,,,3157.758,,,
39A,77,Control,,,3157.964,,,
39B,78,Removal,,,3157.52,,,
40A,79,Control,,,3157.881,,,
40B,80,Removal,,,3157.816,,,
