Year,Date,Site,Elevation,Collection Point,Disturbance Distance,Disturbance Type,Field Plot,Plot,Block,Removal,Litter,Family,Genus,Species,Code,Functional Group,Life History,Cover,Count,Nearest Neighbor,percent cover
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,3.2,22,0,0.032
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,1,1,0,0.01
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Brassicaceae,Barbarea,vulgaris,BAVU,forb,biennial,0.2,2,0,0.002
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,6,1,0,0.06
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,1,2,0,0.01
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,2,2,0,0.02
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Poaceae,Elymus,,Elymus,grass,perennial,1.8,7,1,0.018
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Liliaceae,Erythronium,grandiflorum,ERGR,forb,perennial,0.2,1,0,0.002
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,1.4,7,1,0.014
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,25,6,1,0.25
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Boraginaceae,Hydrophyllum,capitatum,HYCA,forb,perennial,1.5,4,0,0.015
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,5,9,0,0.05
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,5,2,1,0.05
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Fabaceae,Lupinus,argentus,LUAR,legum,perennial,1.3,4,0,0.013
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Poaceae,Melica,spectabilis,MESP,grass,perennial,10,7,0,0.1
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,1.5,3,0,0.015
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,4,4,0,0.04
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,Asteraceae,Senecio,crassulus,SECR,forb,perennial,0.3,2,0,0.003
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,,,,bare,environmental,,40,0,0,0.4
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,,,,litter,environmental,,12,0,0,0.12
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1A,1,1,C,Mixed,,,,rock,environmental,,5,0,0,0.05
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.4,4,0,0.004
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,4.5,2,0,0.045
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Cyperaceae,Carex,Hoodii,CAHO,sedge,perennial,5,5,0,0.05
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,3,1,0,0.03
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,0.5,2,0,0.005
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,1,1,0,0.01
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Poaceae,Elymus,,Elymus,grass,perennial,2,5,1,0.02
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Liliaceae,Erythronium,grandiflorum,ERGR,forb,perennial,0.5,2,0,0.005
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,1,5,0,0.01
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,10.5,5,0,0.105
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,10,3,1,0.1
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,10,2,0,0.1
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Poaceae,Melica,spectabilis,MESP,grass,perennial,1,2,0,0.01
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,5.4,5,1,0.054
