Year,Date,Site,Elevation,Collection Point,Disturbance Distance,Disturbance Type,Field Plot,Plot,Block,Removal,Litter,Family,Genus,Species,Code,Functional Group,Life History,Cover,Count,Nearest Neighbor,percent cover
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Asteraceae,Achillea,milefolium,ACMI,Forb,perennial,1,10,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,,,,bare,Environmental,,20,0,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Poaceae,Bromus,,BR,Grass,perennial,15,11,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Cyperaceae,Carex,ebenea,CAEB,Sedge,perennial,15,28,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Rosaceae,Fragaria,virginiana,FRVI,Forb,perennial,5,14,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,,,,litter,Environmental,,30,0,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,1,1,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Brassicaceae,Noccaea,fendleri,NOFE,Forb,perennial,0.1,1,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Rosaceae,Potentilla,pulcherrima,POPU,Forb,perennial,2,6,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Poaceae,Poa,pratensis,POPR,Grass,perennial,12,7,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,2,3,0,
2023,8/12/23,Schofield Park,,Post,,,,41,,Removal,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,30,10,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Asteraceae,Achillea,milefolium,ACMI,Forb,perennial,3,15,1,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,,,,bare,Environmental,,50,0,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Cyperaceae,Carex,ebenea,CAEB,Sedge,perennial,8,20,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Orobanchaceae,Castilleja,septentrionalis,CASE,Hemiparasite,perennial,4,1,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,,,,litter,Environmental,,5,0,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,3,1,1,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Poaceae,Phleum,alpinum,PHAL,Grass,perennial,7,13,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Rosaceae,Potentilla,pulcherrima,POPU,Forb,perennial,1.5,1,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,7,1,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,3,6,0,
2023,8/12/23,Schofield Park,,Post,,,,42,,Control,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,20,18,1,
2023,8/12/23,Schofield Park,,Post,,,,43,,Removal,,Asteraceae,Achillea,milefolium,ACMI,Forb,perennial,3,17,0,
2023,8/12/23,Schofield Park,,Post,,,,43,,Removal,,Primulaceae,Androsace,septentrionalis,ANSE,Forb,annual,1,5,0,
