Site,Field Plot,Pair,Plot,Block,Litter,Removal,Elevation,Nitrate,Ammonium,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
Emerald Lake ,1A,1,1,1,Mixed,C,3214.529385,198,6,2198,154,65,30,19,6,0.8,4.0,,38,3.2,11,
Emerald Lake ,1B,1,2,1,Mixed,R,3214.303061,160,4,2984,189,59,30,12,4,0.8,3.9,1.8,28,2.3,18,0.2
Emerald Lake ,2A,2,3,2,Castilleja,C,3214.132079,424,3,3032,237,106,19,126,10,4.3,8.6,,39,11.6,16,0.8
Emerald Lake ,2B,2,4,2,Castilleja,R,3214.686752,348,4,2753,237,65,16,86,12,3.2,7.9,,84,7.5,18,0.3
Emerald Lake ,3A,3,5,2,Community,R,3213.215425,55,4,2996,246,76,34,9,3,1.6,7.6,0.4,49,3.0,13,0.3
Emerald Lake ,3B,3,6,2,Community,C,3213.489248,35,4,2736,154,114,22,5,2,1.3,2.3,1.5,28,0.3,15,0.6
Emerald Lake ,4A,4,7,2,Mixed,R,3212.745864,138,4,3182,201,68,29,17,3,1.7,6.1,0.7,81,4.8,17,0.4
Emerald Lake ,4B,4,8,2,Mixed,C,3212.821664,161,18,3198,229,189,25,12,5,1.0,4.2,0.2,45,3.6,13,0.2
Emerald Lake ,5A,5,9,3,Mixed,C,3214.160476,60,8,2603,262,137,15,15,3,0.4,4.4,0.3,42,1.2,13,0.3
Emerald Lake ,5B,5,10,3,Mixed,R,3214.758873,486,12,2738,208,124,15,51,9,1.2,5.8,0.5,32,5.6,26,0.2
Emerald Lake ,6A,6,11,3,Community,R,3218.005592,295,14,2597,273,160,12,56,16,1.7,5.5,0.5,27,10.7,21,0.2
Emerald Lake ,6B,6,12,3,Community,C,3214.805304,593,9,2992,221,76,12,58,15,2.6,7.7,0.5,85,14.7,25,0.2
Emerald Lake ,7A,7,13,4,Castilleja,C,3210.215198,182,10,2540,264,86,12,13,9,0.4,1.8,,25,2.2,29,
Emerald Lake ,7B,7,14,4,Castilleja,R,3210.283085,131,17,2775,287,127,51,16,9,0.8,5.1,,44,4.5,20,0.3
Emerald Lake ,8A,8,15,4,Control,C,3207.142886,189,7,3157,330,99,67,13,9,0.6,4.6,0.2,37,3.6,9,
Emerald Lake ,8B,8,16,4,Control,R,3209.155604,296,15,2590,271,111,14,28,12,1.4,3.9,,41,7.6,23,0.3
Emerald Lake ,9A,9,17,5,Mixed,C,3208.278304,35,4,2557,222,54,11,6,2,0.5,1.6,,31,0.9,13,0.3
Emerald Lake ,9B,9,18,5,Mixed,R,3207.1131,102,3,2243,80,36,14,13,4,0.9,3.0,,28,2.4,10,0.3
Emerald Lake ,10A,10,19,5,Control,C,3207.270977,240,10,2952,121,20,2,16,2,1.1,1.4,,34,7.2,11,
Emerald Lake ,10B,10,20,5,Control,R,3207.806218,104,4,2929,176,33,6,10,4,0.8,1.6,0.5,37,2.2,17,0.3
Emerald Lake ,11A,11,21,3,Castilleja,C,3211.664924,50,4,2851,255,82,8,7,4,0.3,1.2,,14,0.3,16,0.3
Emerald Lake ,11B,11,22,3,Castilleja,R,3211.096031,48,13,3279,254,182,36,11,9,0.7,5.1,0.9,37,3.0,19,
Emerald Lake ,12A,12,23,3,Control,C,3215.348404,74,12,3467,301,125,41,8,3,0.6,4.7,0.5,32,3.3,16,0.3
Emerald Lake ,12B,12,24,3,Control,R,3211.643745,85,6,2795,283,66,14,12,3,0.7,2.6,0.7,31,2.4,20,
Emerald Lake ,13A,13,25,1,Control,R,3217.015556,393,,3085,78,33,8,25,3,1.6,4.4,0.5,39,6.6,11,0.4
Emerald Lake ,13B,13,26,1,Control,C,3216.145001,225,12,3636,101,47,10,19,2,1.4,2.2,,33,4.3,6,
Emerald Lake ,14A,14,27,1,Community,C,3216.19598,376,4,2726,223,73,23,51,9,1.1,4.1,,69,4.6,18,0.2
Emerald Lake ,14B,14,28,1,Community,R,3216.001015,153,11,2489,217,56,45,11,5,1.0,3.4,0.6,34,1.1,23,
Emerald Lake ,15A,15,29,1,Castilleja,C,3216.514942,149,40,2012,228,267,13,28,13,0.7,4.3,0.4,32,2.6,30,
Emerald Lake ,15B,15,30,1,Castilleja,R,3218.547977,352,33,2011,193,88,17,46,37,1.0,4.2,,33,3.7,40,
Emerald Lake ,16A,16,31,2,Control,C,3216.43204,46,19,2109,203,90,8,11,6,0.4,2.6,0.6,22,0.2,27,
Emerald Lake ,16B,16,32,2,Control,R,3215.721708,74,12,2667,242,44,13,11,3,0.4,2.8,,16,0.4,21,
Emerald Lake ,17A,17,33,4,Community,R,3210.958403,144,6,2639,220,55,5,12,3,0.4,3.0,,20,1.4,16,
Emerald Lake ,17B,17,34,4,Community,C,3214.838866,143,5,2992,236,111,8,47,9,1.2,4.4,1.1,32,4.9,45,0.3
