Year,Date,Site,Elevation,Collection Point,Disturbance Distance,Disturbance Type,Plot,Block,Removal,Litter,Family,Genus,Species,Field Plot,Code,Functional Group,Life History,Cover,Count,Nearest Neighbor,percent cover
2023,7/17/23,Emerald Lake,3215.348404,Pre,6.92,Treeline,23,3,C,Control,Apiaceae,Heracleum,maximum,12A,HEMA,forb,perennial,5,1,0,0.05
2023,7/31/23,Emerald Lake,3215.348404,Post,6.92,Treeline,23,3,C,Control,Apiaceae,Heracleum,maximum,12A,HEMA,forb,perennial,4,2,1,0.04
2023,7/17/23,Emerald Lake,3211.643745,Pre,9.25,Creek,24,3,R,Control,Apiaceae,Heracleum,maximum,12B,HEMA,forb,perennial,25,2,0,0.25
2023,7/31/23,Emerald Lake,3211.643745,Post,9.25,Creek,24,3,R,Control,Apiaceae,Heracleum,maximum,12B,HEMA,forb,perennial,30,2,0,0.3
2023,7/19/23,Emerald Lake,3216.001015,Pre,7.29,Trail,28,1,R,Community,Apiaceae,Heracleum,maximum,14B,HEMA,forb,perennial,8,1,0,0.08
2023,8/1/23,Emerald Lake,3216.001015,Post,7.29,Trail,28,1,R,Community,Apiaceae,Heracleum,maximum,14B,HEMA,forb,perennial,11,1,0,0.11
2023,7/19/23,Emerald Lake,3216.514942,Pre,5.93,Treeline,29,1,C,Castilleja,Apiaceae,Heracleum,maximum,15A,HEMA,forb,perennial,0.1,1,0,0.001
2023,7/19/23,Emerald Lake,3210.958403,Pre,5.61,Trail,33,4,R,Community,Apiaceae,Heracleum,maximum,17A,HEMA,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,3210.958403,Post,5.61,Trail,33,4,R,Community,Apiaceae,Heracleum,maximum,17A,HEMA,forb,perennial,4,1,0,0.04
2023,7/19/23,Emerald Lake,3208.328564,Pre,3.55,Trail,35,5,R,Community,Apiaceae,Heracleum,maximum,18A,HEMA,forb,perennial,7,1,0,0.07
2023,8/1/23,Emerald Lake,3208.328564,Post,3.55,Trail,35,5,R,Community,Apiaceae,Heracleum,maximum,18A,HEMA,forb,perennial,4,1,0,0.04
2023,7/19/23,Emerald Lake,3208.763818,Pre,4,Treeline,36,5,C,Community,Apiaceae,Heracleum,maximum,18B,HEMA,forb,perennial,8,1,1,0.08
2023,8/1/23,Emerald Lake,3208.763818,Post,4,Treeline,36,5,C,Community,Apiaceae,Heracleum,maximum,18B,HEMA,forb,perennial,10,1,0,0.1
2023,8/1/23,Emerald Lake,3208.841651,Post,4.3,Treeline,37,5,C,Castilleja,Apiaceae,Heracleum,maximum,19A,HEMA,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,3214.303061,Post,5,Treeline,2,1,R,Mixed,Apiaceae,Heracleum,maximum,1B,HEMA,forb,perennial,5,1,0,0.05
2023,7/19/23,Emerald Lake,3210.320734,Pre,1.9,Trail,39,4,R,Mixed,Apiaceae,Heracleum,maximum,20A,HEMA,forb,perennial,4,1,0,0.04
2023,8/1/23,Emerald Lake,3210.320734,Post,1.9,Trail,39,4,R,Mixed,Apiaceae,Heracleum,maximum,20A,HEMA,forb,perennial,4,1,0,0.04
2023,7/19/23,Emerald Lake,3213.273701,Pre,3.37,Treeline,40,4,C,Mixed,Apiaceae,Heracleum,maximum,20B,HEMA,forb,perennial,20,1,0,0.2
2023,8/1/23,Emerald Lake,3213.273701,Post,3.37,Treeline,40,4,C,Mixed,Apiaceae,Heracleum,maximum,20B,HEMA,forb,perennial,20,2,0,0.2
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,3,2,C,Castilleja,Apiaceae,Heracleum,maximum,2A,HEMA,forb,perennial,2.5,1,0,0.025
2023,8/1/23,Emerald Lake,3214.132079,Post,2.95,Trail,3,2,C,Castilleja,Apiaceae,Heracleum,maximum,2A,HEMA,forb,perennial,5,1,0,0.05
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,4,2,R,Castilleja,Apiaceae,Heracleum,maximum,2B,HEMA,forb,perennial,15,1,0,0.15
2023,8/1/23,Emerald Lake,3214.686752,Post,4.62,Treeline,4,2,R,Castilleja,Apiaceae,Heracleum,maximum,2B,HEMA,forb,perennial,15,1,0,0.15
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,6,2,R,Community,Apiaceae,Heracleum,maximum,3B,HEMA,forb,perennial,6,1,0,0.06
2023,8/1/23,Emerald Lake,3213.489248,Post,7,Creek,6,2,R,Community,Apiaceae,Heracleum,maximum,3B,HEMA,forb,perennial,7,2,0,0.07
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,7,2,R,Mixed,Apiaceae,Heracleum,maximum,4A,HEMA,forb,perennial,20,1,0,0.2
2023,8/1/23,Emerald Lake,3212.745864,Post,6.12,Treeline,7,2,R,Mixed,Apiaceae,Heracleum,maximum,4A,HEMA,forb,perennial,12,1,0,0.12
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,8,2,C,Mixed,Apiaceae,Heracleum,maximum,4B,HEMA,forb,perennial,6,1,0,0.06
2023,8/1/23,Emerald Lake,3212.821664,Post,6.8,Creek,8,2,C,Mixed,Apiaceae,Heracleum,maximum,4B,HEMA,forb,perennial,10,1,0,0.1
2023,7/19/23,Emerald Lake,3214.160476,Pre,3.46,Treeline,9,3,C,Mixed,Apiaceae,Heracleum,maximum,5A,HEMA,forb,perennial,25,2,0,0.25
2023,8/1/23,Emerald Lake,3214.160476,Post,3.46,Treeline,9,3,C,Mixed,Apiaceae,Heracleum,maximum,5A,HEMA,forb,perennial,40,1,0,0.4
2023,8/1/23,Emerald Lake,3214.758873,Post,5.78,Trail,10,3,R,Mixed,Apiaceae,Heracleum,maximum,5B,HEMA,forb,perennial,9,1,0,0.09
2023,7/17/23,Emerald Lake,3218.005592,Pre,4.27,Treeline,11,3,R,Community,Apiaceae,Heracleum,maximum,6A,HEMA,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,3218.005592,Post,4.27,Treeline,11,3,R,Community,Apiaceae,Heracleum,maximum,6A,HEMA,forb,perennial,3,1,0,0.03
2023,7/17/23,Emerald Lake,3214.805304,Pre,5.16,Treeline,12,3,C,Community,Apiaceae,Heracleum,maximum,6B,HEMA,forb,perennial,3,1,0,0.03
2023,8/1/23,Emerald Lake,3214.805304,Post,5.16,Treeline,12,3,C,Community,Apiaceae,Heracleum,maximum,6B,HEMA,forb,perennial,4,1,0,0.04
