Site,Field Plot,Plot,Block,Removal,Litter,Elevation,Disturbance Distance,Disturbance Type,Soil Moisture 2023,Soil Moisture 2024
Emerald Lake ,1A,1,1,C,Mixed,3214.529385,3.81,Treeline,3.977778,
Emerald Lake ,1B,2,1,R,Mixed,3214.303061,5,Treeline,4.405556,
Emerald Lake ,2A,3,2,C,Castilleja,3214.132079,2.95,Trail,4.416667,
Emerald Lake ,2B,4,2,R,Castilleja,3214.686752,4.62,Treeline,3.822222,
Emerald Lake ,3A,5,2,C,Community,3213.215425,5.78,Treeline,4.277778,
Emerald Lake ,3B,6,2,R,Community,3213.489248,7,Creek,4.333333,
Emerald Lake ,4A,7,2,R,Mixed,3212.745864,6.12,Treeline,4.344444,
Emerald Lake ,4B,8,2,C,Mixed,3212.821664,6.8,Creek,4.277778,
Emerald Lake ,5A,9,3,C,Mixed,3214.160476,3.46,Treeline,6.344444,
Emerald Lake ,5B,10,3,R,Mixed,3214.758873,5.78,Trail,5.627778,
Emerald Lake ,6A,11,3,R,Community,3218.005592,4.27,Treeline,4.466667,
Emerald Lake ,6B,12,3,C,Community,3214.805304,5.16,Treeline,3.561111,
Emerald Lake ,7A,13,4,C,Castilleja,3210.215198,3.3,Treeline,3.416667,
Emerald Lake ,7B,14,4,R,Castilleja,3210.283085,4.7,Treeline,5.316667,
Emerald Lake ,8A,15,4,R,Control,3207.142886,4.18,Treeline,4.155556,
Emerald Lake ,8B,16,4,C,Control,3209.155604,4.61,Treeline,3.972222,
Emerald Lake ,9A,17,5,C,Mixed,3208.278304,3.12,Treeline,4.961111,
Emerald Lake ,9B,18,5,R,Mixed,3207.1131,4.35,Treeline,4.177778,
Emerald Lake ,10A,19,5,C,Control,3207.270977,2.22,Treeline,6.3,
Emerald Lake ,10B,20,5,R,Control,3207.806218,2.57,Treeline,4.505556,
Emerald Lake ,11A,21,3,C,Castilleja,3211.664924,9.25,Creek,2.961111,
Emerald Lake ,11B,22,3,R,Castilleja,3211.096031,5.93,Creek,4.755556,
Emerald Lake ,12A,23,3,C,Control,3215.348404,6.92,Treeline,4.375,
Emerald Lake ,12B,24,3,R,Control,3211.643745,9.6,Creek,5.188889,
Emerald Lake ,13A,25,1,R,Control,3217.015556,4.62,Treeline,4.694444,
Emerald Lake ,13B,26,1,C,Control,3216.145001,4.11,Trail,5.1,
Emerald Lake ,14A,27,1,C,Community,3216.19598,4.33,Treeline,4.161111,
Emerald Lake ,14B,28,1,R,Community,3216.001015,7.29,Trail,4.761111,
Emerald Lake ,15A,29,1,C,Castilleja,3216.514942,5.93,Treeline,5.027778,
Emerald Lake ,15B,30,1,R,Castilleja,3218.547977,6.88,Trail,5.133333,
Emerald Lake ,16A,31,2,C,Control,3216.43204,2.95,Treeline,5.283333,
Emerald Lake ,16B,32,2,R,Control,3215.721708,5.1,Treeline,5.583333,
Emerald Lake ,17A,33,4,R,Community,3210.958403,5.61,Trail,6.311111,
Emerald Lake ,17B,34,4,C,Community,3214.838866,2.77,Trail,5.633333,
Emerald Lake ,18A,35,5,R,Community,3208.328564,3.55,Trail,7.305556,
Emerald Lake ,18B,36,5,C,Community,3208.763818,4,Treeline,6,
Emerald Lake ,19A,37,5,C,Castilleja,3208.841651,4.3,Treeline,4.111111,
Emerald Lake ,19B,38,5,R,Castilleja,3208.213374,3.7,Treeline,4.222222,
Emerald Lake ,20A,39,4,R,Mixed,3210.320734,1.9,Trail,6.7,
Emerald Lake ,20B,40,4,C,Mixed,3213.273701,3.37,Treeline,5.033333,
