Site,Field Plot,Plot,Removal,Block,Litter,Elevation,Disturbance Distance,Disturbance Type,Soil Moisture 2024
Schofield Park,21B,42,C,,,3158.949,,,
Schofield Park,22B,44,C,,,3158.896,,,
Schofield Park,23B,46,C,,,3159.004,,,
Schofield Park,24A,47,C,,,3158.721,,,
Schofield Park,25A,49,C,,,3158.998,,,
Schofield Park,26A,51,C,,,3158.878,,,
Schofield Park,27A,53,C,,,3158.571,,,
Schofield Park,28A,55,C,,,3158.748,,,
Schofield Park,29A,57,C,,,3158.732,,,
Schofield Park,30A,59,C,,,3158.749,,,
Schofield Park,31B,62,C,,,3158.574,,,
Schofield Park,32B,64,C,,,3158.607,,,
Schofield Park,33A,65,C,,,3158.416,,,
Schofield Park,34A,67,C,,,3158.349,,,
Schofield Park,35B,70,C,,,3158.422,,,
Schofield Park,36B,72,C,,,3158.099,,,
Schofield Park,37A,73,C,,,3158.412,,,
Schofield Park,38A,75,C,,,3158.13,,,
Schofield Park,39A,77,C,,,3157.964,,,
Schofield Park,40A,79,C,,,3157.881,,,
Schofield Park,21A,41,R,,,3159.067,,,
Schofield Park,22A,43,R,,,3158.943,,,
Schofield Park,23A,45,R,,,3159.11,,,
Schofield Park,24B,48,R,,,3158.816,,,
Schofield Park,25B,50,R,,,3158.874,,,
Schofield Park,26B,52,R,,,3158.819,,,
Schofield Park,27B,54,R,,,3158.596,,,
Schofield Park,28B,56,R,,,3158.567,,,
Schofield Park,29B,58,R,,,3158.502,,,
Schofield Park,30B,60,R,,,3158.674,,,
Schofield Park,31A,61,R,,,3158.623,,,
Schofield Park,32A,63,R,,,3158.67,,,
Schofield Park,33B,66,R,,,3158.185,,,
Schofield Park,34B,68,R,,,3158.375,,,
Schofield Park,35A,69,R,,,3158.529,,,
Schofield Park,36A,71,R,,,3158.084,,,
Schofield Park,37B,74,R,,,3158.206,,,
Schofield Park,38B,76,R,,,3157.758,,,
Schofield Park,39B,78,R,,,3157.52,,,
Schofield Park,40B,80,R,,,3157.816,,,
