year,date,site,fieldplot,pair,plot,block,collection,litter,removal,elevation,disturbance_distance,disturbance_type,family,genus,species,code,functional_group,life_history,cover,count,nearest_neighbor,percent_cover
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.1,2,0,0.001
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Brassicaceae,Boechera,stricta,BOST,forb,biennial,0.5,3,0,0.005
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,0.5,1,0,0.005
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,0.5,2,0,0.005
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Violaceae,Viola,nuttallii,VINU,forb,perennial,0.5,1,0,0.005
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,,,,rock,environmental,,1,0,0,0.01
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,3,2,0,0.03
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Poaceae,Elymus,glaucus,ELGL,grass,perennial,3,3,0,0.03
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,3,3,0,0.03
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,4,2,0,0.04
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,4,2,0,0.04
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Fabaceae,Lupinus,argentus,LUAR,legume,perennial,9,7,0,0.09
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Poaceae,Melica,spectabilis,MESP,grass,perennial,10,3,0,0.1
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,,,,bare,environmental,,30,0,0,0.3
2024,8/5/24,Emerald Lake,1A,1,1,1,Post,Mixed,C,3214.529385,3.81,Treeline,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,35,7,0,0.35
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.1,1,0,0.001
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,,,,litter,environmental,,1,0,0,0.01
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Brassicaceae,Boechera,stricta,BOST,forb,biennial,2,5,0,0.02
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,2,3,0,0.02
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Poaceae,Elymus,glaucus,ELGL,grass,perennial,2,6,0,0.02
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,2,1,0,0.02
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,,,,rock,environmental,,3,0,0,0.03
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,4,1,0,0.04
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,6,4,0,0.06
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Poaceae,Melica,spectabilis,MESP,grass,perennial,7,10,0,0.07
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Grossulariaceae,Ribes,montigenum,RIMO,Shrub,perennial,10,2,0,0.1
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,15,3,0,0.15
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,20,7,0,0.2
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,20,4,0,0.2
