year,date,plot,soil_moisture_1,soil_moisture_2,average_soil_moisture
2024,8/3/24,1,0.7,1.8,1.25
2024,8/3/24,2,0.6,2.7,1.65
2024,8/3/24,3,1.8,1.9,1.85
2024,8/3/24,4,1.6,0.6,1.1
2024,8/3/24,5,0.5,1.3,0.9
2024,8/3/24,6,4.8,2.8,3.8
2024,8/3/24,7,2.6,3.5,3.05
2024,8/3/24,8,1.9,2.6,2.25
2024,8/3/24,9,4.9,3.5,4.2
2024,8/3/24,10,2.7,2.6,2.65
2024,8/3/24,11,1.7,1.4,1.55
2024,8/3/24,12,1.8,2.2,2
2024,8/3/24,13,1.8,1.2,1.5
2024,8/3/24,14,1.6,1.9,1.75
2024,8/3/24,15,2.2,1.7,1.95
2024,8/3/24,16,5,1.3,3.15
2024,8/3/24,17,2.5,2.9,2.7
2024,8/3/24,18,3.4,2.5,2.95
2024,8/3/24,19,3.4,3.8,3.6
2024,8/3/24,20,1.9,2,1.95
2024,8/3/24,21,1.8,3.6,2.7
2024,8/3/24,22,1.1,2.9,2
2024,8/3/24,23,3.8,4.6,4.2
2024,8/3/24,24,0.2,1.5,0.85
2024,8/3/24,25,1.5,1.7,1.6
2024,8/3/24,26,1.8,1.4,1.6
2024,8/3/24,27,2.3,2.7,2.5
2024,8/3/24,28,2.9,3.3,3.1
2024,8/3/24,29,2.1,3.1,2.6
2024,8/3/24,30,1.2,1.9,1.55
2024,8/3/24,31,2.6,4.8,3.7
2024,8/3/24,32,3.8,3.9,3.85
2024,8/3/24,33,4.7,2.8,3.75
2024,8/3/24,34,3.2,3.8,3.5
2024,8/3/24,35,3.9,3.6,3.75
2024,8/3/24,36,3.3,6.5,4.9
2024,8/3/24,37,3.1,3.3,3.2
2024,8/3/24,38,0.6,1.1,0.85
2024,8/3/24,39,2.1,4.7,3.4
2024,8/3/24,40,1.9,2.7,2.3
2024,8/6/24,1,3.5,3.7,3.6
2024,8/6/24,2,3.4,3.1,3.25
2024,8/6/24,3,3.9,3.1,3.5
2024,8/6/24,4,4.1,2.8,3.45
2024,8/6/24,5,3.9,2.3,3.1
2024,8/6/24,6,5.3,1.9,3.6
2024,8/6/24,7,2.4,1.9,2.15
2024,8/6/24,8,2.4,2.9,2.65
2024,8/6/24,9,3.4,3.9,3.65
2024,8/6/24,10,4.3,6.9,5.6
2024,8/6/24,11,2.6,3.8,3.2
2024,8/6/24,12,2.2,1.1,1.65
2024,8/6/24,13,1.2,2.1,1.65
2024,8/6/24,14,4.6,1.6,3.1
2024,8/6/24,15,2.5,2.1,2.3
2024,8/6/24,16,2.1,2.7,2.4
2024,8/6/24,17,1.4,1.9,1.65
2024,8/6/24,18,3.1,1.3,2.2
2024,8/6/24,19,3.4,3.9,3.65
2024,8/6/24,20,3,1.4,2.2
2024,8/6/24,21,2.6,1.7,2.15
2024,8/6/24,22,2.9,3.5,3.2
2024,8/6/24,23,2.3,3.4,2.85
2024,8/6/24,24,4.1,1,2.55
2024,8/6/24,25,1.2,0.6,0.9
2024,8/6/24,26,3.4,3.6,3.5
2024,8/6/24,27,3.4,3.4,3.4
2024,8/6/24,28,3.6,4.1,3.85
2024,8/6/24,29,4.1,4.1,4.1
2024,8/6/24,30,3.4,0.3,1.85
2024,8/6/24,31,3.6,4.7,4.15
2024,8/6/24,32,4.1,4.1,4.1
2024,8/6/24,33,3.9,4,3.95
2024,8/6/24,34,4.8,5.2,5
2024,8/6/24,35,6.5,4.5,5.5
2024,8/6/24,36,6.1,7,6.55
2024,8/6/24,37,3.5,2.5,3
2024,8/6/24,38,2.3,2.9,2.6
2024,8/6/24,39,4.7,5.1,4.9
2024,8/6/24,40,4.2,4.9,4.55
2024,8/12/24,1,12.4,17.3,14.85
2024,8/12/24,2,25.5,13.9,19.7
2024,8/12/24,3,13,12,12.5
2024,8/12/24,4,9,9.2,9.1
2024,8/12/24,5,9.5,11.9,10.7
2024,8/12/24,6,5.5,11.3,8.4
2024,8/12/24,7,11.6,12.9,12.25
2024,8/12/24,8,14.6,18.7,16.65
2024,8/12/24,9,18.9,12.3,15.6
2024,8/12/24,10,11.1,15.8,13.45
2024,8/12/24,11,7.1,5.3,6.2
2024,8/12/24,12,13,11.3,12.15
2024,8/12/24,13,11.1,10.1,10.6
2024,8/12/24,14,15.4,15.4,15.4
2024,8/12/24,15,8.6,6.4,7.5
2024,8/12/24,16,12.3,8.2,10.25
2024,8/12/24,17,14.1,11.1,12.6
2024,8/12/24,18,13.6,17.4,15.5
2024,8/12/24,19,10.6,15.4,13
2024,8/12/24,20,13.2,14.7,13.95
2024,8/12/24,21,5.7,10,7.85
2024,8/12/24,22,10.1,9.2,9.65
2024,8/12/24,23,12,9.8,10.9
2024,8/12/24,24,16.5,11.4,13.95
2024,8/12/24,25,12.2,9.6,10.9
2024,8/12/24,26,8.6,14.7,11.65
2024,8/12/24,27,19.1,5.3,12.2
2024,8/12/24,28,10.4,12,11.2
2024,8/12/24,29,7.6,15.2,11.4
2024,8/12/24,30,6.2,5.4,5.8
2024,8/12/24,31,15.2,19.3,17.25
2024,8/12/24,32,12,14.2,13.1
2024,8/12/24,33,19.9,17.3,18.6
2024,8/12/24,34,14.8,6.1,10.45
2024,8/12/24,35,17.1,30.2,23.65
2024,8/12/24,36,23.3,18.1,20.7
2024,8/12/24,37,8,14.3,11.15
2024,8/12/24,38,8.2,13.6,10.9
2024,8/12/24,39,20.9,27.5,24.2
2024,8/12/24,40,10.7,12.3,11.5
2024,8/17/24,1,20.5,17.7,19.1
2024,8/17/24,2,16.5,16.7,16.6
2024,8/17/24,3,24.4,19.5,21.95
2024,8/17/24,4,11,12.4,11.7
2024,8/17/24,5,17.8,12.4,15.1
2024,8/17/24,6,4.5,13.3,8.9
2024,8/17/24,7,13.8,9.3,11.55
2024,8/17/24,8,15.9,11.4,13.65
2024,8/17/24,9,19.8,16.7,18.25
2024,8/17/24,10,18.9,12.2,15.55
2024,8/17/24,11,10.6,11.5,11.05
2024,8/17/24,12,15.3,9.9,12.6
2024,8/17/24,13,13.3,12.7,13
2024,8/17/24,14,12.8,18.1,15.45
2024,8/17/24,15,8.2,14.9,11.55
2024,8/17/24,16,11.6,13.8,12.7
2024,8/17/24,17,13.4,13.2,13.3
2024,8/17/24,18,14.7,11.8,13.25
2024,8/17/24,19,17.9,11.9,14.9
2024,8/17/24,20,12.9,12.6,12.75
2024,8/17/24,21,11.4,19.6,15.5
2024,8/17/24,22,10.8,12.9,11.85
2024,8/17/24,23,12.6,9.4,11
2024,8/17/24,24,13.8,13.9,13.85
2024,8/17/24,25,10.1,7.3,8.7
2024,8/17/24,26,10.7,15.5,13.1
2024,8/17/24,27,11.9,11.8,11.85
2024,8/17/24,28,14.1,12.5,13.3
2024,8/17/24,29,13.5,10.3,11.9
2024,8/17/24,30,13.2,10.8,12
2024,8/17/24,31,13.3,13.1,13.2
2024,8/17/24,32,17.5,13.7,15.6
2024,8/17/24,33,10.5,14.3,12.4
2024,8/17/24,34,15.4,17.8,16.6
2024,8/17/24,35,18.6,14.4,16.5
2024,8/17/24,36,13,16.5,14.75
2024,8/17/24,37,5.5,5.8,5.65
2024,8/17/24,38,5.2,12.1,8.65
2024,8/17/24,39,26.9,26.3,26.6
2024,8/17/24,40,15.2,14.9,15.05
