year,deployment_period,plot,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2024,year,1,3,A,No,8/16/23,8/17/24,366,Mixed,C,1.53,3.24,5,1.71,3.29
2024,year,1,6,B,No,8/16/23,8/17/24,366,Mixed,C,1.45,3.08,5,1.63,3.37
2024,year,1,1,C,No,8/16/23,8/17/24,366,Mixed,C,1.49,3.12,5,1.63,3.37
2024,year,2,2,A,No,8/16/23,8/17/24,366,Mixed,R,1.48,3.28,5,1.8,3.2
2024,year,2,4,B,No,8/16/23,8/17/24,366,Mixed,R,1.46,3.09,5,1.63,3.37
2024,year,2,9,C,No,8/16/23,8/17/24,366,Mixed,R,1.57,3.47,5,1.9,3.1
2024,year,3,3,A,No,8/16/23,8/17/24,366,Castilleja,C,1.53,3.81,5,2.28,2.72
2024,year,3,2,B,No,8/16/23,8/17/24,366,Castilleja,C,1.52,3.21,5,1.69,3.31
2024,year,3,5,C,No,8/16/23,8/17/24,366,Castilleja,C,1.51,3.15,5,1.64,3.36
2024,year,4,5,A,No,8/16/23,8/17/24,366,Castilleja,R,1.5,3.39,5,1.89,3.11
2024,year,4,2,B,No,8/16/23,8/17/24,366,Castilleja,R,1.57,2.86,5,1.29,3.71
2024,year,4,7,C,No,8/16/23,8/17/24,366,Castilleja,R,1.53,2.78,5,1.25,3.75
2024,year,5,3,A,No,8/16/23,8/17/24,366,Community,R,1.5,3.18,5,1.68,3.32
2024,year,5,6,B,No,8/16/23,8/17/24,366,Community,R,1.46,3.73,5,2.27,2.73
2024,year,5,9,C,No,8/16/23,8/17/24,366,Community,R,1.54,3.61,5,2.07,2.93
2024,year,6,3,A,No,8/16/23,8/17/24,366,Community,C,1.51,3.08,5,1.57,3.43
2024,year,6,4,B,No,8/16/23,8/17/24,366,Community,C,1.51,3.25,5,1.74,3.26
2024,year,6,2,C,No,8/16/23,8/17/24,366,Community,C,1.57,3.2,5,1.63,3.37
2024,year,7,1,A,No,8/16/23,8/17/24,366,Mixed,R,1.56,3.18,5,1.62,3.38
2024,year,7,4,B,No,8/16/23,8/17/24,366,Mixed,R,1.52,3.46,5,1.94,3.06
2024,year,7,7,C,No,8/16/23,8/17/24,366,Mixed,R,1.57,3.6,5,2.03,2.97
2024,year,8,5,A,No,8/16/23,8/17/24,366,Mixed,C,1.48,3.57,5,2.09,2.91
2024,year,8,2,B,No,8/16/23,8/17/24,366,Mixed,C,1.46,3.51,5,2.05,2.95
2024,year,8,3,C,No,8/16/23,8/17/24,366,Mixed,C,1.59,3.58,5,1.99,3.01
2024,year,9,1,A,No,8/16/23,8/17/24,366,Mixed,C,1.57,3.44,5,1.87,3.13
2024,year,9,2,B,No,8/16/23,8/17/24,366,Mixed,C,1.55,3.68,5,2.13,2.87
2024,year,9,6,C,No,8/16/23,8/17/24,366,Mixed,C,1.48,3.59,5,2.11,2.89
2024,year,10,5,A,No,8/16/23,8/17/24,366,Mixed,R,1.54,3.22,5,1.68,3.32
2024,year,10,2,B,No,8/16/23,8/17/24,366,Mixed,R,1.57,3.58,5,2.01,2.99
2024,year,10,1,C,No,8/16/23,8/17/24,366,Mixed,R,1.47,3.63,5,2.16,2.84
2024,year,11,9,A,No,8/16/23,8/17/24,366,Community,R,1.45,3.31,5,1.86,3.14
2024,year,11,2,B,No,8/16/23,8/17/24,366,Community,R,1.53,2.77,5,1.24,3.76
2024,year,11,7,C,No,8/16/23,8/17/24,366,Community,R,1.48,3.51,5,2.03,2.97
2024,year,12,4,A,No,8/16/23,8/17/24,366,Community,C,1.55,3.03,5,1.48,3.52
2024,year,12,4,B,No,8/16/23,8/17/24,366,Community,C,1.57,2.84,5,1.27,3.73
2024,year,12,9,C,No,8/16/23,8/17/24,366,Community,C,1.5,3.23,5,1.73,3.27
2024,year,13,3,A,No,8/16/23,8/17/24,366,Castilleja,C,1.57,3.83,5,2.26,2.74
2024,year,13,4,B,No,8/16/23,8/17/24,366,Castilleja,C,1.48,2.29,5,0.81,4.19
2024,year,13,6,C,No,8/16/23,8/17/24,366,Castilleja,C,1.55,3.47,5,1.92,3.08
2024,year,14,5,A,No,8/16/23,8/17/24,366,Castilleja,R,1.54,3.42,5,1.88,3.12
2024,year,14,3,B,No,8/16/23,8/17/24,366,Castilleja,R,1.57,2.39,5,0.82,4.18
2024,year,14,1,C,No,8/16/23,8/17/24,366,Castilleja,R,1.49,2.68,5,1.19,3.81
2024,year,17,5,A,No,8/16/23,8/17/24,366,Mixed,C,1.55,3.67,5,2.12,2.88
2024,year,17,8,B,No,8/16/23,8/17/24,366,Mixed,C,1.51,3.63,5,2.12,2.88
2024,year,17,9,C,No,8/16/23,8/17/24,366,Mixed,C,1.48,3.38,5,1.9,3.1
2024,year,18,1,A,No,8/16/23,8/17/24,366,Mixed,R,1.52,3.12,5,1.6,3.4
