year,deployment_period,plot,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2024,Overwinter,1,2,A,No,8/16/23,6/30/24,319,Mixed,C,1.6,3.225,5,1.625,3.375
2024,Overwinter,1,5,B,No,8/16/23,6/30/24,319,Mixed,C,1.59,3.227,5,1.637,3.363
2024,Overwinter,1,8,C,No,8/16/23,6/30/24,319,Mixed,C,1.55,3.223,5,1.673,3.327
2024,Overwinter,2,1,A,Yes,8/16/23,6/30/24,319,Mixed,R,1.57,,,,
2024,Overwinter,2,5,B,No,8/16/23,6/30/24,319,Mixed,R,1.56,4.021,5,2.461,2.539
2024,Overwinter,2,8,C,No,8/16/23,6/30/24,319,Mixed,R,1.54,3.424,5,1.884,3.116
2024,Overwinter,3,1,A,Yes,8/16/23,6/30/24,319,Castilleja,C,1.59,,,,
2024,Overwinter,3,4,B,No,8/16/23,6/30/24,319,Castilleja,C,1.55,2.901,5,1.351,3.649
2024,Overwinter,3,6,C,No,8/16/23,6/30/24,319,Castilleja,C,1.56,2.988,5,1.428,3.572
2024,Overwinter,4,1,A,No,8/16/23,6/30/24,319,Castilleja,R,1.57,2.801,5,1.231,3.769
2024,Overwinter,4,3,B,No,8/16/23,6/30/24,319,Castilleja,R,1.57,3.209,5,1.639,3.361
2024,Overwinter,4,8,C,No,8/16/23,6/30/24,319,Castilleja,R,1.55,2.865,5,1.315,3.685
2024,Overwinter,5,1,A,No,8/16/23,6/30/24,319,Community,R,1.56,2.883,5,1.323,3.677
2024,Overwinter,5,2,B,No,8/16/23,6/30/24,319,Community,R,1.56,3.29,5,1.73,3.27
2024,Overwinter,5,4,C,No,8/16/23,6/30/24,319,Community,R,1.55,2.852,5,1.302,3.698
2024,Overwinter,6,2,A,No,8/16/23,6/30/24,319,Community,C,1.55,3.06,5,1.51,3.49
2024,Overwinter,6,6,B,No,8/16/23,6/30/24,319,Community,C,1.56,3.31,5,1.75,3.25
2024,Overwinter,6,7,C,No,8/16/23,6/30/24,319,Community,C,1.56,3.549,5,1.989,3.011
2024,Overwinter,7,3,A,No,8/16/23,6/30/24,319,Mixed,R,1.55,3.333,5,1.783,3.217
2024,Overwinter,7,5,B,No,8/16/23,6/30/24,319,Mixed,R,1.58,3.076,5,1.496,3.504
2024,Overwinter,7,9,C,No,8/16/23,6/30/24,319,Mixed,R,1.54,3.078,5,1.538,3.462
2024,Overwinter,8,2,A,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.296,5,1.716,3.284
2024,Overwinter,8,4,B,No,8/16/23,6/30/24,319,Mixed,C,1.57,3.162,5,1.592,3.408
2024,Overwinter,8,7,C,No,8/16/23,6/30/24,319,Mixed,C,1.57,3.324,5,1.754,3.246
2024,Overwinter,9,3,A,No,8/16/23,6/30/24,319,Mixed,C,1.56,3.524,5,1.964,3.036
2024,Overwinter,9,4,B,Yes,8/16/23,6/30/24,319,Mixed,C,1.56,,,,
2024,Overwinter,9,9,C,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.647,5,2.067,2.933
2024,Overwinter,10,3,A,Yes,8/16/23,6/30/24,319,Mixed,R,1.57,,,,
2024,Overwinter,10,4,B,Yes,8/16/23,6/30/24,319,Mixed,R,1.55,,,,
2024,Overwinter,10,6,C,No,8/16/23,6/30/24,319,Mixed,R,1.56,3.12,5,1.56,3.44
2024,Overwinter,11,3,A,No,8/16/23,6/30/24,319,Community,R,1.57,3.14,5,1.57,3.43
