Site,Field Plot,Pair,Plot,Block,Litter,Removal,Elevation,Nitrate,Ammonium,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
Emerald Lake ,1A,1,1,1,Mixed,C,3214.529385,65,0,1451,145,179,12.9,5.7,1.4,0.25,1.49,0.9,11.1,0.38,8.7,0
Emerald Lake ,1B,1,2,1,Mixed,R,3214.303061,28,0,1121,106,211,12.8,3.2,0.9,0.18,1.03,0.4,7,0.04,6,0.04
Emerald Lake ,2A,2,3,2,Castilleja,C,3214.132079,67,0,1182,135,262,7.1,4.6,0.9,0.13,1.26,0.5,8.2,0.19,6.9,0
Emerald Lake ,2B,2,4,2,Castilleja,R,3214.686752,25,1,1694,209,469,4.8,5.7,1.2,0.4,1.61,0.5,6.7,0.22,7.3,0
Emerald Lake ,3A,3,5,2,Community,R,3213.215425,52,3,2012,189,269,27.2,4.2,1.4,0.35,1.88,1,12.6,0.34,8.8,0
Emerald Lake ,3B,3,6,2,Community,C,3213.489248,110,0,2340,167,175,21.5,5.1,1.5,0.34,2.48,0.7,16.3,1.24,8.1,0
Emerald Lake ,4A,4,7,2,Mixed,R,3212.745864,54,2,1034,99,188,11.3,5.1,1.1,0.27,0.86,1.2,8.7,0.18,10.3,0
Emerald Lake ,4B,4,8,2,Mixed,C,3212.821664,39,6,2040,143,664,12.3,4.9,1.6,0.23,0.91,0.8,9.6,0.15,7.8,0.09
Emerald Lake ,5A,5,9,3,Mixed,C,3214.160476,21,1,1154,133,270,9.3,6.8,1.8,0.15,1.39,0.4,12,0.07,8.2,0
Emerald Lake ,5B,5,10,3,Mixed,R,3214.758873,39,1,1439,136,242,3.4,5,1.3,0.15,1.43,0.7,8.7,0.27,9.8,0
Emerald Lake ,6A,6,11,3,Community,R,3218.005592,45,2,1590,210,292,5.1,4.1,1.2,0.17,0.89,0.6,4.7,0.08,7.1,0
Emerald Lake ,6B,6,12,3,Community,C,3214.805304,67,3,1252,153,189,5.2,5.2,1.1,0.05,0.82,0.7,8.8,0.27,7.9,0
