"","Location","Site","Plot","Paired.Plot","Castilleja","rich.cov","div.cov","even.cov"
"1","Almont",1,1,1,"Present",18,1.76876636382726,0.611951164757681
"2","Almont",1,2,1,"Absent",10,1.02890788229539,0.446849015667648
"3","Almont",1,3,2,"Present",14,1.81449979275122,0.687556034645049
"4","Almont",1,4,2,"Absent",10,1.24760004322652,0.541825814395538
"5","Almont",1,5,3,"Present",14,1.90112648963064,0.720380898245889
"6","Almont",1,6,3,"Absent",11,1.86765817227536,0.778873953947028
"7","Almont",1,7,4,"Present",12,1.87887838402755,0.756116284765806
"8","Almont",1,8,4,"Absent",12,1.70862574257694,0.687601581621872
"9","Almont",1,9,5,"Present",14,1.60091189261398,0.606622627954569
"10","Almont",1,10,5,"Absent",13,2.0108005815668,0.783953326687447
"11","Almont",1,11,6,"Present",17,2.14962898079113,0.758724712807396
"12","Almont",1,12,6,"Absent",15,2.19301461825342,0.809813133213276
"13","Almont",1,13,7,"Present",12,1.55603409914687,0.626194186924336
"14","Almont",1,14,7,"Absent",13,1.90775506584847,0.74377884315678
"15","Almont",1,15,8,"Present",12,1.73765438672656,0.699283567402746
"16","Almont",1,16,8,"Absent",14,1.89479913472502,0.717983316793372
"17","Almont",1,17,9,"Present",16,2.19609334104802,0.792073243114815
"18","Almont",1,18,9,"Absent",14,1.69585029833045,0.642596990713226
"19","Almont",1,19,10,"Present",15,1.9892214756865,0.734558567221858
"20","Almont",1,20,10,"Absent",13,1.88559903201777,0.735140842657377
"21","Almont",2,21,11,"Present",14,1.78231714932607,0.675361285003198
"22","Almont",2,22,11,"Absent",14,2.07265518248872,0.78537709629479
"23","Almont",2,23,12,"Present",14,1.80495723835863,0.68394013957316
"24","Almont",2,24,12,"Absent",17,1.93217652632743,0.681973537355007
"25","Almont",2,25,13,"Present",14,2.02889119933952,0.768793908556472
"26","Almont",2,26,13,"Absent",12,1.94759107019114,0.783768303874636
"27","Almont",2,27,14,"Present",14,1.63996881585937,0.621422201577734
"28","Almont",2,28,14,"Absent",11,1.37457582669393,0.573242644200129
"29","Almont",2,29,15,"Present",17,2.05828638946642,0.726484785829661
"30","Almont",2,30,15,"Absent",16,1.6535141880405,0.596379179781392
"31","Almont",3,31,16,"Present",14,1.89975378886984,0.719860750106098
"32","Almont",3,32,16,"Absent",14,2.02594553834858,0.767677729321604
"33","Almont",3,33,17,"Present",16,2.04623719475334,0.738024063338297
"34","Almont",3,34,17,"Absent",16,1.9608749611413,0.707236145560475
"35","Almont",3,35,18,"Present",17,1.69367835016391,0.597794145547517
"36","Almont",3,36,18,"Absent",11,1.84444775336022,0.76919445744089
"37","Almont",3,37,19,"Present",16,1.6991610192529,0.612842794037
"38","Almont",3,38,19,"Absent",10,1.49096753092467,0.647518971377498
"39","Almont",3,39,20,"Present",14,1.60736363031404,0.609067340931305
"40","Almont",3,40,20,"Absent",12,1.95097441469714,0.785129861865672
