Date,Location,Site,Distance (m),Plot,Paired Plot,Castilleja?,Achillea_millefolium,Agoseris_glauca,Allium_geyeri,Amelanchier_alnifolia,Antennaria_parviflora,Artemisia_arbuscula,Artemisia_tridentata,Asteraceae?,Astragalus_drummondii,Astragalus_miser,Balsamorhiza_sagittata,Bare_ground,Berberis_repens,Boechera_consanguina,Boechera_stricta,Calochortus_gunnisonii,Carex_sp._(pityophila?),Caryophyllaceae?,Castilleja_chromosa,Chrysothamnus_depresus,Chrysothamnus_vaseyi,Chrysothamnus_viscidiflorus,Crepis_occidentalis,Cyrtorhyncha_ranunculina,Delphinium_nuttallianum,Elymus_elymoides,Eremegone_congesta,Erigeron_eatonii,Eriogonum_racemosum,Eriogonum_umbellatum,Galium_boreale,Hesperostipa_comata,Lupinus_polyphylous,Mertensia_brevistyla,Pediocactus_simpsonii,Penstemon_caespitosus,Penstemon_strictus,Phlox_multiflora,Poa_compresa,Poaceae?,Polygonum_douglasii,Potentilla_pulcherrima,Pulsatilla_nuttalliana,Sedum_lanceolatum,Symphoricarpos_rotundifolius,Taraxacum_officianale,Vicia_americana,Wyethia_x_magna,Richness,Δ Richness (Castilleja-Control),Δ Bare Ground (Castilleja - Control),,Percent estimation
6/9/2024,Almont,1,2.6,1,1,Present,0.5,0,0,0,0.5,1,1,0,0,0,0,45,0,0,0,0.5,30,0,2,0,4,0,1,0,0,0,0,3,1,0,4,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0.5,0,0,16,8.000,-25.000,,103
6/9/2024,Almont,1,2.6,2,1,Absent,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0.5,0,0,0,0,5,0,2,0,0,0,0,2,0.5,0,0.5,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,8,,,,98.5
6/9/2024,Almont,1,3.6,3,2,Present,1,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,10,0,2,0,19,0,2,0,0,0,1,6,3,0,0.5,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,12,4.000,-20.000,,99.5
6/9/2024,Almont,1,3.6,4,2,Absent,0,0,0,0,0,0,0,0,0,0,0,65,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1.5,0,1.5,3,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,8,,,,103
6/9/2024,Almont,1,7.2,5,3,Present,0,0,0,3,0,3,0,0,0,0,0,40,0,0,0,0,2,0,1,0,6,0,1,0,0,0,0.5,0,0,0,0,8,0,0.5,0,0,0,3,0,0,0,0,0,0,15,0,0,5,12,3.000,5.000,,88
6/9/2024,Almont,1,7.2,6,3,Absent,0,0,0,0,3,17,0,0,0,0,0,35,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0.5,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,9,,,,91.5
6/9/2024,Almont,1,10,7,4,Present,0,0,0,0,10,0,0,0,0,0,0,40,0,0,0,1,1,0,4,0,23,0,7,0,0,0,0,1,0,0,0,17,0,0,0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,10,0.000,5.000,,108.5
6/9/2024,Almont,1,10,8,4,Absent,0,0,0,0,6,4,0,0,1,0,0,35,0,0,0,0.5,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,10,,,,63.5
6/9/2024,Almont,1,11.5,9,5,Present,0,0,0,0,10,3,0,0,0,0,0,55,0,0,1,1,0,0,1,0,22,0,3,0,0,0,0.5,0,0.25,0,0,2,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,12,1.000,30.000,,102.25
6/9/2024,Almont,1,11.5,10,5,Absent,0,0,0,0,17,17,0,0,0,0,0,25,0,0,0,0.5,0,0,0,0,20,0,6,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,11,,,,95.5
6/9/2024,Almont,1,13.2,11,6,Present,0,0,0,3,4,3,0,0,0,0,0,40,0,0,0,2,0,0,1.5,0,5,0,3,0,0,0,0.5,0,2,0,0,6,0,0,0,3.5,0,3,0,3,0,0,0,1,0,0,3,0,15,2.000,25.000,,83.5
6/9/2024,Almont,1,13.2,12,6,Absent,0,0,0,27,23,6,0,0,0,0,0,15,0,0,0,1,0,0,0,0,9,0,4,0,0,0,0.5,0,1,0,0,9,0,0,0,1.5,0,6,0,1,0,0,0,1,0,0,0,0,13,,,,105
6/9/2024,Almont,1,Na,13,7,Present,0,0,0,0,0,5,0,0.5,0,0,0,70,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,3,6,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,-1.000,25.000,,107.5
6/9/2024,Almont,1,Na,14,7,Absent,0,0,0,0,5,8,0,0,0,0,0,45,0,0,0,0.5,0,0,0,9,0.5,0,6,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,11,11,,,,95
6/9/2024,Almont,1,19.8,15,8,Present,0,0,0,0,0,0,40,0,0,0,0,30,0,0,0,1,3,0,4,5,0,0,3,0,0,0,1,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,-2.000,15.000,,93.5
