year,date,site,fieldplot,pair,plot,block,collection,litter,removal,family,genus,species,code,functional_group,life_history,cover,count,nearest_neighbor,percent_cover
2023,8/1/23,Emerald Lake,1A,1,1,1,Post,Mixed,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,2,8,0,0.02
2023,8/1/23,Emerald Lake,3B,3,6,2,Post,Community,C,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.1,3,0,0.001
2023,8/1/23,Emerald Lake,4B,4,8,2,Post,Mixed,C,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,1,4,0,0.01
2023,8/1/23,Emerald Lake,5B,5,10,3,Post,Mixed,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,1,5,0,0.01
2023,8/1/23,Emerald Lake,7A,7,13,4,Post,Castilleja,C,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.1,1,0,0.001
2023,8/1/23,Emerald Lake,9B,9,18,5,Post,Mixed,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.1,3,0,0.001
2023,8/1/23,Emerald Lake,10B,10,20,5,Post,Control,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,1,6,0,0.01
2023,8/1/23,Emerald Lake,13A,13,25,1,Post,Control,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.2,2,0,0.002
2023,8/1/23,Emerald Lake,15A,15,29,1,Post,Castilleja,C,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.4,1,0,0.004
2023,8/1/23,Emerald Lake,16A,16,31,2,Post,Control,C,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.5,3,0,0.005
2023,8/1/23,Emerald Lake,17A,17,33,4,Post,Community,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,1,5,0,0.01
2023,8/1/23,Emerald Lake,1A,1,1,1,Post,Mixed,R,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,1B,1,2,1,Post,Mixed,C,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,3,1,0,0.03
2023,8/1/23,Emerald Lake,2A,2,3,2,Post,Castilleja,C,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,6,1,0,0.06
2023,8/1/23,Emerald Lake,3B,3,6,2,Post,Community,C,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,4,1,0,0.04
2023,8/1/23,Emerald Lake,4B,4,8,2,Post,Mixed,C,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,2,5,0,0.02
2023,8/1/23,Emerald Lake,6A,6,11,3,Post,Community,R,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,5,1,0,0.05
2023,8/1/23,Emerald Lake,6B,6,12,3,Post,Community,C,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,7B,7,14,4,Post,Castilleja,R,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,3,1,0,0.03
2023,8/1/23,Emerald Lake,10B,10,20,5,Post,Control,R,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,3,1,0,0.03
2023,7/31/23,Emerald Lake,11A,11,21,3,Post,Castilleja,C,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,5,1,0,0.05
2023,8/1/23,Emerald Lake,13A,13,25,1,Post,Control,R,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,3,1,0,0.03
2023,8/1/23,Emerald Lake,8A,8,15,4,Post,Control,C,Brassicaceae,Barbarea,vulgaris,BAVU,forb,biennial,0.2,2,0,0.002
2023,8/1/23,Emerald Lake,2B,2,4,2,Post,Castilleja,R,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,2,3,0,0.02
2023,7/31/23,Emerald Lake,12B,12,24,3,Post,Control,R,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,5,11,0,0.05
2023,8/1/23,Emerald Lake,13B,13,26,1,Post,Control,C,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,0.1,1,1,0.001
2023,8/1/23,Emerald Lake,18A,18,35,5,Post,Community,C,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,0.2,2,0,0.002
2023,8/1/23,Emerald Lake,19B,19,38,5,Post,Castilleja,R,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,20A,20,39,4,Post,Mixed,C,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,0.1,1,0,0.001
2023,8/1/23,Emerald Lake,1B,1,2,1,Post,Mixed,C,Cyperaceae,Carex,Hoodii,CAHO,sedge,perennial,3,5,0,0.03
2023,8/1/23,Emerald Lake,2A,2,3,2,Post,Castilleja,C,Cyperaceae,Carex,Hoodii,CAHO,sedge,perennial,2,3,1,0.02
