year,plot,forb,grass,legume,sedge,shrub,delta_forb,delta_grass,delta_legume,delta_sedge,delta_shrub
2023,1,12,2,1,0,0,-1,1,0,0,0
2023,2,8,3,0,1,1,2,1,0,0,0
2023,3,6,1,1,1,0,8,2,0,0,0
2023,4,10,3,0,0,0,1,0,0,0,0
2023,5,10,1,1,0,1,3,2,0,1,0
2023,6,13,2,0,0,1,5,2,1,1,0
2023,7,12,2,0,0,0,-1,1,0,0,0
2023,8,12,3,0,0,1,5,0,1,0,0
2023,9,8,1,1,0,0,5,1,0,1,0
2023,10,10,2,1,0,0,-2,0,0,0,0
2023,11,11,2,0,0,1,-2,2,0,0,0
2023,12,11,2,1,0,1,4,2,0,0,0
2023,13,9,2,1,0,0,-1,1,0,0,0
2023,14,13,2,0,0,0,-3,1,0,0,0
2023,15,7,2,1,0,0,4,1,0,0,0
2023,16,9,2,0,1,0,1,0,0,-1,0
2023,17,9,2,1,0,0,4,0,0,0,0
2023,18,13,2,0,0,0,-2,0,1,0,0
2023,19,10,2,1,0,0,0,2,0,0,0
2023,20,14,2,1,0,0,-4,0,0,0,0
2023,21,14,2,0,0,0,-2,1,0,0,1
2023,22,7,1,1,1,0,9,1,-1,0,1
2023,23,9,2,0,1,1,5,1,0,-1,-1
2023,24,10,2,0,0,1,2,0,1,1,-1
2023,25,10,2,1,1,0,-4,2,0,0,0
2023,26,9,3,1,1,0,3,0,0,0,1
2023,27,7,1,0,0,1,-1,0,0,0,0
2023,28,10,2,0,0,1,-2,1,0,1,0
2023,29,8,2,1,0,0,2,0,0,0,0
2023,30,5,2,1,1,0,-1,1,0,-1,0
2023,31,6,2,1,0,0,3,1,0,0,0
2023,32,6,2,1,0,0,2,1,0,0,0
2023,33,12,2,1,0,0,-3,1,0,0,0
2023,34,7,1,1,0,0,6,1,0,0,0
2023,35,7,2,1,0,0,6,0,0,0,0
2023,36,7,1,0,0,0,4,1,0,0,0
2023,37,7,1,0,1,0,3,2,0,0,0
2023,38,7,3,1,0,0,3,0,0,0,0
2023,39,8,3,1,0,0,7,0,1,0,0
2023,40,10,1,1,0,0,0,0,0,0,0
2024,1,11,3,1,0,0,,,,,
2024,2,9,2,0,0,1,,,,,
2024,3,10,2,1,0,0,,,,,
2024,4,12,3,0,0,0,,,,,
2024,5,11,3,1,0,1,,,,,
2024,6,15,3,0,0,1,,,,,
2024,7,9,2,0,0,0,,,,,
2024,8,14,5,0,0,1,,,,,
2024,9,13,2,0,0,0,,,,,
2024,10,11,2,0,0,0,,,,,
2024,11,12,3,0,0,1,,,,,
2024,12,13,4,1,0,1,,,,,
2024,13,11,2,1,0,0,,,,,
2024,14,11,3,0,0,0,,,,,
2024,15,11,2,1,0,0,,,,,
2024,16,8,2,0,0,0,,,,,
2024,17,13,2,1,0,0,,,,,
2024,18,12,2,1,0,0,,,,,
2024,19,10,2,1,0,0,,,,,
2024,20,8,3,1,0,0,,,,,
2024,21,12,3,0,0,1,,,,,
2024,22,12,3,0,1,1,,,,,
2024,23,13,3,0,0,0,,,,,
2024,24,6,2,1,1,0,,,,,
2024,25,10,2,1,1,0,,,,,
2024,26,9,2,1,1,0,,,,,
2024,27,7,2,0,0,1,,,,,
2024,28,11,2,0,1,1,,,,,
2024,29,10,3,1,0,0,,,,,
2024,30,7,3,1,0,0,,,,,
2024,31,6,4,1,0,0,,,,,
2024,32,6,3,1,0,0,,,,,
2024,33,9,3,1,0,0,,,,,
2024,34,7,2,1,0,0,,,,,
2024,35,10,1,1,0,0,,,,,
2024,36,8,2,0,0,0,,,,,
2024,37,9,2,0,0,0,,,,,
2024,38,9,3,1,0,0,,,,,
2024,39,9,3,2,0,0,,,,,
2024,40,8,1,1,0,0,,,,,
2025,1,11,3,1,0,0,,,,,
2025,2,10,4,0,1,1,,,,,
2025,3,14,3,1,1,0,,,,,
2025,4,11,3,0,0,0,,,,,
2025,5,13,3,1,1,1,,,,,
2025,6,18,4,1,1,1,,,,,
2025,7,11,3,0,0,0,,,,,
2025,8,17,3,1,0,1,,,,,
2025,9,13,2,1,1,0,,,,,
