site,field_plot,pair,plot,block,litter,removal,elevation,disturbance_distance,disturbance_type,avg_moisture,delta_div,rich_23,rich_25,delta_rich,delta_even,delta_plant_cover,delta_total_cover,delta_env_cover,delta_forb_cover,delta_grass_cover,delta_legume_cover,delta_hemi_cover,delta_sedge_cover,delta_shrub_cover,delta_forb_rich,delta_grass_rich,delta_legume_rich,delta_sedge_rich,delta_shrub_rich
Emerald Lake ,1A,1,1,1,Mixed,R,3214.53,3.81,Treeline,5.99,-0.20802381,15,15,0,-0.07681683,0.204,-0.066,-0.27,0.114,0.11,-0.02,0,0,0,-1,1,0,0,0
Emerald Lake ,1B,1,2,1,Mixed,C,3214.30,5,Treeline,6.46,-0.105148,13,16,3,-0.10218351,0.13,-0.055,-0.15,0.1,-0.02,0,-0.035,0,0.05,2,1,0,0,0
Emerald Lake ,2A,2,3,2,Castilleja,C,3214.13,2.95,Trail,6.64,0.58963642,9,19,10,-0.01281593,0.021,-0.159,-0.09,0.071,0.03,-0.07,-0.09,-0.01,0,8,2,0,0,0
Emerald Lake ,2B,2,4,2,Castilleja,R,3214.69,4.62,Treeline,5.20,-0.01986595,13,14,1,-0.03253677,-0.02,-0.16,-0.14,0.04,-0.06,0,0,0,0,1,0,0,0,0
Emerald Lake ,3A,3,5,2,Community,R,3213.22,5.78,Treeline,5.15,0.13439131,13,19,6,-0.06611404,0.598,0.338,-0.26,0.308,0.1,0.14,0,0.03,0.02,3,2,0,1,0
Emerald Lake ,3B,3,6,2,Community,C,3213.49,7,Creek,4.96,0.43039397,16,25,9,0.02452384,0.259,0.229,-0.1,0.024,0.105,0.02,0.07,0.01,0.1,5,2,1,1,0
Emerald Lake ,4A,4,7,2,Mixed,R,3212.75,6.12,Treeline,5.38,-0.11476343,14,14,0,-0.04348652,0.33,0.2,-0.13,0.285,0.045,0,0,0,0,-1,1,0,0,0
Emerald Lake ,4B,4,8,2,Mixed,C,3212.82,6.8,Creek,6.03,0.03716025,16,22,6,-0.07574336,0.47,0.22,-0.31,0.18,0.03,0.01,0.06,0,0.25,5,0,1,0,0
Emerald Lake ,5A,5,9,3,Mixed,C,3214.16,3.46,Treeline,7.94,0.63079467,10,17,7,0.07950158,0.083,0.043,-0.05,0.123,-0.1,0.05,0.01,0.01,0,5,1,0,1,0
Emerald Lake ,5B,5,10,3,Mixed,R,3214.76,5.78,Trail,6.86,-0.06286589,13,11,-2,0.03191036,0.02,-0.02,-0.04,-0.065,0.07,0.015,0,0,0,-2,0,0,0,0
Emerald Lake ,6A,6,11,3,Community,R,3218.01,4.27,Treeline,5.17,-0.20918782,14,14,0,-0.07926612,-0.084,-0.174,-0.09,-0.164,0.08,0,0,0,0,-2,2,0,0,0
Emerald Lake ,6B,6,12,3,Community,C,3214.81,5.16,Treeline,5.19,0.41529896,15,21,6,0.05071405,0.335,0.12,-0.29,0.094,0.021,0.04,0.075,0,0.18,4,2,0,0,0
Emerald Lake ,7A,7,13,4,Castilleja,C,3210.22,3.3,Treeline,4.67,0.19840341,12,12,0,0.0798434,-0.191,-0.301,-0.1,-0.156,0.015,-0.05,-0.01,0,0,-1,1,0,0,0
Emerald Lake ,7B,7,14,4,Castilleja,R,3210.28,4.7,Treeline,6.60,-0.16294498,15,13,-2,-0.02266371,-0.07,-0.33,-0.26,-0.135,0.065,0,0,0,0,-3,1,0,0,0
Emerald Lake ,8A,8,15,4,Control,C,3207.14,4.18,Treeline,4.94,0.06910489,10,15,5,-0.10691263,0.094,0.002,-0.09,0.044,-0.05,0.1,-0.002,0,0,4,1,0,0,0
Emerald Lake ,8B,8,16,4,Control,R,3209.16,4.61,Treeline,5.47,-0.05225056,12,12,0,-0.02102718,0.228,0.138,-0.09,0.051,0.187,0,0,-0.01,0,1,0,0,-1,0
Emerald Lake ,9A,9,17,5,Mixed,C,3208.28,3.12,Treeline,5.89,0.47492733,12,16,4,0.09925472,0.093,0.073,-0.07,0.063,-0.065,0.095,0.05,0,0,4,0,0,0,0
Emerald Lake ,9B,9,18,5,Mixed,R,3207.11,4.35,Treeline,5.91,-0.11169027,15,13,-2,-0.00194747,0.059,-0.051,-0.11,0.049,-0.01,0.02,0,0,0,-2,0,1,0,0
Emerald Lake ,10A,10,19,5,Control,C,3207.27,2.22,Treeline,6.93,-0.06397601,13,15,2,-0.06625379,0.275,-0.095,-0.38,0.164,0.011,0.1,0.01,0,0,0,2,0,0,0
Emerald Lake ,10B,10,20,5,Control,R,3207.81,2.57,Treeline,5.66,0.18905569,15,13,-2,0.11852707,0.251,0.121,-0.13,0.182,0.049,0.02,0,0,0,-4,0,0,0,0
Emerald Lake ,11A,11,21,3,Castilleja,C,3211.66,9.25,Creek,4.80,-0.01835745,16,16,0,-0.00662105,0.005,0.035,-0.04,-0.195,-0.05,0,0.07,0,0.25,-2,1,0,0,1
Emerald Lake ,11B,11,22,3,Castilleja,R,3211.10,5.93,Creek,5.73,0.30461414,10,20,10,-0.09384925,0.31,-0.03,-0.34,0.46,-0.09,-0.03,0,-0.04,0.01,9,1,-1,0,1
Emerald Lake ,12A,12,23,3,Control,C,3215.35,6.92,Treeline,5.88,0.24416651,13,17,4,0.01329584,0.305,0.295,-0.02,0.405,0.21,0,0.01,-0.01,-0.3,5,1,0,-1,-1
Emerald Lake ,12B,12,24,3,Control,R,3211.64,9.6,Creek,5.93,0.27043531,13,16,3,0.0370415,-0.079,0.201,0.28,-0.194,0.055,0.06,0,0.1,-0.1,2,0,1,1,-1
Emerald Lake ,13A,13,25,1,Control,R,3217.02,4.62,Treeline,5.09,-0.08323798,14,12,-2,0.01888663,0.358,0.118,-0.24,0.123,0.105,0.08,0,0.05,0,-4,2,0,0,0
Emerald Lake ,13B,13,26,1,Control,C,3216.15,4.11,Trail,5.87,0.34229901,14,18,4,0.04695062,0.349,0.189,-0.23,0.11,0.049,0.11,0.07,0.03,0.05,3,0,0,0,1
