year,date,plot,soil_moisture_1,soil_moisture_2,average_soil_moisture
2023,8/1/23,1,2.4,0.7,1.55
2023,8/1/23,2,3.1,2.2,2.65
2023,8/1/23,3,2.9,1.9,2.4
2023,8/1/23,4,1.5,2.4,1.95
2023,8/1/23,5,1.2,1.9,1.55
2023,8/1/23,6,3.5,1.7,2.6
2023,8/1/23,7,2.7,1.8,2.25
2023,8/1/23,8,1.1,1.2,1.15
2023,8/1/23,9,7.5,6.6,7.05
2023,8/1/23,10,2.5,4.6,3.55
2023,8/1/23,11,3.2,3.6,3.4
2023,8/1/23,12,1.1,0.5,0.8
2023,8/1/23,13,2.1,1.8,1.95
2023,8/1/23,14,2.9,6.2,4.55
2023,8/1/23,15,3.8,4.1,3.95
2023,8/1/23,16,1.9,2.3,2.1
2023,8/1/23,17,3.3,2.9,3.1
2023,8/1/23,18,5.5,1.7,3.6
2023,8/1/23,19,7.4,2.8,5.1
2023,8/1/23,20,1.9,1.2,1.55
2023,8/1/23,21,2.1,3.3,2.7
2023,8/1/23,22,2.8,4.7,3.75
2023,8/1/23,23,2.8,3.7,3.25
2023,8/1/23,24,1.7,3.2,2.45
2023,8/1/23,25,0.6,2.3,1.45
2023,8/1/23,26,2,0.8,1.4
2023,8/1/23,27,2.9,3.6,3.25
2023,8/1/23,28,3.3,1.9,2.6
2023,8/1/23,29,2.9,3.5,3.2
2023,8/1/23,30,2.8,1.5,2.15
2023,8/1/23,31,3.4,3.9,3.65
2023,8/1/23,32,4.1,4.2,4.15
2023,8/1/23,33,3.6,3.4,3.5
2023,8/1/23,34,2.8,2.7,2.75
2023,8/1/23,35,6,5.9,5.95
2023,8/1/23,36,3.6,2.4,3
2023,8/1/23,37,2.5,2,2.25
2023,8/1/23,38,2.4,2.3,2.35
2023,8/1/23,39,2.9,4.6,3.75
2023,8/1/23,40,3.6,2.8,3.2
2023,8/3/23,1,14,12.7,13.35
2023,8/3/23,2,21.9,8.3,15.1
2023,8/3/23,3,8.6,17.6,13.1
2023,8/3/23,4,14.9,14.3,14.6
2023,8/3/23,5,12,15.7,13.85
2023,8/3/23,6,6.4,13.4,9.9
2023,8/3/23,7,9.2,20.6,14.9
2023,8/3/23,8,22.1,12.2,17.15
2023,8/3/23,9,13,6.8,9.9
2023,8/3/23,10,14.8,14.8,14.8
2023,8/3/23,11,0.7,23.9,12.3
2023,8/3/23,12,16.7,12.7,14.7
2023,8/3/23,13,9,11.7,10.35
2023,8/3/23,14,18.2,16.8,17.5
2023,8/3/23,15,14.7,15.5,15.1
2023,8/3/23,16,10.2,16.9,13.55
2023,8/3/23,17,11.2,7.7,9.45
2023,8/3/23,18,13.3,10.3,11.8
2023,8/3/23,19,23.6,15.3,19.45
2023,8/3/23,20,14.9,22.9,18.9
2023,8/3/23,21,3.8,9.5,6.65
2023,8/3/23,22,9.9,24.1,17
2023,8/3/23,23,17.6,14.6,16.1
2023,8/3/23,24,15.7,19.6,17.65
2023,8/3/23,25,12,26.7,19.35
2023,8/3/23,26,15.5,26.5,21
2023,8/3/23,27,10.7,9,9.85
2023,8/3/23,28,8.5,16.4,12.45
2023,8/3/23,29,15.2,21.8,18.5
2023,8/3/23,30,16.4,21.2,18.8
2023,8/3/23,31,22.8,10.6,16.7
2023,8/3/23,32,18.6,15.9,17.25
2023,8/3/23,33,20.4,18.9,19.65
2023,8/3/23,34,18.9,15.3,17.1
2023,8/3/23,35,27.7,11.4,19.55
2023,8/3/23,36,14.9,9.8,12.35
2023,8/3/23,37,16.4,10.7,13.55
2023,8/3/23,38,12.5,17.7,15.1
2023,8/3/23,39,22.6,25.3,23.95
2023,8/3/23,40,7.3,18.9,13.1
2023,8/7/23,1,6.7,9.8,8.25
2023,8/7/23,2,9.2,7.1,8.15
2023,8/7/23,3,7.2,12.8,10
2023,8/7/23,4,6.9,5.5,6.2
2023,8/7/23,5,6.2,5.4,5.8
2023,8/7/23,6,6.5,8.3,7.4
2023,8/7/23,7,3.8,9.3,6.55
2023,8/7/23,8,6.8,6.9,6.85
2023,8/7/23,9,10.2,9.4,9.8
2023,8/7/23,10,8.5,7.9,8.2
2023,8/7/23,11,8.3,6.1,7.2
2023,8/7/23,12,2.9,6.3,4.6
2023,8/7/23,13,4.1,2,3.05
2023,8/7/23,14,9.6,9.5,9.55
2023,8/7/23,15,3.1,5.4,4.25
2023,8/7/23,16,4.6,6.1,5.35
2023,8/7/23,17,5.5,5.7,5.6
2023,8/7/23,18,5.6,6.5,6.05
2023,8/7/23,19,10.5,8.9,9.7
2023,8/7/23,20,3.8,10.3,7.05
2023,8/7/23,21,3.3,4.5,3.9
2023,8/7/23,22,6.3,8.6,7.45
2023,8/7/23,24,9.2,7.4,8.3
2023,8/7/23,25,11.7,6.2,8.95
2023,8/7/23,26,7.1,8.5,7.8
2023,8/7/23,27,5.8,4.6,5.2
2023,8/7/23,28,10.8,5,7.9
2023,8/7/23,29,5.6,6.2,5.9
2023,8/7/23,30,9.6,7.5,8.55
2023,8/7/23,31,8.5,8.5,8.5
2023,8/7/23,32,7.9,11.4,9.65
2023,8/7/23,33,10,9.2,9.6
2023,8/7/23,34,6.6,10,8.3
2023,8/7/23,35,11.5,6.8,9.15
2023,8/7/23,36,12.3,4.7,8.5
2023,8/7/23,37,5.2,4,4.6
2023,8/7/23,38,5.1,4.1,4.6
2023,8/7/23,39,9.8,12.2,11
2023,8/7/23,40,7.6,15.1,11.35
2023,8/11/23,1,2.9,3.8,3.35
2023,8/11/23,2,3.6,3.7,3.65
2023,8/11/23,3,5.2,5.7,5.45
2023,8/11/23,4,3.5,4.6,4.05
2023,8/11/23,5,2.6,2.2,2.4
2023,8/11/23,6,6.2,3.5,4.85
2023,8/11/23,7,3.8,5.2,4.5
2023,8/11/23,8,3.8,4.6,4.2
2023,8/11/23,9,6.7,6.2,6.45
2023,8/11/23,10,6.9,6.1,6.5
2023,8/11/23,11,5.8,5.9,5.85
2023,8/11/23,12,2.1,5.4,3.75
2023,8/11/23,13,2.9,3.5,3.2
2023,8/11/23,14,4.2,1.5,2.85
2023,8/11/23,15,4.2,3.9,4.05
2023,8/11/23,16,6.4,3.4,4.9
2023,8/11/23,17,6.2,6.5,6.35
2023,8/11/23,18,4.9,3,3.95
2023,8/11/23,19,3.9,5.9,4.9
2023,8/11/23,20,2.4,4,3.2
2023,8/11/23,21,1.3,2.4,1.85
2023,8/11/23,22,3.4,3.6,3.5
2023,8/11/23,23,3.9,4.2,4.05
2023,8/11/23,24,3.1,4.5,3.8
2023,8/11/23,25,3.3,5.7,4.5
2023,8/11/23,26,6.3,3.7,5
2023,8/11/23,27,5.1,4.3,4.7
2023,8/11/23,28,3.9,4.5,4.2
2023,8/11/23,29,1.7,3.2,2.45
2023,8/11/23,30,4.9,0,2.45
2023,8/11/23,31,5.3,4.8,5.05
2023,8/11/23,32,5.1,5.1,5.1
2023,8/11/23,33,6.5,7.8,7.15
2023,8/11/23,34,4.9,10.3,7.6
2023,8/11/23,35,9.3,7,8.15
2023,8/11/23,36,7.1,4.7,5.9
2023,8/11/23,37,3.9,4.4,4.15
2023,8/11/23,38,3.8,4.2,4
2023,8/11/23,39,3.6,10.2,6.9
2023,8/11/23,40,4.2,4.8,4.5
2023,8/15/23,1,2.4,1.4,1.9
2023,8/15/23,2,3,3.7,3.35
2023,8/15/23,3,4.3,4.6,4.45
2023,8/15/23,4,3.4,3.6,3.5
2023,8/15/23,5,3,4.7,3.85
2023,8/15/23,6,4.1,4.1,4.1
2023,8/15/23,7,3.2,3.5,3.35
2023,8/15/23,8,1.6,2.7,2.15
2023,8/15/23,9,6.4,6.4,6.4
2023,8/15/23,10,2.8,4.3,3.55
2023,8/15/23,11,4.9,4,4.45
2023,8/15/23,12,2.8,5.1,3.95
2023,8/15/23,13,2.8,3.9,3.35
2023,8/15/23,14,3.6,4.4,4
2023,8/15/23,15,3,2,2.5
2023,8/15/23,16,4,3.9,3.95
2023,8/15/23,17,5.3,6.8,6.05
2023,8/15/23,18,4.4,3.8,4.1
2023,8/15/23,19,5.4,5.3,5.35
2023,8/15/23,20,1.6,3,2.3
2023,8/15/23,21,3.6,6.7,5.15
2023,8/15/23,22,3.8,3.8,3.8
2023,8/15/23,23,3.3,6.9,5.1
2023,8/15/23,24,2.4,1.9,2.15
2023,8/15/23,25,3.3,3.3,3.3
2023,8/15/23,26,3.5,4.2,3.85
2023,8/15/23,27,3.4,4,3.7
2023,8/15/23,28,3.8,3.4,3.6
2023,8/15/23,29,3.8,5.6,4.7
2023,8/15/23,30,5.1,4.7,4.9
2023,8/15/23,31,4.9,3.4,4.15
2023,8/15/23,32,5.6,4.9,5.25
2023,8/15/23,33,5.7,5,5.35
2023,8/15/23,34,3.8,5.2,4.5
2023,8/15/23,35,7.2,6.4,6.8
2023,8/15/23,36,4,4.9,4.45
2023,8/15/23,37,4.4,4.3,4.35
2023,8/15/23,38,1.8,3.9,2.85
2023,8/15/23,39,6.1,6.7,6.4
2023,8/15/23,40,4,3.3,3.65
