"plot","site","field_plot","pair","block","litter","removal","elevation","disturbance_distance","disturbance_type","asm23","asm24","asm25"
1,"Emerald Lake ","1A",1,1,"Mixed","R",3214.529385,3.81,"Treeline",5.68,9.7,2.5875
2,"Emerald Lake ","1B",1,1,"Mixed","C",3214.303061,5,"Treeline",6.58,10.3,2.5125
3,"Emerald Lake ","2A",2,2,"Castilleja","C",3214.132079,2.95,"Trail",7.08,9.95,2.8875
4,"Emerald Lake ","2B",2,2,"Castilleja","R",3214.686752,4.62,"Treeline",6.06,6.3375,3.1875
5,"Emerald Lake ","3A",3,2,"Community","R",3213.215425,5.78,"Treeline",5.49,7.45,2.5
6,"Emerald Lake ","3B",3,2,"Community","C",3213.489248,7,"Creek",5.77,6.175,2.925
7,"Emerald Lake ","4A",4,2,"Mixed","R",3212.745864,6.12,"Treeline",6.31,7.25,2.5875
8,"Emerald Lake ","4B",4,2,"Mixed","C",3212.821664,6.8,"Creek",6.3,8.8,3
9,"Emerald Lake ","5A",5,3,"Mixed","C",3214.160476,3.46,"Treeline",7.92,10.425,5.475
10,"Emerald Lake ","5B",5,3,"Mixed","R",3214.758873,5.78,"Trail",7.32,9.3125,3.9375
11,"Emerald Lake ","6A",6,3,"Community","R",3218.005592,4.27,"Treeline",6.64,5.5,3.375
12,"Emerald Lake ","6B",6,3,"Community","C",3214.805304,5.16,"Treeline",5.56,7.1,2.9
13,"Emerald Lake ","7A",7,4,"Castilleja","C",3210.215198,3.3,"Treeline",4.38,6.6875,2.9375
14,"Emerald Lake ","7B",7,4,"Castilleja","R",3210.283085,4.7,"Treeline",7.69,8.925,3.1875
15,"Emerald Lake ","8A",8,4,"Control","C",3207.142886,4.18,"Treeline",5.97,5.825,3.0375
16,"Emerald Lake ","8B",8,4,"Control","R",3209.155604,4.61,"Treeline",5.97,7.125,3.325
17,"Emerald Lake ","9A",9,5,"Mixed","C",3208.278304,3.12,"Treeline",6.11,7.5625,3.9875
18,"Emerald Lake ","9B",9,5,"Mixed","R",3207.1131,4.35,"Treeline",5.9,8.475,3.3625
19,"Emerald Lake ","10A",10,5,"Control","C",3207.270977,2.22,"Treeline",8.9,8.7875,3.0875
20,"Emerald Lake ","10B",10,5,"Control","R",3207.806218,2.57,"Treeline",6.6,7.7125,2.6625
21,"Emerald Lake ","11A",11,3,"Castilleja","C",3211.664924,9.25,"Creek",4.05,7.05,3.3
22,"Emerald Lake ","11B",11,3,"Castilleja","R",3211.096031,5.93,"Creek",7.1,6.675,3.4
23,"Emerald Lake ","12A",12,3,"Control","C",3215.348404,6.92,"Treeline",7.125,7.2375,3.275
24,"Emerald Lake ","12B",12,3,"Control","R",3211.643745,9.6,"Creek",6.87,7.8,3.1125
25,"Emerald Lake ","13A",13,1,"Control","R",3217.015556,4.62,"Treeline",7.51,5.525,2.225
26,"Emerald Lake ","13B",13,1,"Control","C",3216.145001,4.11,"Trail",7.81,7.4625,2.325
27,"Emerald Lake ","14A",14,1,"Community","C",3216.19598,4.33,"Treeline",5.34,7.4875,3
28,"Emerald Lake ","14B",14,1,"Community","R",3216.001015,7.29,"Trail",6.15,7.8625,3.2125
29,"Emerald Lake ","15A",15,1,"Castilleja","C",3216.514942,5.93,"Treeline",6.95,7.5,3.75
30,"Emerald Lake ","15B",15,1,"Castilleja","R",3218.547977,6.88,"Trail",7.37,5.3,4.1125
31,"Emerald Lake ","16A",16,2,"Control","C",3216.43204,2.95,"Treeline",7.61,9.575,3.35
32,"Emerald Lake ","16B",16,2,"Control","R",3215.721708,5.1,"Treeline",8.28,9.1625,4.7
33,"Emerald Lake ","17A",17,4,"Community","R",3210.958403,5.61,"Trail",9.05,9.675,5.1375
34,"Emerald Lake ","17B",17,4,"Community","C",3214.838866,2.77,"Trail",8.05,8.8875,5.0875
35,"Emerald Lake ","18A",18,5,"Community","C",3208.328564,3.55,"Trail",9.92,12.35,5.15
36,"Emerald Lake ","18B",18,5,"Community","R",3208.763818,4,"Treeline",6.84,11.725,4.8875
37,"Emerald Lake ","19A",19,5,"Castilleja","C",3208.841651,4.3,"Treeline",5.78,5.75,3.6125
38,"Emerald Lake ","19B",19,5,"Castilleja","R",3208.213374,3.7,"Treeline",5.78,5.75,3.65
39,"Emerald Lake ","20A",20,4,"Mixed","C",3210.320734,1.9,"Trail",10.4,14.775,4.8375
40,"Emerald Lake ","20B",20,4,"Mixed","R",3213.273701,3.37,"Treeline",7.16,8.35,4.2125
