Date,Site,Field Plot,Pair,Plot,Treatment,Achillea millefolium,Achnatherum nelsonii,Agoseris glauca leaves,Agoserius aurantiaca,Boechera stricta,Botrychium sp.,Bromus inermis,Carex obtusata,Castilleja septentrionalis,Dactylis glomerata,Elymus lanceolatus,Elymus trachycaulus,Erigeron coulteri,Erigeron speciosus,Erigeron subtrinervis,Fragaria virginiana,Hymenoxys hoopesii,Ipomopsis aggregata,Lathyrus lanszwertii,Mertensia brevistyla,Poa compressa,Poa pratensis,Potentilla pulcherrima,Solidago multiradiata,Taraxacum officinale,Thalictrum fendleri,Trisetum spicatum ,Valeriana occidentalis,Viola adunca
7/10/24,Avery,C1,1,1,Castilleja,8,0,0,0,0,0,2,0,1,0,7,0,0,1,0,0,0,2,0,0,0,7,3,0,10,0,0,0,0
7/10/24,Avery,C1C,1,2,Control,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,11,0,7,0,0,0,5,1,0,7,1,0,0,1
7/10/24,Avery,C2,2,3,Castilleja,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,10,15,0,12,1,0,2,0
7/10/24,Avery,C2C,2,4,Control,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,11,3,0,30,0,0,0,2
7/10/24,Avery,C3,3,5,Castilleja,8,1,4,0,0,0,0,1,2,3,0,0,4,0,0,0,0,6,0,0,1,1,5,0,30,0,0,0,2
7/10/24,Avery,C3C,3,6,Control,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,7,2,0,10,0,0,0,1
7/10/24,Avery,C4,4,7,Castilleja,1,0,3,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,3,4,0,20,0,0,0,0
7/10/24,Avery,C4C,4,8,Control,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,3,0,1,0,3,0,10,0,0,0,0
7/10/24,Avery,C5,5,9,Castilleja,0,1,6,0,0,0,0,0,1,1,0,0,3,0,0,1,0,4,0,0,1,1,5,0,40,0,0,0,0
7/10/24,Avery,C5C,5,10,Control,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0,0,1,6,0,10,0,0,0,0
7/10/24,Avery,C6,6,11,Castilleja,0,1,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,10,0,5,0,10,0,0,0,0
