Date,Site,Field Plot,Paired Plot,Plot,Treatment,Achratherum lettermanii,Agastache urticifolia,Amelanchier alnifolia,Antennaria parvifolia,Arctostaphylos uva-ursi,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus inermis,Calochortus gunnisonii,Carex geyeri,Castilleja linariifolia,Collomia linearis,Crepis acuminata,Crepis intermedia,Crepis occidentalis,Delphinum nuttalliianum,Elymus elymoides,Elymus glaucus,Eremogone congesta,Erigeron flagellaris,Erigeron speciosus,Eriogonum umbellatum var. aureum,Eriogonum umbellatum var. majus,Festuca rubra,Festuca thurberi,Galium bifolium,Gayophytum diffusum,Heliomerus multiflora,Hesperostipa comata,Heterotheca villosa,Hydrophyllum capitatum,Ipomopsis aggregatta,Juniperusus commonis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus argenteus,Lupinus polyphyllus,Mertensia brevistyla,Paxistima myrsinites,Poa fendleriana,Poa glauca,Poa pratensis,Polygonum douglasii,Populus tremuloides,Potentilla hippiana,Rosa woodsii,Sedum lanceolatum,Senecio integerrimus,Symphoricarpos rotundifolius,Taraxacum officinale,Vicia americana,Viola nuttalii,Viola praemorsa,Wyethia amplexicaulis
7/5/24,Deer Creek 1,A1,1,1,Castilleja,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0
7/5/24,Deer Creek 1,A1C,1,2,Control,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,5,0,12,0,3,0,0,1,0,2,0,0,1,0
7/5/24,Deer Creek 1,A2,2,3,Castilleja,0,0,0,0,0,1,5,0,0,0,3,1,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0
7/5/24,Deer Creek 1,A2C,2,4,Control,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,2,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,8,0,0,0,0,2,0,0,0,0,1,0
7/5/24,Deer Creek 1,A3,3,5,Castilleja,0,0,3,0,0,2,5,0,0,1,3,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0
7/5/24,Deer Creek 1,A3C,3,6,Control,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0
7/5/24,Deer Creek 1,A4,4,7,Castilleja,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
7/5/24,Deer Creek 1,A4C,4,8,Control,0,0,3,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,4,1,0,0,0,0,0
7/5/24,Deer Creek 1,A5,5,9,Castilleja,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
7/5/24,Deer Creek 1,A5C,5,10,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
