Site,species,Plot,Pair,Castilleja,div,even,rich
Avery,Castilleja septentrionalis,1,1,Present,1.756226537,0.844566438,8
Avery,Castilleja septentrionalis,2,1,Absent,1.58405176,0.814041574,7
Avery,Castilleja septentrionalis,3,2,Present,1.57508862,0.879073697,6
Avery,Castilleja septentrionalis,4,2,Absent,1.446365509,0.80723196,6
Avery,Castilleja septentrionalis,5,3,Present,1.611001316,0.899116954,6
Avery,Castilleja septentrionalis,6,3,Absent,1.471359916,0.756129422,7
Avery,Castilleja septentrionalis,7,4,Present,1.715051457,0.82476541,8
Avery,Castilleja septentrionalis,8,4,Absent,1.551213365,0.963823055,5
Avery,Castilleja septentrionalis,9,5,Present,1.203788426,0.671847112,6
Avery,Castilleja septentrionalis,10,5,Absent,1.039251703,0.749661639,4
Avery,Castilleja septentrionalis,11,6,Present,1.602047477,0.823289543,7
Avery,Castilleja septentrionalis,12,6,Absent,1.529339118,0.853540413,6
Avery,Castilleja septentrionalis,13,7,Present,1.667631306,0.856992964,7
Avery,Castilleja septentrionalis,14,7,Absent,1.834849745,0.942926242,7
Avery,Castilleja septentrionalis,15,8,Present,1.622702204,0.780354808,8
Avery,Castilleja septentrionalis,16,8,Absent,1.157275083,0.834797512,4
Avery,Castilleja septentrionalis,17,9,Present,1.455242107,0.747846506,7
Avery,Castilleja septentrionalis,18,9,Absent,1.563590125,0.803526373,7
Avery,Castilleja septentrionalis,19,10,Present,2.154594255,0.935728396,10
Avery,Castilleja septentrionalis,20,10,Absent,1.637422048,0.913862645,6
Avery,Castilleja septentrionalis,21,11,Present,1.816577544,0.933536189,7
Avery,Castilleja septentrionalis,22,11,Absent,1.535397885,0.789038428,7
Avery,Castilleja septentrionalis,23,12,Present,1.651239378,0.794078287,8
Avery,Castilleja septentrionalis,24,12,Absent,1.415189827,0.727263706,7
Avery,Castilleja septentrionalis,25,13,Present,1.614324674,0.776326067,8
Avery,Castilleja septentrionalis,26,13,Absent,1.699007453,0.817049876,8
Avery,Castilleja septentrionalis,27,14,Present,1.914533639,0.87134181,9
Avery,Castilleja septentrionalis,28,14,Absent,1.273099619,0.791021268,5
Avery,Castilleja septentrionalis,29,15,Present,1.982624419,0.902331259,9
Avery,Castilleja septentrionalis,30,15,Absent,1.395737415,0.778975883,6
Avery,Castilleja septentrionalis,31,16,Present,1.708101699,0.821423284,8
Avery,Castilleja septentrionalis,32,16,Absent,1.282606493,0.796928222,5
Avery,Castilleja septentrionalis,33,17,Present,1.7034382,0.775268135,9
Avery,Castilleja septentrionalis,34,17,Absent,1.621830663,0.833456089,7
Avery,Castilleja septentrionalis,35,18,Present,1.286349644,0.717925406,6
Avery,Castilleja septentrionalis,36,18,Absent,1.654698485,0.850346808,7
Avery,Castilleja septentrionalis,37,19,Present,1.657164583,0.851614132,7
Avery,Castilleja septentrionalis,38,19,Absent,1.549812773,0.864966978,6
Avery,Castilleja septentrionalis,39,20,Present,1.102458369,0.615293731,6
Avery,Castilleja septentrionalis,40,20,Absent,1.134747411,0.705058208,5
Emerald Lake,Castilleja septentrionalis,41,21,Present,1.903939756,0.915601481,8
Emerald Lake,Castilleja septentrionalis,42,21,Absent,1.990498174,0.864462373,10
Emerald Lake,Castilleja septentrionalis,43,22,Present,2.409510474,0.939398849,13
Emerald Lake,Castilleja septentrionalis,44,22,Absent,2.07465494,0.834902567,12
Emerald Lake,Castilleja septentrionalis,45,23,Present,2.128950786,0.856752823,12
Emerald Lake,Castilleja septentrionalis,46,23,Absent,2.219503666,0.893193982,12
Emerald Lake,Castilleja septentrionalis,47,24,Present,2.170564848,0.873499553,12
Emerald Lake,Castilleja septentrionalis,48,24,Absent,2.019782589,0.877180433,10
Emerald Lake,Castilleja septentrionalis,49,25,Present,2.050373892,0.855072328,11
Emerald Lake,Castilleja septentrionalis,50,25,Absent,2.12359812,0.885609202,11
Emerald Lake,Castilleja septentrionalis,51,26,Present,2.438209836,0.923894229,14
Emerald Lake,Castilleja septentrionalis,52,26,Absent,2.062479801,0.860120884,11
Emerald Lake,Castilleja septentrionalis,53,27,Present,2.173702029,0.906504155,11
Emerald Lake,Castilleja septentrionalis,54,27,Absent,1.673670623,0.761720327,9
Emerald Lake,Castilleja septentrionalis,55,28,Present,2.20638362,0.860205529,13
Emerald Lake,Castilleja septentrionalis,56,28,Absent,1.885535941,0.858144388,9
Emerald Lake,Castilleja septentrionalis,57,29,Present,2.201539868,0.918113436,11
Emerald Lake,Castilleja septentrionalis,58,29,Absent,1.847060796,0.888248483,8
Emerald Lake,Castilleja septentrionalis,59,30,Present,1.971146328,0.897107354,9
Emerald Lake,Castilleja septentrionalis,60,30,Absent,1.4885975,0.764987788,7
Emerald Lake,Castilleja septentrionalis,61,31,Present,1.852168688,0.890704861,8
Emerald Lake,Castilleja septentrionalis,62,31,Absent,1.556270177,0.799764664,7
Emerald Lake,Castilleja septentrionalis,63,32,Present,1.761356649,0.905158262,7
Emerald Lake,Castilleja septentrionalis,64,32,Absent,1.412753733,0.877793248,5
Emerald Lake,Castilleja septentrionalis,65,33,Present,2.172029859,0.905806806,11
Emerald Lake,Castilleja septentrionalis,66,33,Absent,2.08940859,0.907418621,10
Emerald Lake,Castilleja septentrionalis,67,34,Present,2.457221835,0.907376766,15
Emerald Lake,Castilleja septentrionalis,68,34,Absent,2.106478091,0.914831811,10
Emerald Lake,Castilleja septentrionalis,69,35,Present,2.395314372,0.933864197,13
Emerald Lake,Castilleja septentrionalis,70,35,Absent,1.864723479,0.848672229,9
Emerald Lake,Castilleja septentrionalis,71,36,Present,2.051958198,0.933886421,9
Emerald Lake,Castilleja septentrionalis,72,36,Absent,1.837541453,0.836301156,9
Emerald Lake,Castilleja septentrionalis,73,37,Present,1.950017743,0.846881946,10
Emerald Lake,Castilleja septentrionalis,74,37,Absent,1.60978664,0.827266686,7
Emerald Lake,Castilleja septentrionalis,75,38,Present,1.859087401,0.846107139,9
Emerald Lake,Castilleja septentrionalis,76,38,Absent,1.506759834,0.936202523,5
Emerald Lake,Castilleja septentrionalis,77,39,Present,2.330523296,0.937871568,12
Emerald Lake,Castilleja septentrionalis,78,39,Absent,2.077247463,0.902137111,10
