"Site","Plot","Castilleja","div","even","rich","species"
"Avery",1,"Present",1.75622653658528,0.844566438336397,8,"Castilleja septentrionalis"
"Avery",2,"Absent",1.58405176045945,0.814041573927997,7,"Castilleja septentrionalis"
"Avery",3,"Present",1.5750886204416,0.879073696828401,6,"Castilleja septentrionalis"
"Avery",4,"Absent",1.44636550875476,0.80723196031323,6,"Castilleja septentrionalis"
"Avery",5,"Present",1.61100131561697,0.89911695363387,6,"Castilleja septentrionalis"
"Avery",6,"Absent",1.47135991583092,0.756129421774806,7,"Castilleja septentrionalis"
"Avery",7,"Present",1.71505145652869,0.824765410401109,8,"Castilleja septentrionalis"
"Avery",8,"Absent",1.55121336503388,0.963823054651324,5,"Castilleja septentrionalis"
"Avery",9,"Present",1.20378842557185,0.671847112431045,6,"Castilleja septentrionalis"
"Avery",10,"Absent",1.03925170330881,0.749661639299517,4,"Castilleja septentrionalis"
"Avery",11,"Present",1.60204747741073,0.823289543039014,7,"Castilleja septentrionalis"
"Avery",12,"Absent",1.5293391180588,0.853540413389129,6,"Castilleja septentrionalis"
"Avery",13,"Present",1.66763130578846,0.856992963728592,7,"Castilleja septentrionalis"
"Avery",14,"Absent",1.83484974479786,0.942926242349181,7,"Castilleja septentrionalis"
"Avery",15,"Present",1.62270220408056,0.780354807555538,8,"Castilleja septentrionalis"
"Avery",16,"Absent",1.15727508345053,0.834797511919221,4,"Castilleja septentrionalis"
"Avery",17,"Present",1.45524210681669,0.747846506439763,7,"Castilleja septentrionalis"
"Avery",18,"Absent",1.56359012495089,0.803526373357972,7,"Castilleja septentrionalis"
"Avery",19,"Present",2.15459425495,0.935728395665234,10,"Castilleja septentrionalis"
"Avery",20,"Absent",1.63742204806482,0.913862645174285,6,"Castilleja septentrionalis"
"Avery",21,"Present",1.81657754427121,0.933536188787089,7,"Castilleja septentrionalis"
"Avery",22,"Absent",1.53539788466739,0.789038427808595,7,"Castilleja septentrionalis"
"Avery",23,"Present",1.65123937791315,0.794078287278625,8,"Castilleja septentrionalis"
"Avery",24,"Absent",1.41518982742204,0.727263706450721,7,"Castilleja septentrionalis"
"Avery",25,"Present",1.61432467387133,0.776326067126288,8,"Castilleja septentrionalis"
"Avery",26,"Absent",1.69900745323772,0.817049875739817,8,"Castilleja septentrionalis"
"Avery",27,"Present",1.91453363945794,0.87134180966563,9,"Castilleja septentrionalis"
"Avery",28,"Absent",1.2730996187006,0.791021268273202,5,"Castilleja septentrionalis"
"Avery",29,"Present",1.98262441907285,0.902331258954178,9,"Castilleja septentrionalis"
"Avery",30,"Absent",1.39573741457557,0.77897588294979,6,"Castilleja septentrionalis"
"Avery",31,"Present",1.70810169924231,0.821423283610296,8,"Castilleja septentrionalis"
"Avery",32,"Absent",1.28260649332321,0.79692822159471,5,"Castilleja septentrionalis"
"Avery",33,"Present",1.70343819954773,0.775268134681471,9,"Castilleja septentrionalis"
"Avery",34,"Absent",1.62183066294799,0.833456089293408,7,"Castilleja septentrionalis"
"Avery",35,"Present",1.28634964400928,0.717925405781995,6,"Castilleja septentrionalis"
"Avery",36,"Absent",1.6546984846522,0.850346808384503,7,"Castilleja septentrionalis"
"Avery",37,"Present",1.65716458296402,0.851614132219067,7,"Castilleja septentrionalis"
"Avery",38,"Absent",1.54981277285642,0.864966977696022,6,"Castilleja septentrionalis"
"Avery",39,"Present",1.10245836866107,0.615293730880094,6,"Castilleja septentrionalis"
"Avery",40,"Absent",1.13474741096294,0.705058208332349,5,"Castilleja septentrionalis"
"Emerald Lake",41,"Present",1.90393975611195,0.915601481431351,8,"Castilleja septentrionalis"
"Emerald Lake",42,"Absent",1.99049817389147,0.864462373159566,10,"Castilleja septentrionalis"
"Emerald Lake",43,"Present",2.40951047364204,0.939398848804825,13,"Castilleja septentrionalis"
"Emerald Lake",44,"Absent",2.07465494033163,0.834902566866497,12,"Castilleja septentrionalis"
"Emerald Lake",45,"Present",2.12895078610095,0.856752822599023,12,"Castilleja septentrionalis"
"Emerald Lake",46,"Absent",2.21950366614376,0.893193982290287,12,"Castilleja septentrionalis"
