Date,Site,Field Plot,Plot,Treatment,Agastache urticifolia,Amelanchier alnifolia,Arctostaphylos uva-ursi,Artemisia tridentada,Berberis repens,Bochera stricta,Bromus inermis,Calochortus gunnisonii,Carex obtusata,Castilleja linariifolia,Collomia linearis,Crepis Acuminata ,Crepis occidentalis,Delphinum nuttalliianum,Elymus elymoides,Elymus glaucus,Eremogone congesta,Erigeron speciosus,*Erigeron sp. ,Eriogonum umbellatum,Festuca thurberi,Galium bifolium,Gayophytum diffusum,Heliomerus multiflora ,Hesperostipa  comata,Heterotheca villosa,Ipomopsis aggregatta,Juniperusus commonis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus argenteus ,Poa pratensis,Poa sp.,Populus tremuloides,Potentilla hippiana,Rosa blanda,Senecio integerrimus,Simphoricarpos rotundifolius,Vicia americana,Viola nuttalii,Wyethia amplexicaulis
7/7/23,Deer Creek 1,C1,1,Castilleja,0,0,0,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
7/7/23,Deer Creek 1,C1C,2,Control,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
7/7/23,Deer Creek 1,C2,3,Castilleja,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,1,1,15,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
7/7/23,Deer Creek 1,C2C,4,Control,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,2,0
7/11/23,Deer Creek 1,C3,5,Castilleja,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,2,0,0,0,2,0
7/11/23,Deer Creek 1,C3C,6,Control,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0
7/11/23,Deer Creek 1,C4,7,Castilleja,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,15,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
7/11/23,Deer Creek 1,C4C,8,Control,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7/11/23,Deer Creek 1,C5,9,Castilleja,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,15,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
7/11/23,Deer Creek 1,C5C,10,Control,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C6,11,Castilleja,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,15,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C6C,12,Control,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,15,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C7,13,Castilleja,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,3,0,0,0
7/11/23,Deer Creek 1,C7C,14,Control,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
7/11/23,Deer Creek 1,C8,15,Castilleja,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C8C,16,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,15,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
7/11/23,Deer Creek 1,C9,17,Castilleja,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,3,0,0
7/11/23,Deer Creek 1,C9C,18,Control,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,15,15,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0
7/13/23,Deer Creek 1,C10,19,Castilleja,3,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,5,0,0,0,15,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,1,0
7/13/23,Deer Creek 1,C10C,20,Control,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,2,0,15,15,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,1,0
7/13/23,Deer Creek 1,C11,21,Castilleja,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
