Family,Genus,Species,Taxa,Functional group,Life history,Also called
Lamiaceae,Agastache,urticifolia,Agastache.urticifolia,Forb,Perennial,nettle
Liliaceae,Calochortus,gunnisonii,Calochortus.gunnisonii,Forb,Perennial,
Asteraceae,Collomia,linearis,Collomia.linearis,Forb,Annual,purple
Asteraceae,Crepis,acuminata ,Crepis.acuminata ,Forb,Perennial,
Asteraceae,Crepis,occidentalis,Crepis.occidentalis,Forb,Perennial,
Ranunculaceae,Delphinum ,nuttalliianum,Delphinum .nuttalliianum,Forb,Perennial,
Caryophyllaceae,Eremogone ,congesta,Eremogone .congesta,Forb,Perennial,sandwort
Asteraceae,Erigeron,speciosus,Erigeron.speciosus,Forb,Perennial,
Polygonaceae,Eriogonum,umbellatum,Eriogonum.umbellatum,Forb,Perennial,
Rubiaceae,Galium ,bifolium,Galium .bifolium,Forb,Annual,
Onagraceae,Gayophytum,diffusum,Gayophytum.diffusum,Forb,Annual,
Asteraceae,Heliomerus,multiflora ,Heliomerus.multiflora ,Forb,Perennial,joseph
Asteraceae,Heterotheca,villosa,Heterotheca.villosa,Forb,Perennial,
Polemoniaceae,Ipomopsis,aggregatta,Ipomopsis.aggregatta,Forb,Biennial,
Linaceae,Linum ,lewisii,Linum .lewisii,Forb,Perennial,
Apiaceae,Lomatium,dissectum,Lomatium.dissectum,Forb,Perennial,osha/ parsley
Rosaceae,Potentilla,hippiana,Potentilla.hippiana,Forb,Perennial,
Asteraceae,Senecio,integerrimus,Senecio.integerrimus,Forb,Perennial,
Violaceae,Viola,nuttalii,Viola.nuttalii,Forb,Perennial,
Asteraceae,Wyethia,amplexicaulis,Wyethia.amplexicaulis,Forb,Perennial,
Poaceae,Bromus,inermis,Bromus.inermis,Grass,Perennial,
Poaceae,Elymus,elymoides,Elymus.elymoides,Grass,Perennial,
Poaceae,Festuca,thurberi,Festuca.thurberi,Grass,Perennial,
Poaceae,Hesperostipa ,comata,Hesperostipa .comata,Grass,Perennial,
Poaceae,Koeleria ,macrantha,Koeleria .macrantha,Grass,Perennial,narrow poa
Poaceae,Poa,pratensis,Poa.pratensis,Grass,Perennial,
Poaceae,Poa,sp.,Poa.sp.,Grass,Perennial,
Poaceae,Elymus,glaucus,Elymus.glaucus,Grass,Perennial,
Orobanchaceae,Castilleja,linariifolia ,Castilleja.linariifolia ,Hemiparasite,Perennial,
Fabaceae,Lathyrus,lanszwertii,Lathyrus.lanszwertii,Legume,Perennial,
Fabaceae,Lupinus ,argenteus ,Lupinus .argenteus ,Legume,Perennial,
Fabaceae,Vicia,americana,Vicia.americana,Legume,Perennial,
Cyperaceae,Carex,obtusata,Carex.obtusata,Sedge,Perennial,
Rosaceae,Amelanchier,alnifolia,Amelanchier.alnifolia,Shrub,Perennial,white rose
Ericaceae,Arctostaphylos,uva-ursi,Arctostaphylos.uva-ursi,Shrub,Perennial,bear berry
Asteraceae,Artemisia,tridentada,Artemisia.tridentada,Shrub,Perennial,
Berberidaceae,Berberis,repens,Berberis.repens,Shrub,Perennial,
Cupressaceae,Juniperus,commonis,Juniperus.commonis,Shrub,Perennial,
Rosaceae,Rosa,blanda,Rosa.blanda,Shrub,Perennial,
Caprifoliaceae,Simphoricarpos,rotundifolius ,Simphoricarpos.rotundifolius ,Shrub,Perennial,honeysuckle
Salicaceae,Populus,tremuloides,Populus.tremuloides,Tree,Perennial,aspen
,*Erigeron,sp.,*Erigeron.sp.,Forb,,
