year,date,site,pair,plot,castilleja,total.cover,plant.cover,species,cover,functional.group,life.history,Family
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Bare.ground,0.15,,,
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Artemisia.tridentada,0.05,shrub,perennial,Asteraceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Carex.obtusata,0.02,sedge,perennial,Cyperaceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Castilleja.linariifolia,0.05,hemiparasite,perennial,Orobanchaceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Delphinum.nuttalliianum,0.02,forb,perennial,Ranunculaceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Eriogonum.umbellatum,0.03,forb,perennial,Polygonaceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Festuca.thurberi,0.1,grass,perennial,Poaceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Galium.bifolium,0.005,forb,annual,Rubiaceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Symphoricarpos.rotundifolius,0.6,shrub,perennial,Caprifoliaceae
2023,7/7/2023,Deer Creek 1,1,1,Castilleja,1.03,0.88,Viola.nuttalii,0.005,forb,perennial,Violaceae
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Bare.ground,0.4,,,
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Artemisia.tridentada,0.15,shrub,perennial,Asteraceae
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Carex.obtusata,0.02,sedge,perennial,Cyperaceae
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Eriogonum.umbellatum,0.15,forb,perennial,Polygonaceae
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Galium.bifolium,0.005,forb,annual,Rubiaceae
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Gayophytum.diffusum,0.005,forb,annual,Onagraceae
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Ipomopsis.aggregatta,0.02,forb,biennial,Polemoniaceae
2023,7/7/2023,Deer Creek 1,1,2,Control,1.25,0.85,Symphoricarpos.rotundifolius,0.5,shrub,perennial,Caprifoliaceae
2023,7/7/2023,Deer Creek 1,2,3,Castilleja,1.385,1.185,Bare.ground,0.2,,,
2023,7/7/2023,Deer Creek 1,2,3,Castilleja,1.385,1.185,Bromus.inermis,0.05,grass,perennial,Poaceae
2023,7/7/2023,Deer Creek 1,2,3,Castilleja,1.385,1.185,Castilleja.linariifolia,0.15,hemiparasite,perennial,Orobanchaceae
2023,7/7/2023,Deer Creek 1,2,3,Castilleja,1.385,1.185,Crepis.acuminata,0.02,forb,perennial,Asteraceae
