year,date,Site,location,Distance (m),pair,plot,castilleja,total_cover,plant_cover,bare,Achillea millefolium,Stipeae,Agoseris glauca,Allium geyeri,Amelanchier alnifolia,Antennaria parviflora,Artemisia arbuscula,Artemisia tridentata,Asteraceae,Astragalus drummondii,Astragalus miser,Balsamorhiza sagittata,Berberis repens,Boechera consanguinea,Boechera stricta,Calochortus gunnisonii,Carex sp.,Caryophyllaceae,Castilleja chromosa,Chrysothamnus depresus,Chrysothamnus vaseyi,Chrysothamnus viscidiflorus,Crepis sp.,Cyrtorhyncha ranunculina,Delphinium nuttallianum,Elymus elymoides,Eremegone congesta,Erigeron eatonii,Eriogonum racemosum,Eriogonum umbellatum,Galium boreale,Lupinus polyphyllus,Mertensia brevistyla,Pediocactus simpsonii,Penstemon caespitosus,Penstemon strictus,Phlox multiflora,Poa sp.,Polygonum sp.,Potentilla pulcherrima,Pulsatilla nuttalliana,Sedum lanceolatum,Symphoricarpos rotundifolius,Taraxacum officianale,Vicia americana,Wyethia x magna
2024,6/9/2024,Almont,1,2.6,1,1,Castilleja,1,0.55,0.45,0.005,0,0,0,0,0.005,0.01,0.01,0,0,0,0,0,0,0,0.005,0.3,0,0.02,0,0.04,0,0.01,0,0,0,0,0.03,0.01,0,0.04,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0.005,0,0
2024,6/9/2024,Almont,1,2.6,1,2,Control,1.005,0.285,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.05,0,0.02,0,0,0,0,0.02,0.005,0,0.005,0,0,0,0.01,0,0.17,0,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,1,3.6,2,3,Castilleja,1.015,0.545,0.47,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.02,0,0.19,0,0.02,0,0,0,0.01,0.06,0.03,0,0.005,0,0,0,0.08,0.01,0,0,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,1,3.6,2,4,Control,1,0.35,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.04,0.015,0,0.015,0,0,0,0.02,0,0.23,0,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,1,7.2,3,5,Castilleja,1,0.48,0.52,0,0.08,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0.06,0,0.01,0,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0.03,0,0,0,0,0,0.15,0,0,0.05
2024,6/9/2024,Almont,1,7.2,3,6,Control,1.005,0.565,0.44,0,0.02,0,0,0,0.03,0.17,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.09,0,0,0,0,0,0.005,0.02,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.14,0,0,0
2024,6/9/2024,Almont,1,10,4,7,Castilleja,1.185,0.685,0.5,0,0.17,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.04,0,0.23,0,0.07,0,0,0,0,0.01,0,0,0,0,0,0,0.035,0,0,0,0,0.01,0,0,0,0,0,0
2024,6/9/2024,Almont,1,10,4,8,Control,1.035,0.285,0.75,0,0.07,0,0,0,0.06,0.04,0,0,0.01,0,0,0,0,0,0.005,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0
2024,6/9/2024,Almont,1,11.5,5,9,Castilleja,1.0225,0.4725,0.55,0,0.02,0,0,0,0.1,0.03,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0,0.22,0,0.03,0,0,0,0.005,0,0.0025,0,0,0,0,0,0.03,0,0.005,0,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,1,11.5,5,10,Control,1.005,0.705,0.3,0,0.02,0,0,0,0.17,0.17,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.2,0,0.06,0,0,0,0.01,0,0,0,0,0,0,0.01,0.03,0,0,0.02,0,0.01,0,0,0,0,0,0
2024,6/9/2024,Almont,1,13.2,6,11,Castilleja,1.035,0.435,0.6,0,0.06,0,0,0.03,0.04,0.03,0,0,0,0,0,0,0,0,0.02,0,0,0.015,0,0.05,0,0.03,0,0,0,0.005,0,0.02,0,0,0,0,0,0.035,0,0.03,0.03,0,0,0,0.01,0,0,0.03,0
2024,6/9/2024,Almont,1,13.2,6,12,Control,1.05,0.9,0.15,0,0.09,0,0,0.27,0.23,0.06,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.09,0,0.04,0,0,0,0.005,0,0.01,0,0,0,0,0,0.015,0,0.06,0.01,0,0,0,0.01,0,0,0,0
2024,6/9/2024,Almont,1,,7,13,Castilleja,1.075,0.375,0.7,0,0.04,0,0,0,0,0.05,0,0.005,0,0,0,0,0,0,0,0,0,0.03,0,0.05,0,0.05,0,0,0,0,0,0.03,0.06,0,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,1,,7,14,Control,1,0.5,0.5,0,0.05,0,0,0,0.05,0.08,0,0,0,0,0,0,0,0,0.005,0,0,0,0.09,0.005,0,0.06,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0.11
2024,6/9/2024,Almont,1,19.8,8,15,Castilleja,1.085,0.635,0.45,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.01,0.03,0,0.04,0.05,0,0,0.03,0,0,0,0.01,0.01,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
2024,6/9/2024,Almont,1,19.8,8,16,Control,1.14,0.99,0.15,0,0,0,0,0,0.02,0,0.05,0,0,0,0,0,0,0,0.01,0.18,0,0,0.06,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.06,0.02,0,0,0,0,0.55,0,0,0
2024,6/9/2024,Almont,1,25.4,9,17,Castilleja,1.07,0.57,0.5,0.04,0.05,0.01,0,0,0.13,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0.04,0.09,0,0.02,0,0,0,0.005,0.01,0,0,0,0,0.005,0,0,0,0.12,0.02,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,1,25.4,9,18,Control,1.005,0.495,0.51,0,0.02,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0.005,0.01,0,0,0.05,0,0,0,0,0,0,0.01,0.02,0.025,0,0,0,0,0,0.005,0,0.3,0,0,0,0,0,0,0,0,0.01
2024,6/9/2024,Almont,1,27.4,10,19,Castilleja,1.08,0.58,0.5,0,0.09,0.01,0,0,0.08,0,0,0,0,0,0,0.04,0,0,0.005,0.005,0,0.01,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.08,0.005,0.005,0,0,0.01,0,0,0,0
