Year,Date,Site,Field Plot,Pair,Plot,Treatment,Total Cover,Plant Cover,Bare ground,Agastache urticifolia,Amelanchier alnifolia,Arctostaphylos uva-ursi,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus inermis,Calochortus gunnisonii,Carex sp.,Castilleja linariifolia,Collomia linearis,Crepis sp.,Delphinum nuttalliianum,Elymus elymoides,Elymus glaucus,Eremogone congesta,Erigeron speciosus,Erigeron sp.,Eriogonum umbellatum,Festuca thurberi,Galium bifolium,Gayophytum sp.,Heliomerus multiflora ,Achnatherum sp.,Heterotheca sp.,Ipomopsis aggregatta,Juniperus communis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus sp.,Poa pratensis,Poa sp.,Populus tremuloides,Potentilla hippiana,Rosa woodsii,Senecio integerrimus,Symphoricarpos rotundifolius,Vicia americana,Viola praemorsa,Wyethia amplexicaulis
2023,7/7/23,Deer Creek 1,C1,1,1,Castilleja,1.03,0.88,0.15,0,0,0,0.05,0,0,0,0,0.02,0.05,0,0,0.02,0,0,0,0,0,0.03,0.1,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.005,0
2023,7/7/23,Deer Creek 1,C1C,1,2,Control,1.25,0.85,0.4,0,0,0,0.15,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.15,0,0.005,0.005,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
2023,7/7/23,Deer Creek 1,C2,2,3,Castilleja,1.385,1.185,0.2,0,0,0,0,0,0,0.05,0,0,0.15,0,0.02,0,0,0,0,0,0,0.1,0.05,0.005,0.005,0.15,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.6,0,0.05,0
2023,7/7/23,Deer Creek 1,C2C,2,4,Control,1.225,0.475,0.75,0,0,0,0,0,0,0.01,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.02,0.05,0,0,0,0,0,0,0.02,0,0,0,0.05,0,0,0,0,0,0.3,0,0.02,0
2023,7/11/23,Deer Creek 1,C3,3,5,Castilleja,1.175,0.875,0.3,0.02,0,0,0,0,0,0.02,0,0,0.1,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.03,0.4,0.005,0,0,0,0.15,0,0,0,0.03,0
2023,7/11/23,Deer Creek 1,C3C,3,6,Control,1.02,0.82,0.2,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.005,0,0,0,0,0,0,0,0,0,0,0.01,0.005,0,0,0,0,0,0.35,0,0,0
2023,7/11/23,Deer Creek 1,C4,4,7,Castilleja,1.04,0.84,0.2,0,0,0,0,0,0,0.03,0,0,0.05,0,0,0,0,0,0,0,0,0.25,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.4,0,0,0
2023,7/11/23,Deer Creek 1,C4C,4,8,Control,1.1,0.35,0.75,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.02,0.04,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
2023,7/11/23,Deer Creek 1,C5,5,9,Castilleja,1.06,0.91,0.15,0,0,0,0,0,0,0.05,0,0,0.15,0,0,0,0,0,0,0,0,0.08,0,0.005,0.005,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.02,0
2023,7/11/23,Deer Creek 1,C5C,5,10,Control,1.105,0.355,0.75,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
2023,7/11/23,Deer Creek 1,C6,6,11,Castilleja,1.105,0.655,0.45,0.05,0,0,0,0,0,0.02,0,0.04,0.2,0,0,0,0,0,0,0.05,0,0,0,0.005,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.25,0,0,0
2023,7/11/23,Deer Creek 1,C6C,6,12,Control,1.08,0.68,0.4,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.3,0,0,0
2023,7/11/23,Deer Creek 1,C7,7,13,Castilleja,1.085,1.005,0.08,0,0,0,0,0,0,0.02,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0.08,0,0,0,0.005,0,0,0,0.04,0,0.6,0,0,0
2023,7/11/23,Deer Creek 1,C7C,7,14,Control,1.21,0.51,0.7,0,0,0,0.3,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.08,0,0,0
2023,7/11/23,Deer Creek 1,C8,8,15,Castilleja,1.17,0.67,0.5,0.02,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0.03,0,0,0,0,0.1,0,0,0,0.01,0,0,0,0,0,0.3,0,0,0
