Year,Date,Site,Field Plot,Pair,Plot,Treatment,Achnatherum sp.,Amelanchier alnifolia,Antennaria parvifolia,Artemisia dracunculus,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus frondosus,Calochortus gunnisonii,Campanula petiolata,Carex sp.,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Crepis sp.,Dactylus glomeratus,Delphinum nuttalliianum,Elymus elymoides,Elymus trachycaulus,Eremogone congesta,Erigeron flagellaris,Erigeron speciosus,Eriogonum umbellatum aureum,Eriogonum umbellatum majus,Festuca rubra,Festuca thurberi,Galium bifolium,Galium boreale,Gayophytum sp.,Helianthella quinquenervis,Heliomerus multiflora ,Heterotheca sp.,Hydrophyllum capitatum,Ipomopsis aggregatta,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus sp.,Mertensia brevistyla,Paxistima myrsinites,Phacelia sp.,Poa fendleriana,Poa pratensis,Polygonum sp.,Populus tremuloides,Potentilla hippiana,Potentilla pulcherrima,Rosa woodsii,Sedum lanceolatum,Senecio pudicus,Senecio integerrimus,Symphoricarpos rotundifolius,Taraxacum officinale,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa,Wyethia amplexicaulis
2024,7/5/24,Deer Creek 1,A1,41,81,Castilleja,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A1C,41,82,Control,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,3,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,1,0,2,0,0,0,1,0
2024,7/5/24,Deer Creek 1,A2,42,83,Castilleja,0,0,0,0,1,5,0,0,0,0,3,1,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0
2024,7/5/24,Deer Creek 1,A2C,42,84,Control,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,2,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,1,0
2024,7/5/24,Deer Creek 1,A3,43,85,Castilleja,0,3,0,0,2,5,0,0,1,0,3,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,1,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A3C,43,86,Control,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A4,44,87,Castilleja,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A4C,44,88,Control,0,3,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A5,45,89,Castilleja,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
2024,7/5/24,Deer Creek 1,A5C,45,90,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
