Year,Date,Site,Field Plot,Pair,Plot,Treatment,Achratherum lettermanii,Achnatherum sp.,Agastache urticifolia,Amelanchier alnifolia,Antennaria parvifolia,Arctostaphylos uva-ursi,Artemisia dracunculus,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus frondosus,Bromus inermis,Calochortus gunnisonii,Campanula petiolata,Carex geyeri,Carex obtusata,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Crepis acuminata ,Crepis intermedia,Crepis occidentalis,Dactylus glomeratus,Delphinum nuttalliianum,Elymus elymoides,Elymus glaucus,Elymus trachycaulus,Eremogone congesta,Erigeron flagellaris,Erigeron speciosus,Eriogonum umbellatum aureum,Eriogonum umbellatum majus,Festuca rubra,Festuca thurberi,Galium bifolium,Galium boreale,Gayophytum diffusum,Helianthella quinquenervis,Heliomerus multiflora ,Hesperostipa comata,Heterotheca villosa,Hydrophyllum capitatum,Ipomopsis aggregatta,Juniperus communis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus argenteus ,Lupinus polyphyllus,Mertensia brevistyla,Paxistima myrsinites,Phacelia sp.,Poa fendleriana,Poa glauca,Poa pratensis,Polygonum douglasii,Populus tremuloides,Potentilla hippiana,Potentilla pulcherrima,Rosa woodsii,Sedum lanceolatum,Senecio pudicus,Senecio integerrimus,Symphoricarpos rotundifolius,Taraxacum officinale,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa,Wyethia amplexicaulis
2024,7/5/24,Deer Creek 1,A1,41,1,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A1C,41,2,Control,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,12,0,3,0,0,0,0,1,0,2,0,0,0,1,0
2024,7/5/24,Deer Creek 1,A2,42,3,Castilleja,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0
2024,7/5/24,Deer Creek 1,A2C,42,4,Control,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,1,0
2024,7/5/24,Deer Creek 1,A3,43,5,Castilleja,0,0,0,3,0,0,0,2,5,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,1,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A3C,43,6,Control,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A4,44,7,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A4C,44,8,Control,0,0,0,3,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A5,45,9,Castilleja,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
2024,7/5/24,Deer Creek 1,A5C,45,10,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A6,46,11,Castilleja,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A6C,46,12,Control,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A7,47,13,Castilleja,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A7C,47,14,Control,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0
2024,7/5/24,Deer Creek 1,A8,48,15,Castilleja,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
2024,7/5/24,Deer Creek 1,A8C,48,16,Control,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A9,49,17,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A9C,49,18,Control,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A10,50,19,Castilleja,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A10C,50,20,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A11,51,21,Castilleja,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,1,8,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A11C,51,22,Control,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,13,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2024,7/8/24,Deer Creek 1,A12,52,23,Castilleja,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
2024,7/8/24,Deer Creek 1,A12C,52,24,Control,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A13,53,25,Castilleja,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A13C,53,26,Control,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
2024,7/8/24,Deer Creek 1,A14,54,27,Castilleja,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A14C,54,28,Control,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A15,55,29,Castilleja,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A15C,55,30,Control,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A16,56,31,Castilleja,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A16C,56,32,Control,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A17,57,33,Castilleja,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A17C,57,34,Control,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A18,58,35,Castilleja,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/8/24,Deer Creek 1,A18C,58,36,Control,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
