Year,Date,Site,Field Plot,Pair,Plot,Treatment,Total Cover,Plant Cover,Bare ground,Achnatherum sp.,Amelanchier alnifolia,Antennaria parvifolia,Artemisia dracunculus,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus frondosus,Calochortus gunnisonii,Campanula petiolata,Carex sp.,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Crepis sp.,Dactylus glomeratus,Delphinum nuttalliianum,Elymus elymoides,Elymus trachycaulus,Eremogone congesta,Erigeron flagellaris,Erigeron speciosus,Eriogonum umbellatum aureum,Eriogonum umbellatum majus,Festuca rubra,Festuca thurberi,Galium bifolium,Galium boreale,Gayophytum sp.,Helianthella quinquenervis,Heliomerus multiflora ,Heterotheca sp.,Hydrophyllum capitatum,Ipomopsis aggregatta,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus sp.,Mertensia brevistyla,Paxistima myrsinites,Phacelia sp.,Poa fendleriana,Poa pratensis,Polygonum sp.,Populus tremuloides,Potentilla hippiana,Potentilla pulcherrima,Rosa woodsii,Sedum lanceolatum,Senecio pudicus,Senecio integerrimus,Symphoricarpos rotundifolius,Taraxacum officinale,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa,Wyethia amplexicaulis
2024,7/5/24,Deer Creek 1,A1,41,1,Castilleja,1,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.005,0,0,0.03,0,0,0.07,0,0,0,0,0,0.04,0,0,0,0,0,0.01,0,0,0,0,0,0,0.005,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A1C,41,2,Control,1,0.35,0.65,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.07,0.005,0,0.03,0.03,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0,0.01,0,0.01,0,0,0,0.005,0
2024,7/5/24,Deer Creek 1,A2,42,3,Castilleja,1,0.8,0.2,0,0,0,0,0.03,0.15,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0.07,0,0,0.2,0,0,0.01,0,0,0,0,0,0.25,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0.005,0,0,0,0,0,0,0,0.01,0,0,0,0,0.005,0
2024,7/5/24,Deer Creek 1,A2C,42,4,Control,1.025,0.725,0.3,0,0,0,0,0,0.07,0,0,0.005,0,0.02,0,0,0,0,0,0.01,0,0,0.07,0,0.07,0,0.07,0,0.25,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.02,0,0,0,0.005,0,0,0,0,0,0,0.02,0,0,0,0,0,0.005,0.07
2024,7/5/24,Deer Creek 1,A3,43,5,Castilleja,1.005,0.755,0.25,0,0.02,0,0,0.15,0.09,0,0,0.005,0,0.02,0.03,0,0,0,0,0,0.01,0,0.08,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.005,0.05,0,0.02,0,0.005,0,0,0,0,0,0,0.08,0.13,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A3C,43,6,Control,1.015,0.315,0.7,0,0.02,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0.005,0,0,0.03,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A4,44,7,Castilleja,1.045,0.895,0.15,0,0,0,0,0,0,0,0,0.005,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0.15,0,0.06,0,0.18,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.4,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A4C,44,8,Control,1,0.7,0.3,0,0.07,0,0,0.2,0,0,0,0.005,0,0.15,0,0,0,0,0,0,0,0,0.02,0,0,0,0.06,0,0.04,0,0,0,0,0,0,0,0,0.02,0,0,0.08,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
2024,7/5/24,Deer Creek 1,A5,45,9,Castilleja,1.205,1.055,0.15,0,0.18,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0.09,0,0.01,0,0.3,0,0.2,0,0,0,0,0,0,0,0,0.005,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.02,0
2024,7/5/24,Deer Creek 1,A5C,45,10,Control,1,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.06,0.07,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
