Year,Date,Site,Field Plot,Pair,Plot,Treatment,Achnatherum sp.,Artemisia dracunculus,Berberis repens,Bromus inermis,Bromus frondosus,Campanula petiolata,Carex geyeri,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Dactylus glomeratus,Delphinium nutallianum,Elymus trachycaulus,Erigeron speciosus,Eriogonum umbellatum var. majus,Festuca thurberi,Galium boreale,Helianthella quinquenervis,Heliomerus multiflora ,Hydrophyllum capitatum,Ipomopsis aggregatta,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Phacelia sp.,Poa compresssa,Poa pratensis,Polygonum douglasii,Populus tremuloides,Potentilla pulcherrima,Rosa woodsii,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa
2024,7/16/24,Johnson Hill,D1,41,1,Castilleja,0,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3
2024,7/16/24,Johnson Hill,D1C,41,2,Control,0,0,5,2,0,0,0,0,1,3,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
2024,7/5/24,Johnson Hill,D2,42,3,Castilleja,0,0,4,2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,2,1,0,0,4,0,0,7
2024,7/5/24,Johnson Hill,D2C,42,4,Control,0,0,2,2,0,0,0,0,1,5,0,0,0,1,0,1,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,6
2024,7/5/24,Johnson Hill,D3,43,5,Castilleja,0,2,2,3,0,0,0,1,0,2,0,0,0,2,1,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2
2024,7/5/24,Johnson Hill,D3C,43,6,Control,0,2,4,3,0,0,0,0,0,3,0,0,2,1,1,0,0,0,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,3
2024,7/5/24,Johnson Hill,D4,44,7,Castilleja,0,4,4,2,2,0,0,1,0,3,0,0,1,1,0,0,0,1,3,0,0,4,0,5,0,0,0,2,0,0,0,0,0,0,5
2024,7/5/24,Johnson Hill,D4C,44,8,Control,0,0,7,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,3,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,5
2024,7/5/24,Johnson Hill,D5,45,9,Castilleja,0,0,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,2
2024,7/5/24,Johnson Hill,D5C,45,10,Control,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,4,0,0,9,0,2,0,1,0,0,0,0,0,0,0,0,3
2024,7/5/24,Johnson Hill,D6,46,11,Castilleja,0,3,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3
2024,7/5/24,Johnson Hill,D6C,46,12,Control,0,0,6,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,1,0,9,0,1,0,0,0,4,0,0,0,0,0,0,7
2024,7/5/24,Johnson Hill,D7,47,13,Castilleja,0,3,1,0,3,0,0,1,4,1,0,0,0,0,0,0,0,0,2,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,1
2024,7/5/24,Johnson Hill,D7C,47,14,Control,0,4,4,1,3,0,0,0,1,0,0,0,2,1,1,0,0,0,3,2,0,4,0,2,0,0,0,7,0,0,0,0,0,0,1
