year,date,site,field_plot,pair,plot,castilleja,total_cover,plant_cover,bare,Achnatherum sp.,Agastache urticifolia,Amelanchier alnifolia,Antennaria parvifolia,Arctostaphylos uva-ursi,Artemisia dracunculus,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus frondosus,Bromus inermis,Calochortus gunnisonii,Campanula petiolata,Carex sp.,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Crepis sp.,Dactylus glomeratus,Delphinum nuttalliianum,Elymus elymoides,Elymus trachycaulus,Elymus glaucus,Eremogone congesta,Erigeron flagellaris,Erigeron speciosus,Erigeron sp.,Eriogonum umbellatum aureum,Eriogonum umbellatum majus,Festuca rubra,Festuca thurberi,Galium bifolium,Galium boreale,Gayophytum sp.,Helianthella quinquenervis,Heliomerus multiflora,Heterotheca sp.,Hydrophyllum capitatum,Ipomopsis aggregatta,Juniperus communis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus sp.,Mertensia brevistyla,Paxistima myrsinites,Phacelia sp.,Poa fendleriana,Poa pratensis,Poa sp.,Polygonum sp.,Populus tremuloides,Potentilla hippiana,Potentilla pulcherrima,Rosa woodsii,Sedum lanceolatum,Senecio pudicus,Senecio integerrimus,Symphoricarpos rotundifolius,Taraxacum officinale,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa,Wyethia amplexicaulis
2023,7/7/23,Deer Creek 1,C1,1,1,Castilleja,1.03,0.88,0.15,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.02,0.05,0,0,0,0,0.02,0,0,0,0,0,0,0,0.03,0,0,0.1,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.005,0
2023,7/7/23,Deer Creek 1,C1C,1,2,Control,1.25,0.85,0.4,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.005,0,0.005,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
2023,7/7/23,Deer Creek 1,C2,2,3,Castilleja,1.385,1.185,0.2,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.15,0,0,0.02,0,0,0,0,0,0,0,0,0,0.1,0,0,0.05,0.005,0,0.005,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.05,0
2023,7/7/23,Deer Creek 1,C2C,2,4,Control,1.225,0.475,0.75,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.05,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.02,0
2023,7/11/23,Deer Creek 1,C3,3,5,Castilleja,1.175,0.875,0.3,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.03,0.4,0,0,0,0,0.005,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.03,0
2023,7/11/23,Deer Creek 1,C3C,3,6,Control,1.02,0.82,0.2,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/11/23,Deer Creek 1,C4,4,7,Castilleja,1.04,0.84,0.2,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/11/23,Deer Creek 1,C4C,4,8,Control,1.1,0.35,0.75,0.08,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.02,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
2023,7/11/23,Deer Creek 1,C5,5,9,Castilleja,1.06,0.91,0.15,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0
2023,7/11/23,Deer Creek 1,C5C,5,10,Control,1.105,0.355,0.75,0.02,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
