Year,Date,Site,Field Plot,Pair,Plot,Treatment,Total Cover,Plant Cover,Bare ground,Achnatherum sp.,Artemisia dracunculus,Berberis repens,Bromus frondosus,Campanula petiolata,Carex geyeri,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Dactylus glomeratus,Delphinium nuttalianum,Elymus trachycaulus,Erigeron speciosus,Eriogonum umbellatum majus,Festuca thurberi,Galium boreale,Helianthella quinquenervis,Heliomerus multiflora ,Hydrophyllum capitatum,Ipomopsis aggregatta,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Phacelia sp.,Poa pratensis,Polygonum douglasii,Populus tremuloides,Potentilla pulcherrima,Rosa woodsii,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa
2024,7/16/24,Johnson Hill,D1,81,1,Castilleja,1.15,0.7,0.45,0,0,0.2,0.04,0,0,0.02,0,0,0,0,0,0.05,0,0,,0,0.2,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.07
2024,7/16/24,Johnson Hill,D1C,81,2,Control,1.2,0.75,0.45,0,0,0.45,0.01,0,0,0,0.01,0.02,0,0,0,0.04,0,0,,0,0.11,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0.07
2024,7/16/24,Johnson Hill,D2,82,3,Castilleja,1.21,0.91,0.3,0,0,0.22,0.03,0,0,0.07,0,0.02,0,0,0,0.05,0,0,,0.03,0.12,0,0,0,0,0.03,0,0,0.01,0.07,0,0,0.2,0,0,0.06
2024,7/16/24,Johnson Hill,D2C,82,4,Control,1.155,0.855,0.3,0,0,0.08,0.04,0,0,0,0.005,0.03,0,0,0,0.35,0,0.01,0,0,0.14,0.01,0,0.04,0,0.07,0,0,0,0,0,0,0,0,0,0.08
2024,7/16/24,Johnson Hill,D3,83,5,Castilleja,1.39,1.24,0.15,0,0.05,0.03,0.04,0,0,0.03,0,0.01,0,0,0,0.11,0.7,0,0,0,0.09,0,0,0.01,0,0.01,0,0,0,0.12,0,0,0,0.03,0,0.01
2024,7/16/24,Johnson Hill,D3C,83,6,Control,1.26,1.23,0.03,0,0.06,0.2,0.03,0,0,0,0,0.02,0,0,0.02,0.07,0.45,0,0,0,0.25,0,0,0.01,0,0,0,0,0.01,0,0.08,0,0,0,0,0.03
2024,7/16/24,Johnson Hill,D4,84,7,Castilleja,1.495,0.895,0.6,0,0.07,0.13,0.05,0,0,0.05,0,0.05,0,0,0.01,0.05,0,0,0,0.02,0.25,0,0,0.06,0,0.11,0,0,0.005,0,0,0,0,0,0,0.04
2024,7/16/24,Johnson Hill,D4C,84,8,Control,1.46,1.06,0.4,0,0,0.3,0.04,0,0,0,0,0.01,0,0,0.01,0.04,0,0.01,0,0,0.4,0,0,0.06,0,0,0,0.01,0.02,0,0,0,0,0,0,0.16
2024,7/16/24,Johnson Hill,D5,85,9,Castilleja,1,0.63,0.37,0,0,0.08,0.04,0,0,0.06,0,0.01,0.03,0,0.03,0,0,0,0,0,0.2,0,0,0.09,0,0,0,0,0.01,0,0.06,0,0,0,0,0.02
2024,7/16/24,Johnson Hill,D5C,85,10,Control,1.365,1.115,0.25,0,0,0.07,0,0,0,0,0,0.005,0.1,0,0.04,0,0,0,0,0,0.3,0,0,0.4,0,0.12,0,0.02,0,0,0,0,0,0,0,0.06
