Year,Date,Site,Field plot,Pair,Plot,Treatment,Achnatherum sp.,Agoseris sp.,Castilleja septentrionalis,Taraxacum officinale,Elymus lanceolatus,Erigeron subtrinervis,Lathyrus lanszwertii,Poa pratensis,Deschampsia cespitosa,Potentilla pulcherrima,Thalictrum fendleri,Achillea millefolium,Ipomopsis aggregata,Valeriana occidentalis,Solidago multiradiata,Boechera stricta,Artemisia dracunculus,Dactylis glomerata,Carex sp.,Fragaria virginiana,Anemone multifida,Hymenoxys hoopesii,Senecio crassulus,Cirsium griseum,Pyrrocoma crocea,Phleum alpinum,Draba spectabilis,Erigeron leiomerus,Poa alpina,Erigeron coulteri,Eremogone congesta,Valeriana edulis,Delphinium barbeyi,Viola adunca
2023,7/25/23,Avery,E1,1,1,Castilleja,0,15,1,16,3,5,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,E1C,1,2,Control,0,7,0,6,4,1,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,E2,2,3,Castilleja,3,0,1,8,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,E2C,2,4,Control,1,0,0,4,1,6,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E3,3,5,Castilleja,0,0,2,5,1,8,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E3C,3,6,Control,0,3,0,4,4,2,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E4,4,7,Castilleja,0,3,1,5,1,5,0,13,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E4C,4,8,Control,0,3,0,8,0,8,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E5,5,9,Castilleja,0,3,1,13,1,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E5C,5,10,Control,0,0,0,4,2,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E6,6,11,Castilleja,1,0,1,3,5,0,0,5,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E6C,6,12,Control,1,1,0,3,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E7,7,13,Castilleja,2,5,1,7,0,3,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E7C,7,14,Control,1,0,0,2,2,0,0,11,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E8,8,15,Castilleja,0,1,1,7,3,0,0,12,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E8C,8,16,Control,0,0,0,3,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E9,9,17,Castilleja,0,0,2,7,0,7,6,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E9C,9,18,Control,0,7,0,6,0,8,2,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E10,10,19,Castilleja,1,0,1,4,2,3,0,4,0,2,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E10C,10,20,Control,0,0,0,5,7,0,0,4,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E11,11,21,Castilleja,0,0,1,4,2,1,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E11C,11,22,Control,0,0,0,7,3,3,0,5,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E12,12,23,Castilleja,0,0,1,5,0,3,0,4,0,3,8,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E12C,12,24,Control,0,0,0,5,1,4,0,5,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E13,13,25,Castilleja,0,0,1,3,0,7,1,4,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
