Year,Date,Site,Field Plot,Pair,Plot,Treatment,total.cover,plant.cover,Bare ground,Agoseris sp.,Castilleja septentrionalis,Taraxacum officinale,Elymus lanceolatus,Erigeron subtrinervis,Hesperostipa comata,Lathyrus lanszwertii,Poa pratensis,Potentilla pulcherrima,Elymus trachycaulus,Thalictrum fendleri,Achillea millefolium,Ipomopsis aggregata,Solidago sp.,Boechera stricta,Artemisia dracunculus,Dactylis glomerata,Carex ebenea,Fragaria virginiana,Anemone multifida,Hymenoxys hoopesii,Senecio crassulus,Cirsium parryi,Pyrrocoma crocea,Phleum alpinum,Draba aurea,Erigeron leiomerus,Poa alpina,Erigeron coulteri,Eremogone congesta,Valeriana edulis,Delphinium barbeyi,Viola adunca
2023,7/25/23,Avery,E1,1,1,Castilleja,1.1,0.95,0.15,0.15,0.03,0.35,0.01,0.1,0,0.1,0.06,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,E1C,1,2,Control,1.04,0.54,0.5,0.05,0,0.25,0.01,0.04,0,0.08,0.07,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,E2,2,3,Castilleja,1.06,0.86,0.2,0,0.1,0.25,0,0.15,0.01,0,0.25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/25/23,Avery,E2C,2,4,Control,1.12,0.87,0.25,0,0,0.2,0.01,0.1,0.03,0,0.18,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E3,3,5,Castilleja,1.005,0.675,0.33,0,0.1,0.12,0.005,0.13,0,0,0.12,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E3C,3,6,Control,1.09,0.69,0.4,0.03,0,0.3,0,0.08,0,0.01,0.18,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E4,4,7,Castilleja,1.075,0.875,0.2,0.08,0.03,0.3,0.005,0.1,0,0,0.13,0.2,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E4C,4,8,Control,1.11,0.86,0.25,0.08,0,0.2,0,0.15,0,0,0.18,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E5,5,9,Castilleja,1.115,0.665,0.45,0.03,0.04,0.4,0.005,0,0,0,0.11,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E5C,5,10,Control,1.005,0.355,0.65,0,0,0.2,0.005,0,0,0,0.07,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
