Year,Date,Site,Field plot,Pair,Plot,Treatment,Achillea millefolium,Achnatherum sp.,Agoseris sp.,Androsace septentrionales,Anemone multifida,Aquilegia coerulea,Astragalus alpinus,Boechera stricta,Botrychium sp.,Bromus inermis,Campanula petiolata,"Carex sp. (obtusata, geyeri)",Carex pityophila,"Carex sp. (chalciolepis, ebenea, egglestonii, hoodii) ",Castilleja septentrionalis,Chenopodium atrovirens,Cirsium griseum,Cymopterus lemmonii,Dactylis glomerata,Danthonia parryi,Delphinium nuttalianum,Deschampsia cespitosa,Draba spectabilis,Elymus lanceolatus,Eremogone congesta,Erigeron coulteri,Erigeron leiomerus,Erigeron speciosus,Erigeron subtrinervis,Eriogonum umbellatum majus,Fragaria virginiana,Frasera speciosa,Galium boreale,Gentiana parryi,Helianthella quinquenerva,Heterotheca sp.,Hymenoxys hoopesii,Ipomopsis aggregata,Lathyrus lanszwertii,Lomatium triternatum,Lupinus argenteus,Maianthemum stellatum,Mertensia brevistyla,Moehringia sp.,Noccaea fendleri,Oreochrysum parryi,Phleum alpinum,Poa alpina,Poa compressa,Poa fendleriana,Poa pratensis,Polygonum sp.,Populus balsamifera,Potentilla glaucophylla,Potentilla pulcherrima,Sedum lanceolatum,Senecio crassulus,Sibbaldia procumbens,Silene drummondii,Solidago multiradiata,Taraxacum officinale,Thalictrum fendleri,Trisetum canescens,Trisetum spicatum ,Valeriana edulis,Valeriana occidentalis,Vicia americana,Viola adunca
2024,7/10/24,Avery,C1,21,41,Castilleja,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,,0,0,10,0,0,0,0,0,0,0
2024,7/10/24,Avery,C1C,21,42,Control,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,,0,0,7,1,0,0,0,0,0,1
2024,7/10/24,Avery,C2,22,43,Castilleja,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,,0,0,12,1,0,0,0,2,0,0
2024,7/10/24,Avery,C2C,22,44,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,,0,0,30,0,0,0,0,0,0,2
2024,7/10/24,Avery,C3,23,45,Castilleja,8,1,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,,0,0,30,0,0,0,0,0,0,2
2024,7/10/24,Avery,C3C,23,46,Control,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,2,0,0,,0,0,10,0,0,0,0,0,0,1
2024,7/10/24,Avery,C4,24,47,Castilleja,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,,0,0,20,0,0,0,0,0,0,0
2024,7/10/24,Avery,C4C,24,48,Control,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,,0,0,10,0,0,0,0,0,0,0
2024,7/10/24,Avery,C5,25,49,Castilleja,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,,0,0,40,0,0,0,0,0,0,0
2024,7/10/24,Avery,C5C,25,50,Control,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,,0,0,10,0,0,0,0,0,0,0
