Year,Date,Site,Field Plot,Pair,Plot,Treatment,total.cover,plant.cover,Bare ground,Achillea millefolium,Achnatherum sp.,Agoseris sp.,Androsace septentrionales,Anemone multifida,Aquilegia coerulea,Astragalus alpinus,Boechera stricta,Botrychium sp.,Bromus inermis,Campanula petiolata,"Carex sp. (obtusata, geyeri)",Carex pityophila,"Carex sp. (chalciolepis, ebenea, egglestonii, hoodii) ",Castilleja septentrionalis,Chenopodium atrovirens,Cirsium griseum,Cymopterus lemmonii,Dactylis glomerata,Danthonia parryi,Delphinium nuttalianum,Deschampsia cespitosa,Draba spectabilis,Elymus lanceolatus,Eremogone congesta,Erigeron coulteri,Erigeron leiomerus,Erigeron speciosus,Erigeron subtrinervis,Eriogonum umbellatum majus,Fragaria virginiana,Frasera speciosa,Galium boreale,Gentiana parryi,Helianthella quinquenerva,Heterotheca sp.,Hymenoxys hoopesii,Ipomopsis aggregata,Lathyrus lanszwertii,Lomatium triternatum,Lupinus argenteus,Maianthemum stellatum,Mertensia brevistyla,Moehringia sp.,Noccaea fendleri,Oreochrysum parryi,Phleum alpinum,Poa alpina,Poa compressa,Poa fendleriana,Poa pratensis,Polygonum sp.,Populus balsamifera,Potentilla glaucophylla,Potentilla pulcherrima,Sedum lanceolatum,Senecio crassulus,Sibbaldia procumbens,Silene drummondii,Solidago multiradiata,Taraxacum officinale,Thalictrum fendleri,Trisetum canescens,Trisetum spicatum ,Valeriana edulis,Valeriana occidentalis,Vicia americana,Viola adunca
2024,7/10,Avery,C1,1,1,Castilleja,1.11,0.86,0.25,0.09,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.03,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.07,0,0,0,0,0,0.2,0,0,0,0,0,0,0
2024,7/10,Avery,C1C,1,2,Control,1.39,1.29,0.1,0.01,0.03,0.01,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.01,0,0,0,0,0,0.45,0.07,0,0,0,0,0,0.005
2024,7/10,Avery,C2,2,3,Castilleja,1.22,1.17,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.3,0,0,0,0,0,0.45,0.02,0,0,0,0.05,0,0
2024,7/10,Avery,C2C,2,4,Control,1.02,0.92,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0.01
2024,7/10,Avery,C3,3,5,Castilleja,1.055,1.005,0.05,0.03,0.005,0.03,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0.23,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.005,0,0.02,0,0,0,0.04,0,0,0,0,0,0.55,0,0,0,0,0,0,0.005
2024,7/10,Avery,C3C,3,6,Control,1.045,0.895,0.15,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.05,0,0,0,0.03,0,0,0,0,0,0.75,0,0,0,0,0,0,0.01
2024,7/10,Avery,C4,4,7,Castilleja,1.24,1.14,0.1,0.06,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.07,0,0,0,0,0,0.8,0,0,0,0,0,0,0
2024,7/10,Avery,C4C,4,8,Control,1,0.75,0.25,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.03,0,0,0,0,0.06,0,0,0,0,0,0,0.04,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.07,0,0,0,0,0,0.35,0,0,0,0,0,0,0
2024,7/10,Avery,C5,5,9,Castilleja,1.35,1.3,0.05,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0.1,0,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0.08,0,0,0,0,0,0.9,0,0,0,0,0,0,0
2024,7/10,Avery,C5C,5,10,Control,1.065,0.965,0.1,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.16,0,0,0,0,0.005,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.25,0,0,0,0,0,0.4,0,0,0,0,0,0,0
2024,7/10,Avery,C6,6,11,Castilleja,1,0.84,0.16,0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.13,0,0,0,0,0,0.3,0,0,0,0,0,0,0
2024,7/10,Avery,C6C,6,12,Control,1.3,1.22,0.08,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.08,0,0,0,0,0,0.9,0,0,0,0,0,0,0.02
2024,7/10,Avery,C7,7,13,Castilleja,1.345,1.265,0.08,0,0,0.03,0,0,0,0,0,0.005,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.12,0,0,0,0,0,0.8,0,0,0,0,0,0,0.02
2024,7/10,Avery,C7C,7,14,Control,1.245,1.195,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0.005,0,0,0,0,0,0.03,0,0,0,0,0,0.2,0,0,0,0,0,0.6,0,0,0,0,0.17,0,0.06
2024,7/10,Avery,C8,8,15,Castilleja,1.4,1.4,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0.15,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.6,0,0,0,0,0,0.35,0,0,0,0,0.07,0,0.1
2024,7/10,Avery,C8C,8,16,Control,1,0.94,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.3,0,0,0,0,0,0.45,0,0,0,0,0.03,0,0
2024,7/11/24,Avery,C9,9,17,Castilleja,1.34,1.34,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0.06,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.07,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.12,0,0,0,0,0,0.7,0,0,0,0,0.12,0,0
2024,7/11/24,Avery,C9C,9,18,Control,1.11,1.06,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0.04,0,0,0,0.2,0,0,0,0,0,0.45,0,0,0,0,0.09,0,0
2024,7/11/24,Avery,C10,10,19,Castilleja,1.2,1.2,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0,0.12,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.3,0,0,0,0,0,0.5,0,0,0,0,0,0,0.08
2024,7/11/24,Avery,C10C,10,20,Control,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.04,0.06,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.18,0,0,0,0,0,0.5,0,0,0,0,0,0,0.08
2024,7/11/24,Avery,C11,11,21,Castilleja,1.34,1.29,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.01,0,0,0,0,0.01,0,0.2,0,0,0.06,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.06,0,0,0,0,0,0.6,0,0,0,0,0.02,0,0
2024,7/11/24,Avery,C11C,11,22,Control,1,0.78,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0,0.1,0,0,0,0.12,0,0,0,0,0,0.25,0.06,0,0,0,0.1,0,0
2024,7/11/24,Avery,C12,12,23,Castilleja,1.355,1.325,0.03,0,0.01,0,0,0,0,0,0,0.005,0,0,0,0,0,0.1,0,0,0,0.04,0,0,0,0,0,0,0.09,0,0,0.11,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.02,0,0.15,0,0,0,0.06,0,0,0,0,0.02,0.6,0,0,0.03,0,0.01,0,0
2024,7/11/24,Avery,C12C,12,24,Control,1.11,0.96,0.15,0,0.04,0.01,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.08,0,0,0,0,0,0.22,0,0,0,0,0.35,0,0
