year,date,site,field_plot,pair,plot,castilleja,total_cover,plant_cover,bare,Achillea millefolium,Achnatherum sp.,Agoseris sp.,Androsace septentrionales,Anemone multifida,Aquilegia coerulea,Artemisia dracunculus,Astragalus alpinus,Boechera stricta,Botrychium sp.,Bromus inermis,Campanula petiolata,"Carex sp. (obtusata, geyeri)",Carex pityophila,"Carex sp. (chalciolepis, ebenea, egglestonii, hoodii)",Castilleja septentrionalis,Chenopodium atrovirens,Cirsium griseum,Cymopterus lemmonii,Dactylis glomerata,Danthonia parryi,Delphinium barbeyi,Delphinium nuttalianum,Deschampsia cespitosa,Draba spectabilis,Elymus lanceolatus,Eremogone congesta,Erigeron coulteri,Erigeron leiomerus,Erigeron speciosus,Erigeron subtrinervis,Eriogonum umbellatum majus,Fragaria virginiana,Frasera speciosa,Galium boreale,Gentiana parryi,Helianthella quinquenerva,Heterotheca sp.,Hymenoxys hoopesii,Ipomopsis aggregata,Lathyrus lanszwertii,Lomatium triternatum,Lupinus argenteus,Maianthemum stellatum,Mertensia brevistyla,Moehringia sp.,Noccaea fendleri,Oreochrysum parryi,Phleum alpinum,Poa alpina,Poa compressa,Poa fendleriana,Poa pratensis,Polygonum sp.,Populus balsamifera,Potentilla glaucophylla,Potentilla pulcherrima,Pyrrocoma crocea,Sedum lanceolatum,Senecio crassulus,Sibbaldia procumbens,Solidago multiradiata,Silene drummondii,Solidago multiradiata,Taraxacum officinale,Thalictrum fendleri,Trisetum canescens,Trisetum spicatum,Valeriana edulis,Valeriana occidentalis,Vicia americana,Viola adunca
2023,7/25/23,Avery,E1,1,1,Castilleja,1.1,0.95,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.15,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0
2023,7/25/23,Avery,E1C,1,2,Control,1.04,0.54,0.5,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.04,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
2023,7/25/23,Avery,E2,2,3,Castilleja,1.06,0.85,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
2023,7/25/23,Avery,E2C,2,4,Control,1.12,0.84,0.25,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.35,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
2023,7/26/23,Avery,E3,3,5,Castilleja,1.005,0.675,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.2,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0
2023,7/26/23,Avery,E3C,3,6,Control,1.09,0.69,0.4,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.08,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
2023,7/26/23,Avery,E4,4,7,Castilleja,1.075,0.875,0.2,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.2,0,0,0,0,0,0,0,0.3,0.03,0,0,0,0,0,0
2023,7/26/23,Avery,E4C,4,8,Control,1.11,0.86,0.25,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.25,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
2023,7/26/23,Avery,E5,5,9,Castilleja,1.115,0.665,0.45,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.08,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
2023,7/26/23,Avery,E5C,5,10,Control,1.005,0.355,0.65,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
