year,date,site,pair,plot,castilleja,total.cover,plant.cover,species,cover,functional.group,life.history,family
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Bare.ground,0.15,,,
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Agoseris.sp.,0.15,forb,perennial,Asteraceae
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Castilleja.septentrionalis,0.03,hemiparasite,perennial,Orobanchaceae
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Taraxacum.officinale,0.35,forb,perennial,Asteraceae
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Elymus.lanceolatus,0.01,grass,perennial,Poaceae
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Erigeron.subtrinervis,0.1,forb,perennial,Asteraceae
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Lathyrus.lanszwertii,0.1,legume,perennial,Fabaceae
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Poa.pratensis,0.06,grass,perennial,Poaceae
2023,7/25/23,Avery,1,1,Castilleja,1.1,0.95,Potentilla.pulcherrima,0.15,forb,perennial,Rosaceae
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Bare.ground,0.5,,,
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Agoseris.sp.,0.05,forb,perennial,Asteraceae
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Taraxacum.officinale,0.25,forb,perennial,Asteraceae
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Elymus.lanceolatus,0.01,grass,perennial,Poaceae
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Erigeron.subtrinervis,0.04,forb,perennial,Asteraceae
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Lathyrus.lanszwertii,0.08,legume,perennial,Fabaceae
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Poa.pratensis,0.07,grass,perennial,Poaceae
2023,7/25/23,Avery,1,2,Control,1.04,0.54,Potentilla.pulcherrima,0.04,forb,perennial,Rosaceae
2023,7/25/23,Avery,2,3,Castilleja,1.06,0.86,Bare.ground,0.2,,,
2023,7/25/23,Avery,2,3,Castilleja,1.06,0.86,Castilleja.septentrionalis,0.1,hemiparasite,perennial,Orobanchaceae
2023,7/25/23,Avery,2,3,Castilleja,1.06,0.86,Taraxacum.officinale,0.25,forb,perennial,Asteraceae
2023,7/25/23,Avery,2,3,Castilleja,1.06,0.86,Erigeron.subtrinervis,0.15,forb,perennial,Asteraceae
2023,7/25/23,Avery,2,3,Castilleja,1.06,0.86,Hesperostipa.comata,0.01,forb,perennial,Asteraceae
2023,7/25/23,Avery,2,3,Castilleja,1.06,0.86,Poa.pratensis,0.25,grass,perennial,Poaceae
2023,7/25/23,Avery,2,3,Castilleja,1.06,0.86,Potentilla.pulcherrima,0.1,forb,perennial,Rosaceae
2023,7/25/23,Avery,2,4,Control,1.12,0.87,Bare.ground,0.25,,,
2023,7/25/23,Avery,2,4,Control,1.12,0.87,Taraxacum.officinale,0.2,forb,perennial,Asteraceae
2023,7/25/23,Avery,2,4,Control,1.12,0.87,Elymus.lanceolatus,0.01,grass,perennial,Poaceae
2023,7/25/23,Avery,2,4,Control,1.12,0.87,Erigeron.subtrinervis,0.1,forb,perennial,Asteraceae
2023,7/25/23,Avery,2,4,Control,1.12,0.87,Hesperostipa.comata,0.03,forb,perennial,Asteraceae
2023,7/25/23,Avery,2,4,Control,1.12,0.87,Poa.pratensis,0.18,grass,perennial,Poaceae
2023,7/25/23,Avery,2,4,Control,1.12,0.87,Potentilla.pulcherrima,0.35,forb,perennial,Rosaceae
2023,7/26/23,Avery,3,5,Castilleja,1.005,0.675,Bare.ground,0.33,,,
2023,7/26/23,Avery,3,5,Castilleja,1.005,0.675,Castilleja.septentrionalis,0.1,hemiparasite,perennial,Orobanchaceae
2023,7/26/23,Avery,3,5,Castilleja,1.005,0.675,Taraxacum.officinale,0.12,forb,perennial,Asteraceae
