year,date,site,pair,pair,plot,castilleja,total_cover,plant_cover,bare,no_plant,no_total,species,div,rich,even
2023,7/25/23,Avery,1,1,1,Castilleja,1.1,0.95,0.15,0.92,1.07,C. septentrionalis,1.668734807,7,0.857560051
2023,7/25/23,Avery,1,1,2,Control,1.04,0.54,0.5,0.54,1.04,C. septentrionalis,1.58405176,7,0.814041574
2023,7/25/23,Avery,2,2,3,Castilleja,1.06,0.85,0.2,0.76,0.96,C. septentrionalis,1.375596561,5,0.8547062
2023,7/25/23,Avery,2,2,4,Control,1.12,0.84,0.25,0.87,1.12,C. septentrionalis,1.446365509,6,0.80723196
2023,7/26/23,Avery,3,3,5,Castilleja,1.005,0.675,0.33,0.575,0.905,C. septentrionalis,1.398738459,5,0.869085069
2023,7/26/23,Avery,3,3,6,Control,1.09,0.69,0.4,0.69,1.09,C. septentrionalis,1.471359916,7,0.756129422
2023,7/26/23,Avery,4,4,7,Castilleja,1.075,0.875,0.2,0.845,1.045,C. septentrionalis,1.621301178,7,0.833183988
2023,7/26/23,Avery,4,4,8,Control,1.11,0.86,0.25,0.86,1.11,C. septentrionalis,1.551213365,5,0.963823055
2023,7/26/23,Avery,5,5,9,Castilleja,1.115,0.665,0.45,0.625,1.075,C. septentrionalis,1.038897408,5,0.645503253
2023,7/26/23,Avery,5,5,10,Control,1.005,0.355,0.65,0.355,1.005,C. septentrionalis,1.039251703,4,0.749661639
2023,7/26/23,Avery,6,6,11,Castilleja,1.21,0.86,0.3,0.79,1.09,C. septentrionalis,1.396245133,6,0.779259246
2023,7/26/23,Avery,6,6,12,Control,1.2,0.8,0.3,0.9,1.2,C. septentrionalis,1.529339118,6,0.853540413
2023,7/26/23,Avery,7,7,13,Castilleja,1.21,0.58,0.6,0.53,1.13,C. septentrionalis,1.472135994,6,0.821614742
2023,7/26/23,Avery,7,7,14,Control,1.09,0.59,0.45,0.64,1.09,C. septentrionalis,1.663631758,6,0.928490563
2023,7/27/23,Avery,8,8,15,Castilleja,1.03,0.73,0.3,0.61,0.91,C. septentrionalis,1.40714602,7,0.723130007
2023,7/27/23,Avery,8,8,16,Control,1.06,0.31,0.75,0.31,1.06,C. septentrionalis,1.157275083,4,0.834797512
2023,7/27/23,Avery,8,8,17,Castilleja,1.025,0.625,0.4,0.605,1.005,C. septentrionalis,1.357040328,6,0.757378628
2023,7/27/23,Avery,9,9,18,Control,1.01,0.86,0.15,0.86,1.01,C. septentrionalis,1.563590125,7,0.803526373
2023,7/27/23,Avery,9,9,19,Castilleja,1.2,0.61,0.55,0.62,1.17,C. septentrionalis,2.062768109,9,0.938806224
2023,7/27/23,Avery,10,10,20,Control,1.21,0.51,0.7,0.51,1.21,C. septentrionalis,1.637422048,6,0.913862645
2023,7/27/23,Avery,10,10,21,Castilleja,1.43,0.88,0.55,0.63,1.18,C. septentrionalis,1.703850279,6,0.950936947
2023,7/27/23,Avery,11,11,22,Control,1.08,0.73,0.35,0.73,1.08,C. septentrionalis,1.535397885,7,0.789038428
2023,7/27/23,Avery,11,11,23,Castilleja,1.16,0.81,0.35,0.76,1.11,C. septentrionalis,1.512933309,7,0.77749392
2023,7/27/23,Avery,12,12,24,Control,1.16,0.96,0.2,0.96,1.16,C. septentrionalis,1.415189827,7,0.727263706
2023,7/28/23,Avery,12,12,25,Castilleja,1.035,0.585,0.45,0.545,0.995,C. septentrionalis,1.465083376,7,0.752903918
2023,7/28/23,Avery,13,13,26,Control,1.19,0.57,0.6,0.59,1.19,C. septentrionalis,1.699007453,8,0.817049876
2023,7/28/23,Avery,13,13,27,Castilleja,1.02,0.83,0.15,0.83,0.98,C. septentrionalis,1.665143027,7,0.855714242
2023,7/28/23,Avery,14,14,28,Control,1.135,0.485,0.65,0.485,1.135,C. septentrionalis,1.273099619,5,0.791021268
2023,7/28/23,Avery,14,14,29,Castilleja,1.18,0.68,0.5,0.56,1.06,C. septentrionalis,1.841616268,8,0.885630219
2023,7/28/23,Avery,15,15,30,Control,1.055,0.505,0.55,0.505,1.055,C. septentrionalis,1.395737415,6,0.778975883
2023,7/28/23,Avery,15,15,31,Castilleja,1.02,0.82,0.15,0.79,0.94,C. septentrionalis,1.542946256,7,0.792917523
2023,7/28/23,Avery,16,16,32,Control,1.07,0.45,0.6,0.47,1.07,C. septentrionalis,1.282606493,5,0.796928222
2023,7/28/23,Avery,17,17,33,Castilleja,1.11,0.76,0.3,0.8,1.1,C. septentrionalis,1.657378043,8,0.797030361
2023,7/28/23,Avery,17,17,34,Control,1.14,0.66,0.4,0.74,1.14,C. septentrionalis,1.621830663,7,0.833456089
2023,7/28/23,Avery,18,18,35,Castilleja,1.025,0.625,0.4,0.575,0.975,C. septentrionalis,1.095195948,5,0.680483503
2023,7/28/23,Avery,18,18,36,Control,1,0.51,0.45,0.55,1,C. septentrionalis,1.654698485,7,0.850346808
2023,7/28/23,Avery,19,19,37,Castilleja,1.01,0.66,0.35,0.61,0.96,C. septentrionalis,1.502723685,6,0.838686057
2023,7/28/23,Avery,19,19,38,Control,1,0.41,0.59,0.41,1,C. septentrionalis,1.549812773,6,0.864966978
2023,7/28/23,Avery,20,20,39,Castilleja,1.15,0.95,0.2,0.92,1.12,C. septentrionalis,0.993648112,5,0.617388284
2023,7/28/23,Avery,20,20,40,Control,1.005,0.705,0.3,0.705,1.005,C. septentrionalis,1.134747411,5,0.705058208
2024,10-Jul,Avery,21,21,41,Castilleja,1.11,0.86,0.25,0.74,0.99,C. septentrionalis,1.925093881,8,0.925774465
2024,10-Jul,Avery,21,21,42,Control,1.39,1.29,0.1,1.29,1.39,C. septentrionalis,1.781241811,12,0.716824437
2024,10-Jul,Avery,22,22,43,Castilleja,1.22,1.17,0.05,1.12,1.17,C. septentrionalis,1.512338893,8,0.727281274
2024,10-Jul,Avery,22,22,44,Control,1.02,0.92,0.1,0.92,1.02,C. septentrionalis,1.219820881,7,0.626863929
2024,10-Jul,Avery,23,23,45,Castilleja,1.055,1.005,0.05,0.985,1.035,C. septentrionalis,1.431969822,12,0.576267049
2024,10-Jul,Avery,23,23,46,Control,1.045,0.895,0.15,0.895,1.045,C. septentrionalis,0.737877109,9,0.335822344
2024,10-Jul,Avery,24,24,47,Castilleja,1.24,1.14,0.1,1.06,1.16,C. septentrionalis,0.998748489,8,0.480296497
2024,10-Jul,Avery,24,24,48,Control,1,0.75,0.25,0.75,1,C. septentrionalis,1.736989051,10,0.75436476
2024,10-Jul,Avery,25,25,49,Castilleja,1.35,1.3,0.05,1.28,1.33,C. septentrionalis,1.210269582,10,0.525613401
2024,10-Jul,Avery,25,25,50,Control,1.065,0.965,0.1,0.965,1.065,C. septentrionalis,1.53306855,8,0.737250131
2024,10-Jul,Avery,26,26,51,Castilleja,1,0.84,0.16,0.83,0.99,C. septentrionalis,1.534272381,7,0.788460033
2024,10-Jul,Avery,26,26,52,Control,1.3,1.22,0.08,1.22,1.3,C. septentrionalis,1.087496074,9,0.494940793
2024,10-Jul,Avery,27,27,53,Castilleja,1.345,1.265,0.08,1.115,1.195,C. septentrionalis,1.082368869,9,0.492607301
2024,10-Jul,Avery,27,27,54,Control,1.245,1.195,0.05,1.195,1.245,C. septentrionalis,1.57936278,10,0.68590854
2024,10-Jul,Avery,28,28,55,Castilleja,1.4,1.4,0,1.38,1.38,C. septentrionalis,1.583686841,9,0.720766942
2024,10-Jul,Avery,28,28,56,Control,1,0.94,0.06,0.94,1,C. septentrionalis,1.353307799,7,0.695462635
2024,7/11/24,Avery,29,29,57,Castilleja,1.34,1.34,0,1.27,1.27,C. septentrionalis,1.612459453,10,0.700282243
2024,7/11/24,Avery,29,29,58,Control,1.11,1.06,0.05,1.06,1.11,C. septentrionalis,1.62978292,8,0.783759912
2024,7/11/24,Avery,30,30,59,Castilleja,1.2,1.2,0,1.16,1.16,C. septentrionalis,1.634256278,10,0.709748483
2024,7/11/24,Avery,30,30,60,Control,1.1,1.1,0,1.1,1.1,C. septentrionalis,1.656933697,8,0.796816676
2024,7/11/24,Avery,31,31,61,Castilleja,1.34,1.29,0.05,1.23,1.28,C. septentrionalis,1.597059736,10,0.693594231
2024,7/11/24,Avery,31,31,62,Control,1,0.78,0.22,0.78,1,C. septentrionalis,1.987797766,10,0.863289601
2024,7/11/24,Avery,32,32,63,Castilleja,1.355,1.325,0.03,1.225,1.255,C. septentrionalis,1.778834177,13,0.693516296
2024,7/11/24,Avery,32,32,64,Control,1.11,0.96,0.15,0.96,1.11,C. septentrionalis,1.828931782,10,0.794294981
2024,7/11/24,Avery,33,33,65,Castilleja,1.13,1.03,0.1,0.91,1.01,C. septentrionalis,1.95269566,10,0.84804495
2024,7/11/24,Avery,33,33,66,Control,1,0.76,0.24,0.76,1,C. septentrionalis,1.552465776,8,0.746578225
2024,7/11/24,Avery,34,34,67,Castilleja,1.19,1.11,0.08,1.01,1.09,C. septentrionalis,1.252847796,8,0.602492434
2024,7/11/24,Avery,34,34,68,Control,1.055,0.955,0.1,0.955,1.055,C. septentrionalis,1.280387115,9,0.582729289
2024,7/11/24,Avery,35,35,69,Castilleja,1.06,0.86,0.2,0.79,0.99,C. septentrionalis,1.645532664,9,0.74891419
2024,7/11/24,Avery,35,35,70,Control,1.22,1.02,0.2,1.02,1.22,C. septentrionalis,1.909825086,11,0.796458923
2024,7/11/24,Avery,36,36,71,Castilleja,1.12,1.02,0.1,0.92,1.02,C. septentrionalis,2.023575097,12,0.814346526
2024,7/11/24,Avery,36,36,72,Control,1,0.65,0.35,0.65,1,C. septentrionalis,1.154954819,5,0.717613777
2024,7/11/24,Avery,37,37,73,Castilleja,1.25,1.05,0.2,0.97,1.17,C. septentrionalis,0.936920591,8,0.450563563
2024,7/11/24,Avery,37,37,74,Control,1.22,1.18,0.04,1.18,1.22,C. septentrionalis,1.211589943,8,0.582651601
2024,7/11/24,Avery,38,38,75,Castilleja,1.22,0.97,0.25,0.82,1.07,C. septentrionalis,1.644744053,9,0.748555277
2024,7/11/24,Avery,38,38,76,Control,1.15,0.97,0.18,0.97,1.15,C. septentrionalis,1.723841907,9,0.784554262
2024,7/11/24,Avery,39,39,77,Castilleja,1.39,1.36,0.03,1.21,1.24,C. septentrionalis,1.469106778,10,0.638024967
2024,7/11/24,Avery,39,39,78,Control,1.35,1.25,0.1,1.25,1.35,C. septentrionalis,1.190993154,10,0.517241755
2024,7/11/24,Avery,40,40,79,Castilleja,1.185,1.105,0.08,1.005,1.085,C. septentrionalis,0.843380279,7,0.433411727
2024,7/11/24,Avery,40,40,80,Control,1.11,0.91,0.2,0.91,1.11,C. septentrionalis,1.068299084,7,0.548997128
2024,18-Jul,Copper Creek,41,41,81,Castilleja,1.055,0.655,0.4,0.605,1.005,C. septentrionalis,2.329132001,15,0.860077114
2024,18-Jul,Copper Creek,41,41,82,Control,1.005,0.605,0.4,0.605,1.005,C. septentrionalis,2.397353935,17,0.846160752
2024,18-Jul,Copper Creek,42,42,83,Castilleja,1.046,0.746,0.3,0.656,0.956,C. septentrionalis,2.054897059,14,0.778648132
2024,18-Jul,Copper Creek,42,42,84,Control,1.04,0.64,0.4,0.64,1.04,C. septentrionalis,2.550444543,16,0.919878423
2024,18-Jul,Copper Creek,43,43,85,Castilleja,1.055,0.705,0.35,0.685,1.035,C. septentrionalis,2.0731896,13,0.808277011
2024,18-Jul,Copper Creek,43,43,86,Control,1.195,0.645,0.55,0.645,1.195,C. septentrionalis,2.132988959,11,0.889525486
2024,18-Jul,Copper Creek,44,44,87,Castilleja,1.105,0.655,0.45,0.595,1.045,C. septentrionalis,2.238738059,13,0.872819595
2024,18-Jul,Copper Creek,44,44,88,Control,1.01,0.51,0.5,0.51,1.01,C. septentrionalis,1.933580938,10,0.839743531
2024,18-Jul,Copper Creek,45,45,89,Castilleja,1.06,0.66,0.4,0.63,1.03,C. septentrionalis,2.486081565,15,0.918033781
2024,18-Jul,Copper Creek,45,45,90,Control,1.12,0.72,0.4,0.72,1.12,C. septentrionalis,2.239152547,13,0.872981192
2024,18-Jul,Copper Creek,46,46,91,Castilleja,1.2,0.85,0.35,0.79,1.14,C. septentrionalis,2.406778452,18,0.832688199
2024,18-Jul,Copper Creek,46,46,92,Control,1.235,1.035,0.2,1.035,1.235,C. septentrionalis,2.412055739,19,0.819190262
2024,18-Jul,Copper Creek,47,47,93,Castilleja,1.115,0.815,0.3,0.755,1.055,C. septentrionalis,2.29581771,14,0.869938551
2024,18-Jul,Copper Creek,47,47,94,Control,1.015,0.765,0.25,0.765,1.015,C. septentrionalis,1.983116181,12,0.79806466
2024,18-Jul,Copper Creek,48,48,95,Castilleja,1.15,0.95,0.2,0.89,1.09,C. septentrionalis,2.493776924,19,0.846944678
2024,18-Jul,Copper Creek,48,48,96,Control,1,0.8,0.2,0.8,1,C. septentrionalis,2.196375885,15,0.811054346
2024,22-Jul,Copper Creek,49,49,97,Castilleja,1,0.6,0.4,0.57,0.97,C. septentrionalis,2.347931665,14,0.889685737
2024,22-Jul,Copper Creek,49,49,98,Control,1.095,0.645,0.45,0.645,1.095,C. septentrionalis,2.437137377,14,0.923487849
2024,22-Jul,Copper Creek,50,50,99,Castilleja,1.07,0.77,0.3,0.68,0.98,C. septentrionalis,2.279699858,13,0.888789422
2024,22-Jul,Copper Creek,50,50,100,Control,1,0.59,0.41,0.59,1,C. septentrionalis,2.58509097,15,0.954594922
2024,22-Jul,Copper Creek,51,51,101,Castilleja,1.04,0.69,0.35,0.61,0.96,C. septentrionalis,2.187806323,11,0.912386103
2024,22-Jul,Copper Creek,51,51,102,Control,1.01,0.41,0.6,0.41,1.01,C. septentrionalis,1.769260634,8,0.850834514
2024,22-Jul,Copper Creek,52,52,103,Castilleja,1.28,0.98,0.3,0.94,1.24,C. septentrionalis,1.984910291,10,0.862035586
2024,22-Jul,Copper Creek,52,52,104,Control,1.015,0.615,0.4,0.615,1.015,C. septentrionalis,1.84094157,12,0.740849388
2024,22-Jul,Copper Creek,53,53,105,Castilleja,1.17,0.62,0.55,0.56,1.11,C. septentrionalis,2.13723618,13,0.833246931
2024,22-Jul,Copper Creek,53,53,106,Control,1.175,0.525,0.65,0.525,1.175,C. septentrionalis,2.007564889,12,0.807903544
2024,22-Jul,Copper Creek,54,54,107,Castilleja,1.02,0.67,0.35,0.6,0.95,C. septentrionalis,2.189945318,13,0.853796708
2024,22-Jul,Copper Creek,54,54,108,Control,1.14,0.59,0.55,0.59,1.14,C. septentrionalis,1.863030897,9,0.847901901
2024,22-Jul,Copper Creek,55,55,109,Castilleja,1.04,0.64,0.4,0.55,0.95,C. septentrionalis,1.842999478,9,0.83878521
2024,22-Jul,Copper Creek,55,55,110,Control,1.14,0.69,0.45,0.69,1.14,C. septentrionalis,1.998772679,10,0.868055945
2024,22-Jul,Copper Creek,56,56,111,Castilleja,1.09,0.74,0.35,0.71,1.06,C. septentrionalis,2.36268334,13,0.921142296
2024,22-Jul,Copper Creek,56,56,112,Control,1.17,0.82,0.35,0.82,1.17,C. septentrionalis,2.213620491,13,0.863026977
2024,7/23/24,Copper Creek,57,57,113,Castilleja,1.23,0.98,0.25,0.85,1.1,C. septentrionalis,2.100922575,11,0.876152765
2024,7/23/24,Copper Creek,57,57,114,Control,1.12,0.57,0.55,0.57,1.12,C. septentrionalis,2.345136748,12,0.943752454
2024,7/23/24,Copper Creek,58,58,115,Castilleja,1.105,0.855,0.25,0.735,0.985,C. septentrionalis,2.136678343,12,0.85986262
