"Year","Date","Site","Pair","Plot","Castilleja","div","rich","even"
2023,"7/7/23","Deer Creek 1",1,1,"Castilleja",1.56611113863279,8,0.753140257728832
2023,"7/7/23","Deer Creek 1",1,2,"Control",1.35372606821202,7,0.695677582476878
2023,"7/7/23","Deer Creek 1",2,3,"Castilleja",1.63831300307704,10,0.711510296866704
2023,"7/7/23","Deer Creek 1",2,4,"Control",1.61698233429369,8,0.777604131630191
2023,"7/11/23","Deer Creek 1",3,5,"Castilleja",2.11864924706995,9,0.964238826073242
2023,"7/11/23","Deer Creek 1",3,6,"Control",1.52142274390827,7,0.781856626138099
2023,"7/11/23","Deer Creek 1",4,7,"Castilleja",1.37588282238106,6,0.767894824060192
2023,"7/11/23","Deer Creek 1",4,8,"Control",1.24882718380859,7,0.641770219665517
2023,"7/11/23","Deer Creek 1",5,9,"Castilleja",1.42484545071143,7,0.732225715253685
2023,"7/11/23","Deer Creek 1",5,10,"Control",0.978172831115188,5,0.607772952008946
2023,"7/11/23","Deer Creek 1",6,11,"Castilleja",1.36999792456574,8,0.658829737266388
2023,"7/11/23","Deer Creek 1",6,12,"Control",1.39020749876781,7,0.714425329166774
2023,"7/11/23","Deer Creek 1",7,13,"Castilleja",1.5349241184691,7,0.788794960144622
2023,"7/11/23","Deer Creek 1",7,14,"Control",1.73512645696292,6,0.968392514041223
2023,"7/11/23","Deer Creek 1",8,15,"Castilleja",1.376437810774,7,0.707349109331809
2023,"7/11/23","Deer Creek 1",8,16,"Control",1.376437810774,7,0.707349109331809
2023,"7/11/23","Deer Creek 1",9,17,"Castilleja",2.06206954130016,9,0.93848829226191
2023,"7/11/23","Deer Creek 1",9,18,"Control",1.83387841935528,11,0.764786702805051
2023,"7/13/23","Deer Creek 1",10,19,"Castilleja",1.93465304887793,10,0.840209143524986
2023,"7/13/23","Deer Creek 1",10,20,"Control",1.90126437376544,11,0.792888828521123
2023,"7/13/23","Deer Creek 1",11,21,"Castilleja",1.23525941348193,6,0.689411405211724
2023,"7/13/23","Deer Creek 1",11,22,"Control",1.97018144002608,8,0.947456997725703
2023,"7/13/23","Deer Creek 1",12,23,"Castilleja",1.79129019468159,11,0.747026033622866
2023,"7/13/23","Deer Creek 1",12,24,"Control",1.62585471393979,9,0.739958368712076
2023,"7/13/23","Deer Creek 1",13,25,"Castilleja",1.65834706586901,9,0.754746275357747
2023,"7/13/23","Deer Creek 1",13,26,"Control",1.6613228393181,7,0.85375105326658
2023,"7/13/23","Deer Creek 1",14,27,"Castilleja",1.1658035966397,6,0.65064737575628
2023,"7/13/23","Deer Creek 1",14,28,"Control",1.86404357975203,7,0.957928905739542
2023,"7/13/23","Deer Creek 1",15,29,"Castilleja",0.799902779427117,4,0.5770078865364
2023,"7/13/23","Deer Creek 1",15,30,"Control",1.24040513178752,6,0.692283285279315
2023,"7/13/23","Deer Creek 1",16,31,"Castilleja",1.49417513828931,5,0.928383211769586
2023,"7/13/23","Deer Creek 1",16,32,"Control",1.36999792456574,8,0.658829737266388
