"Year","Date","Site","Field.Plot","Pair","Plot","Treatment","Agastache.urticifolia","Amelanchier.alnifolia","Arctostaphylos.uva.ursi","Artemisia.tridentada","Berberis.repens","Boechera.stricta","Bromus.inermis","Calochortus.gunnisonii","Carex.sp.","Castilleja.linariifolia","Collomia.linearis","Crepis.sp.","Delphinum.nuttalliianum","Elymus.elymoides","Elymus.glaucus","Eremogone.congesta","Erigeron.speciosus","Erigeron.sp.","Eriogonum.umbellatum","Festuca.thurberi","Galium.bifolium","Gayophytum.sp.","Heliomerus.multiflora","Achnatherum.sp.","Heterotheca.sp.","Ipomopsis.aggregatta","Juniperus.communis","Koeleria.macrantha","Lathyrus.lanszwertii","Linum.lewisii","Lomatium.dissectum","Lupinus.sp.","Poa.pratensis","Poa.sp.","Populus.tremuloides","Potentilla.hippiana","Rosa.blanda","Senecio.integerrimus","Symphoricarpos.rotundifolius","Vicia.americana","Viola.praemorsa","Wyethia.amplexicaulis","Antennaria.parvifolia","Artemisia.dracunculus","Bromus.frondosus","Campanula.petiolata","Chenopodium.atrovirens","Dactylus.glomeratus","Elymus.trachycaulus","Erigeron.flagellaris","Eriogonum.umbellatum.aureum","Eriogonum.umbellatum.majus","Festuca.rubra","Galium.boreale","Helianthella.quinquenervis","Hydrophyllum.capitatum","Mertensia.brevistyla","Paxistima.myrsinites","Phacelia.sp.","Poa.fendleriana","Polygonum.sp.","Potentilla.pulcherrima","Rosa.woodsii","Sedum.lanceolatum","Senecio.pudicus","Taraxacum.officinale","Thalictrum.fendleri","Viola.adunca"
2023,"7/7/23","Deer Creek 1","C1",1,1,"Castilleja",0,0,0,1,0,0,0,0,3,1,0,0,2,0,0,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/7/23","Deer Creek 1","C1C",1,2,"Control",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/7/23","Deer Creek 1","C2",2,3,"Castilleja",0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,1,1,15,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/7/23","Deer Creek 1","C2C",2,4,"Control",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/11/23","Deer Creek 1","C3",3,5,"Castilleja",1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/11/23","Deer Creek 1","C3C",3,6,"Control",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/11/23","Deer Creek 1","C4",4,7,"Castilleja",0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,15,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/11/23","Deer Creek 1","C4C",4,8,"Control",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/11/23","Deer Creek 1","C5",5,9,"Castilleja",0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,15,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/11/23","Deer Creek 1","C5C",5,10,"Control",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
