"Year","Date","Site","Pair","Plot","Castilleja","div","rich","even"
2023,"7/7/23","Deer Creek 1",1,1,"Castilleja",1.66005218002026,9,0.755522306250919
2023,"7/7/23","Deer Creek 1",1,2,"Control",1.35372606821202,7,0.695677582476878
2023,"7/7/23","Deer Creek 1",2,3,"Castilleja",1.74875162937768,11,0.72928607400642
2023,"7/7/23","Deer Creek 1",2,4,"Control",1.61698233429369,8,0.777604131630191
2023,"7/11/23","Deer Creek 1",3,5,"Castilleja",2.22002532783454,10,0.964144749563997
2023,"7/11/23","Deer Creek 1",3,6,"Control",1.52142274390827,7,0.781856626138099
2023,"7/11/23","Deer Creek 1",4,7,"Castilleja",1.45839260095907,7,0.749465540157173
2023,"7/11/23","Deer Creek 1",4,8,"Control",1.24882718380859,7,0.641770219665517
2023,"7/11/23","Deer Creek 1",5,9,"Castilleja",1.55024948176698,8,0.745512413161971
2023,"7/11/23","Deer Creek 1",5,10,"Control",0.978172831115188,5,0.607772952008946
2023,"7/11/23","Deer Creek 1",6,11,"Castilleja",1.53580284187176,9,0.698973995518324
2023,"7/11/23","Deer Creek 1",6,12,"Control",1.39020749876781,7,0.714425329166774
2023,"7/11/23","Deer Creek 1",7,13,"Castilleja",1.60968125540986,8,0.774093054863909
2023,"7/11/23","Deer Creek 1",7,14,"Control",1.73512645696292,6,0.968392514041223
2023,"7/11/23","Deer Creek 1",8,15,"Castilleja",1.46039145997092,8,0.702299839018877
2023,"7/11/23","Deer Creek 1",8,16,"Control",1.376437810774,7,0.707349109331809
2023,"7/11/23","Deer Creek 1",9,17,"Castilleja",2.15973161607549,10,0.937959523253579
2023,"7/11/23","Deer Creek 1",9,18,"Control",1.83387841935528,11,0.764786702805051
2023,"7/13/23","Deer Creek 1",10,19,"Castilleja",2.0021316713521,11,0.834953758850192
2023,"7/13/23","Deer Creek 1",10,20,"Control",1.90126437376544,11,0.792888828521123
2023,"7/13/23","Deer Creek 1",11,21,"Castilleja",1.32612486131799,7,0.681493368006631
2023,"7/13/23","Deer Creek 1",11,22,"Control",1.97018144002608,8,0.947456997725703
2023,"7/13/23","Deer Creek 1",12,23,"Castilleja",1.8898583099857,12,0.760534932025287
2023,"7/13/23","Deer Creek 1",12,24,"Control",1.62585471393979,9,0.739958368712076
2023,"7/13/23","Deer Creek 1",13,25,"Castilleja",1.76375423071689,10,0.765988729833862
2023,"7/13/23","Deer Creek 1",13,26,"Control",1.6613228393181,7,0.85375105326658
2023,"7/13/23","Deer Creek 1",14,27,"Castilleja",1.29043365352889,7,0.663151715486637
2023,"7/13/23","Deer Creek 1",14,28,"Control",1.86404357975203,7,0.957928905739542
2023,"7/13/23","Deer Creek 1",15,29,"Castilleja",0.953256252840686,5,0.592291411477308
2023,"7/13/23","Deer Creek 1",15,30,"Control",1.24040513178752,6,0.692283285279315
2023,"7/13/23","Deer Creek 1",16,31,"Castilleja",1.67698777432242,6,0.935944697445866
2023,"7/13/23","Deer Creek 1",16,32,"Control",1.36999792456574,8,0.658829737266388
2023,"7/13/23","Deer Creek 1",17,33,"Castilleja",1.4788274396157,7,0.759966969869412
2023,"7/13/23","Deer Creek 1",17,34,"Control",1.09861228866811,3,1
2023,"7/13/23","Deer Creek 1",18,35,"Castilleja",1.4738080790418,8,0.708751868951899
2023,"7/13/23","Deer Creek 1",18,36,"Control",1.38629436111989,4,1
2023,"7/13/23","Deer Creek 1",19,37,"Castilleja",2.01981499249295,8,0.971325691060918
2023,"7/13/23","Deer Creek 1",19,38,"Control",1.46179181927226,7,0.751212392813675
2023,"7/13/23","Deer Creek 1",20,39,"Castilleja",1.77213938843753,7,0.91069949416619
2023,"7/13/23","Deer Creek 1",20,40,"Control",1.50537404287268,7,0.773609225278719
2023,"7/14/23","Deer Creek 2",21,41,"Castilleja",1.90615474653985,8,0.916666666666667
2023,"7/14/23","Deer Creek 2",21,42,"Control",1.31223565951908,7,0.674355730225331
2023,"7/14/23","Deer Creek 2",22,43,"Castilleja",1.95598384658436,8,0.940629398508726
