"Year","Date","Site","Pair","Plot","Castilleja","div","rich","even"
2023,"7/25/23","Avery",1,1,"Castilleja",1.82604456166563,7,0.938401273333265
2023,"7/25/23","Avery",1,2,"Control",1.81455958418873,7,0.932499162445731
2023,"7/25/23","Avery",2,3,"Castilleja",1.28687263039802,5,0.799578921594907
2023,"7/25/23","Avery",2,4,"Control",1.48721195654008,6,0.830028796879091
2023,"7/26/23","Avery",3,5,"Castilleja",1.37428070725994,5,0.853888613311891
2023,"7/26/23","Avery",3,6,"Control",1.85851915589204,7,0.955089913475345
2023,"7/26/23","Avery",4,7,"Castilleja",1.65915127600694,7,0.852635090480621
2023,"7/26/23","Avery",4,8,"Control",1.52703551589415,5,0.948800512338294
2023,"7/26/23","Avery",5,9,"Castilleja",1.27589068189046,5,0.792755453337629
2023,"7/26/23","Avery",5,10,"Control",1.22060726455302,4,0.880482023721841
2023,"7/26/23","Avery",6,11,"Castilleja",1.65799394577497,6,0.925344039894645
2023,"7/26/23","Avery",6,12,"Control",1.53672246943722,6,0.857661140252986
2023,"7/26/23","Avery",7,13,"Castilleja",1.58747712420033,6,0.88598785242322
2023,"7/26/23","Avery",7,14,"Control",1.49950940967456,7,0.770595399999598
2023,"7/27/23","Avery",8,15,"Castilleja",1.51352641904257,7,0.777798717878803
2023,"7/27/23","Avery",8,16,"Control",1.12095039267358,4,0.808594786296358
2023,"7/27/23","Avery",9,17,"Castilleja",1.5913525202641,6,0.8881507521485
2023,"7/27/23","Avery",9,18,"Control",1.7897838181441,7,0.919766937344456
2023,"7/27/23","Avery",10,19,"Castilleja",1.92791828551436,9,0.877433424603164
2023,"7/27/23","Avery",10,20,"Control",1.64123021348734,6,0.915988022764257
2023,"7/27/23","Avery",11,21,"Castilleja",1.71154728628635,6,0.955232728321363
2023,"7/27/23","Avery",11,22,"Control",1.82125350949881,7,0.93593915956653
2023,"7/27/23","Avery",12,23,"Castilleja",1.85942881514923,7,0.955557385859738
2023,"7/27/23","Avery",12,24,"Control",1.70884851317262,7,0.878174418280424
2023,"7/28/23","Avery",13,25,"Castilleja",1.75192641005698,7,0.90031207808207
2023,"7/28/23","Avery",13,26,"Control",1.91721551856506,8,0.921985773649725
2023,"7/28/23","Avery",14,27,"Castilleja",1.95045431174248,8,0.93797025434379
2023,"7/28/23","Avery",14,28,"Control",1.44815404695709,5,0.899788699998318
2023,"7/28/23","Avery",15,29,"Castilleja",1.95779313819486,8,0.941499483853388
2023,"7/28/23","Avery",15,30,"Control",1.53359080031838,6,0.855913322438922
2023,"7/28/23","Avery",16,31,"Castilleja",1.73286795139986,7,0.890517967770056
2023,"7/28/23","Avery",16,32,"Control",1.42263002620755,5,0.883929734236205
2023,"7/28/23","Avery",17,33,"Castilleja",1.88758927933695,8,0.907738564178195
2023,"7/28/23","Avery",17,34,"Control",1.90368668833762,7,0.978301433528062
2023,"7/28/23","Avery",18,35,"Castilleja",1.47035672662167,5,0.91358400051476
2023,"7/28/23","Avery",18,36,"Control",1.61985287193216,7,0.832439705768817
2023,"7/28/23","Avery",19,37,"Castilleja",1.84386143796137,7,0.947557336527851
2023,"7/28/23","Avery",19,38,"Control",1.84074872856928,7,0.94595772033098
2023,"7/28/23","Avery",20,39,"Castilleja",1.51245117846645,5,0.939738753997058
2023,"7/28/23","Avery",20,40,"Control",1.29655817038415,5,0.805596885948365
2023,"7/31/23","Emerald Lake",21,41,"Castilleja",1.90028650537417,7,0.97655408513939
2023,"7/31/23","Emerald Lake",21,42,"Control",2.07304771980778,10,0.900313185434637
2023,"7/31/23","Emerald Lake",22,43,"Castilleja",2.23287305045478,12,0.898574218329399
2023,"7/31/23","Emerald Lake",22,44,"Control",2.29762810497458,12,0.924633569301527
2023,"7/31/23","Emerald Lake",23,45,"Castilleja",2.14960947800119,11,0.896456781239061
2023,"7/31/23","Emerald Lake",23,46,"Control",2.24387814239804,12,0.903002993126311
2023,"7/31/23","Emerald Lake",24,47,"Castilleja",2.03621291564338,11,0.849166741659696
