"Year","Date","Site","Field.Plot","Pair","Plot","Treatment","total.cover","plant.cover","species","cover"
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Bare.ground",0.15
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Agoseris.sp.",0.15
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Castilleja.septentrionalis",0.03
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Taraxacum.officinale",0.35
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Elymus.lanceolatus",0.01
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Erigeron.subtrinervis",0.1
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Lathyrus.lanszwertii",0.1
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Poa.pratensis",0.06
2023,"7/25/23","Avery","E1",1,1,"Castilleja",1.1,0.95,"Potentilla.pulcherrima",0.15
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Bare.ground",0.5
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Agoseris.sp.",0.05
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Taraxacum.officinale",0.25
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Elymus.lanceolatus",0.01
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Erigeron.subtrinervis",0.04
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Lathyrus.lanszwertii",0.08
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Poa.pratensis",0.07
2023,"7/25/23","Avery","E1C",1,2,"Control",1.04,0.54,"Potentilla.pulcherrima",0.04
2023,"7/25/23","Avery","E2",2,3,"Castilleja",1.06,0.85,"Bare.ground",0.2
2023,"7/25/23","Avery","E2",2,3,"Castilleja",1.06,0.85,"Achnatherum.sp.",0.01
2023,"7/25/23","Avery","E2",2,3,"Castilleja",1.06,0.85,"Castilleja.septentrionalis",0.1
2023,"7/25/23","Avery","E2",2,3,"Castilleja",1.06,0.85,"Taraxacum.officinale",0.25
2023,"7/25/23","Avery","E2",2,3,"Castilleja",1.06,0.85,"Erigeron.subtrinervis",0.15
2023,"7/25/23","Avery","E2",2,3,"Castilleja",1.06,0.85,"Poa.pratensis",0.25
2023,"7/25/23","Avery","E2",2,3,"Castilleja",1.06,0.85,"Potentilla.pulcherrima",0.1
2023,"7/25/23","Avery","E2C",2,4,"Control",1.12,0.84,"Bare.ground",0.25
2023,"7/25/23","Avery","E2C",2,4,"Control",1.12,0.84,"Achnatherum.sp.",0.03
