year,site,taxa,rel_abund_cover,NN_freq,total_cover,NN_count
2023,Avery,Taraxacum officinale,34.68773514,23.52941176,9.22,16
2023,Avery,Potentilla pulcherrima,18.54778029,11.76470588,4.93,8
2023,Avery,Poa pratensis,15.31226486,29.41176471,4.07,20
2023,Avery,Erigeron subtrinervis,11.13619263,13.23529412,2.96,9
2023,Avery,Thalictrum fendleri,4.815650865,2.941176471,1.28,2
2023,Avery,Elymus lanceolatus,3.912716328,4.411764706,1.04,3
2023,Avery,Agoseris sp.,2.91572611,4.411764706,0.775,3
2023,Avery,Achillea millefolium,2.539503386,2.941176471,0.675,2
2023,Avery,Achnatherum sp.,2.294958616,2.941176471,0.61,2
2023,Avery,Ipomopsis aggregata,1.636568849,0,0.435,0
2023,Avery,Valeriana occidentalis,1.431064572,0,0.355,3
2023,Avery,Lathyrus lanszwertii,1.33559067,4.411764706,0.15,0
2023,Avery,Dactylis glomerata,0.942408377,0,0.05,0
2023,Avery,Artemisia dracunculus,0.5643340858,0,0.03,0
2023,Avery,Solidago multiradiata,0.1881113619,0,0.41,0
2023,Avery,Boechera stricta,0.1128668172,0,0.27,0
2023,Emerald Lake,Potentilla pulcherrima,25.27607362,18.98734177,6.18,15
2023,Emerald Lake,Fragaria virginiana,12.51533742,18.98734177,3.06,15
2023,Emerald Lake,Senecio crassulus,11.32924335,10.12658228,2.77,8
2023,Emerald Lake,Deschampsia cespitosa,10.71574642,24.05063291,2.62,19
2023,Emerald Lake,Anemone multifida,7.239263804,2.53164557,1.77,2
2023,Emerald Lake,Achillea millefolium,5.439672802,10.12658228,1.33,8
2023,Emerald Lake,Taraxacum officinale,4.867075665,2.53164557,1.19,2
2023,Emerald Lake,Elymus lanceolatus,3.047034765,2.53164557,0.745,2
2023,Emerald Lake,Thalictrum fendleri,2.944785276,1.265822785,0.72,1
2023,Emerald Lake,Carex sp.,2.862985685,1.265822785,0.7,1
2023,Emerald Lake,Agoseris sp.,2.862985685,1.265822785,0.7,1
