taxa,castilleja,average_cover,percent_cover,num_plots
Agastache.urticifolia,Absent,0.3000,30.0%,1
Aquilegia.coerulea,Absent,0.1700,17.0%,1
Artemisia.tridentata,Absent,0.0500,5.0%,1
Astragalus.alpinus,Absent,0.0500,5.0%,1
Astragalus.drummondii,Absent,0.0100,1.0%,1
Astragalus.miser,Absent,0.0050,0.5%,1
Boechera.consanguinea,Absent,0.0100,1.0%,1
Carex.pityophila,Present,0.0600,6.0%,1
Chrysothamnus.viscidiflorus,Present,0.0600,6.0%,1
Danthonia.parryi,Absent,0.0200,2.0%,1
Delphinium.barbeyi,Present,0.0400,4.0%,1
Delphinium.nuttalianum,Present,0.0100,1.0%,1
Delphinium.nuttallianum,Absent,0.0050,0.5%,1
Elymus.glaucus,Present,0.0050,0.5%,1
Erigeron.sp.,Present,0.0300,3.0%,1
Eriogonum.umbellatum,Present,0.0600,6.0%,1
Festuca.rubra,Absent,0.0100,1.0%,1
Gentiana.parryi,Present,0.0300,3.0%,1
Juniperus.communis,Absent,0.2500,25.0%,1
Lomatium.triternatum,Present,0.0400,4.0%,1
Lomatium.triternatum,Absent,0.0200,2.0%,1
Lupinus.polyphyllus,Absent,0.0100,1.0%,1
Moehringia.sp.,Present,0.0200,2.0%,1
Pediocactus.simpsonii,Absent,0.0100,1.0%,1
Penstemon.strictus,Present,0.0100,1.0%,1
Phacelia.sp.,Present,0.0300,3.0%,1
Populus.tremuloides,Absent,0.0300,3.0%,1
Pulsatilla.nuttalliana,Present,0.0500,5.0%,1
Senecio.pudicus,Present,0.0300,3.0%,1
Senecio.pudicus,Absent,0.0200,2.0%,1
Sibbaldia.procumbens,Present,0.0200,2.0%,1
Silene.drummondii,Present,0.0100,1.0%,1
Solidago.multiradiata,Present,0.0300,3.0%,1
Solidago.multiradiata,Absent,0.0200,2.0%,1
Trisetum.spicatum,Present,0.0300,3.0%,1
Wyethia.amplexicaulis,Present,0.0800,8.0%,1
Agoseris.glauca,Present,0.0100,1.0%,2
Androsace.septentrionales,Present,0.0100,1.0%,2
Artemisia.tridentata,Present,0.2050,20.5%,2
Asteraceae,Present,0.0125,1.3%,2
Astragalus.alpinus,Present,0.0450,4.5%,2
Botrychium.sp.,Present,0.0050,0.5%,2
Chrysothamnus.viscidiflorus,Absent,0.1000,10.0%,2
Dactylus.glomeratus,Present,0.0600,6.0%,2
Dactylus.glomeratus,Absent,0.0650,6.5%,2
Gentiana.parryi,Absent,0.0600,6.0%,2
Ipomopsis.aggregatta,Present,0.0075,0.8%,2
Lupinus.argenteus,Absent,0.0550,5.5%,2
Lupinus.polyphyllus,Present,0.0050,0.5%,2
Oreochrysum.parryi,Absent,0.2050,20.5%,2
Pulsatilla.nuttalliana,Absent,0.1250,12.5%,2
Pyrrocoma.crocea,Present,0.0600,6.0%,2
Pyrrocoma.crocea,Absent,0.0750,7.5%,2
Taraxacum.officianale,Present,0.0075,0.8%,2
Valeriana.edulis,Present,0.0800,8.0%,2
Valeriana.edulis,Absent,0.0350,3.5%,2
Wyethia.amplexicaulis,Absent,0.3600,36.0%,2
Wyethia.x.magna,Absent,0.0600,6.0%,2
Agoseris.glauca,Absent,0.0067,0.7%,3
Allium.geyeri,Present,0.0067,0.7%,3
Allium.geyeri,Absent,0.0083,0.8%,3
Antennaria.parvifolia,Present,0.0800,8.0%,3
Danthonia.parryi,Present,0.0167,1.7%,3
Erigeron.leiomerus,Present,0.1867,18.7%,3
Erigeron.sp.,Absent,0.0083,0.8%,3
Frasera.speciosa,Absent,0.0200,2.0%,3
Helianthella.quinquenervis,Present,0.1000,10.0%,3
Helianthella.quinquenervis,Absent,0.1333,13.3%,3
