"Achillea.millefolium","Achnatherum.sp.","Agoseris.sp.","Androsace.septentrionales","Anemone.multifida","Aquilegia.coerulea","Artemisia.dracunculus","Astragalus.alpinus","Boechera.stricta","Botrychium.sp.","Bromus.inermis","Campanula.petiolata","Carex.sp...obtusata..geyeri.","Carex.pityophila","Carex.sp...chalciolepis..ebenea..egglestonii..hoodii.","Castilleja.septentrionalis","Chenopodium.atrovirens","Cirsium.griseum","Cymopterus.lemmonii","Dactylis.glomerata","Danthonia.parryi","Delphinium.barbeyi","Delphinium.nuttalianum","Deschampsia.cespitosa","Draba.spectabilis","Elymus.lanceolatus","Eremogone.congesta","Erigeron.coulteri","Erigeron.leiomerus","Erigeron.speciosus","Erigeron.subtrinervis","Eriogonum.umbellatum.majus","Fragaria.virginiana","Frasera.speciosa","Galium.boreale","Gentiana.parryi","Helianthella.quinquenerva","Heterotheca.sp.","Hymenoxys.hoopesii","Ipomopsis.aggregata","Lathyrus.lanszwertii","Lomatium.triternatum","Lupinus.argenteus","Maianthemum.stellatum","Mertensia.brevistyla","Moehringia.sp.","Noccaea.fendleri","Oreochrysum.parryi","Phleum.alpinum","Poa.alpina","Poa.compressa","Poa.fendleriana","Poa.pratensis","Polygonum.sp.","Populus.balsamifera","Potentilla.glaucophylla","Potentilla.pulcherrima","Pyrrocoma.crocea","Sedum.lanceolatum","Senecio.crassulus","Sibbaldia.procumbens","Solidago.multiradiata","Silene.drummondii","Solidago.multiradiata.1","Taraxacum.officinale","Thalictrum.fendleri","Trisetum.canescens","Trisetum.spicatum","Valeriana.edulis","Valeriana.occidentalis","Vicia.americana","Viola.adunca","species"
0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.15,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,"C. septentrionalis"
0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.04,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,"C. septentrionalis"
0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,"C. septentrionalis"
0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.35,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,"C. septentrionalis"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.2,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,"C. septentrionalis"
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.08,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,"C. septentrionalis"
0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.2,0,0,0,0,0,0,0,0.3,0.03,0,0,0,0,0,0,"C. septentrionalis"
0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.25,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,"C. septentrionalis"
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.08,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,"C. septentrionalis"
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,"C. septentrionalis"
