"year","date","site","pair","plot","castilleja","total_cover","plant_cover","bare","div","rich","even","species"
2023,"7/25/23","Avery",1,1,"Castilleja",1.1,0.95,0.15,1.66873480682681,7,0.857560051083005,"C. septentrionalis"
2023,"7/25/23","Avery",1,2,"Control",1.04,0.54,0.5,1.58405176045945,7,0.814041573927997,"C. septentrionalis"
2023,"7/25/23","Avery",2,3,"Castilleja",1.06,0.85,0.2,1.37559656147207,5,0.854706199502677,"C. septentrionalis"
2023,"7/25/23","Avery",2,4,"Control",1.12,0.84,0.25,1.44636550875476,6,0.80723196031323,"C. septentrionalis"
2023,"7/26/23","Avery",3,5,"Castilleja",1.005,0.675,0.33,1.39873845871266,5,0.869085068710246,"C. septentrionalis"
2023,"7/26/23","Avery",3,6,"Control",1.09,0.69,0.4,1.47135991583092,7,0.756129421774806,"C. septentrionalis"
2023,"7/26/23","Avery",4,7,"Castilleja",1.075,0.875,0.2,1.6213011780667,7,0.833183987890603,"C. septentrionalis"
2023,"7/26/23","Avery",4,8,"Control",1.11,0.86,0.25,1.55121336503388,5,0.963823054651324,"C. septentrionalis"
2023,"7/26/23","Avery",5,9,"Castilleja",1.115,0.665,0.45,1.03889740835031,5,0.645503253231493,"C. septentrionalis"
2023,"7/26/23","Avery",5,10,"Control",1.005,0.355,0.65,1.03925170330881,4,0.749661639299517,"C. septentrionalis"
2023,"7/26/23","Avery",6,11,"Castilleja",1.21,0.86,0.3,1.39624513283157,6,0.779259245903755,"C. septentrionalis"
2023,"7/26/23","Avery",6,12,"Control",1.2,0.8,0.3,1.5293391180588,6,0.853540413389129,"C. septentrionalis"
2023,"7/26/23","Avery",7,13,"Castilleja",1.21,0.58,0.6,1.47213599415519,6,0.821614742066597,"C. septentrionalis"
2023,"7/26/23","Avery",7,14,"Control",1.09,0.59,0.45,1.6636317575452,6,0.928490562554103,"C. septentrionalis"
2023,"7/27/23","Avery",8,15,"Castilleja",1.03,0.73,0.3,1.40714601977174,7,0.72313000703289,"C. septentrionalis"
2023,"7/27/23","Avery",8,16,"Control",1.06,0.31,0.75,1.15727508345053,4,0.834797511919221,"C. septentrionalis"
2023,"7/27/23","Avery",9,17,"Castilleja",1.025,0.625,0.4,1.35704032769409,6,0.757378627544656,"C. septentrionalis"
2023,"7/27/23","Avery",9,18,"Control",1.01,0.86,0.15,1.56359012495089,7,0.803526373357972,"C. septentrionalis"
2023,"7/27/23","Avery",10,19,"Castilleja",1.2,0.61,0.55,2.06276810915054,9,0.938806224191847,"C. septentrionalis"
2023,"7/27/23","Avery",10,20,"Control",1.21,0.51,0.7,1.63742204806482,6,0.913862645174285,"C. septentrionalis"
2023,"7/27/23","Avery",11,21,"Castilleja",1.43,0.88,0.55,1.7038502794628,6,0.950936947020499,"C. septentrionalis"
2023,"7/27/23","Avery",11,22,"Control",1.08,0.73,0.35,1.53539788466739,7,0.789038427808595,"C. septentrionalis"
2023,"7/27/23","Avery",12,23,"Castilleja",1.16,0.81,0.35,1.51293330929512,7,0.777493919762743,"C. septentrionalis"
2023,"7/27/23","Avery",12,24,"Control",1.16,0.96,0.2,1.41518982742204,7,0.727263706450721,"C. septentrionalis"
2023,"7/28/23","Avery",13,25,"Castilleja",1.035,0.585,0.45,1.46508337585343,7,0.752903918284555,"C. septentrionalis"
2023,"7/28/23","Avery",13,26,"Control",1.19,0.57,0.6,1.69900745323772,8,0.817049875739817,"C. septentrionalis"
2023,"7/28/23","Avery",14,27,"Castilleja",1.02,0.83,0.15,1.66514302736734,7,0.855714241572622,"C. septentrionalis"
2023,"7/28/23","Avery",14,28,"Control",1.135,0.485,0.65,1.2730996187006,5,0.791021268273202,"C. septentrionalis"
2023,"7/28/23","Avery",15,29,"Castilleja",1.18,0.68,0.5,1.84161626827863,8,0.885630219155337,"C. septentrionalis"
2023,"7/28/23","Avery",15,30,"Control",1.055,0.505,0.55,1.39573741457557,6,0.77897588294979,"C. septentrionalis"
2023,"7/28/23","Avery",16,31,"Castilleja",1.02,0.82,0.15,1.54294625556285,7,0.792917523099363,"C. septentrionalis"
2023,"7/28/23","Avery",16,32,"Control",1.07,0.45,0.6,1.28260649332321,5,0.79692822159471,"C. septentrionalis"
2023,"7/28/23","Avery",17,33,"Castilleja",1.11,0.76,0.3,1.65737804261012,8,0.797030360983958,"C. septentrionalis"
2023,"7/28/23","Avery",17,34,"Control",1.14,0.66,0.4,1.62183066294799,7,0.833456089293408,"C. septentrionalis"
2023,"7/28/23","Avery",18,35,"Castilleja",1.025,0.625,0.4,1.09519594808771,5,0.680483502735031,"C. septentrionalis"
2023,"7/28/23","Avery",18,36,"Control",1,0.51,0.45,1.6546984846522,7,0.850346808384503,"C. septentrionalis"
2023,"7/28/23","Avery",19,37,"Castilleja",1.01,0.66,0.35,1.50272368489547,6,0.838686057310407,"C. septentrionalis"
2023,"7/28/23","Avery",19,38,"Control",1,0.41,0.59,1.54981277285642,6,0.864966977696022,"C. septentrionalis"
2023,"7/28/23","Avery",20,39,"Castilleja",1.15,0.95,0.2,0.993648111687675,5,0.617388284450743,"C. septentrionalis"
2023,"7/28/23","Avery",20,40,"Control",1.005,0.705,0.3,1.13474741096294,5,0.705058208332349,"C. septentrionalis"
2024,"10-Jul","Avery",21,41,"Castilleja",1.11,0.86,0.25,1.92509388098272,8,0.925774465113152,"C. septentrionalis"
2024,"10-Jul","Avery",21,42,"Control",1.39,1.29,0.1,1.78124181063602,12,0.716824437162653,"C. septentrionalis"
2024,"10-Jul","Avery",22,43,"Castilleja",1.22,1.17,0.05,1.51233889313954,8,0.727281273758641,"C. septentrionalis"
2024,"10-Jul","Avery",22,44,"Control",1.02,0.92,0.1,1.21982088085146,7,0.626863928657577,"C. septentrionalis"
2024,"10-Jul","Avery",23,45,"Castilleja",1.055,1.005,0.05,1.43196982219664,12,0.576267049033332,"C. septentrionalis"
2024,"10-Jul","Avery",23,46,"Control",1.045,0.895,0.15,0.737877108920608,9,0.33582234448477,"C. septentrionalis"
2024,"10-Jul","Avery",24,47,"Castilleja",1.24,1.14,0.1,0.998748488732122,8,0.48029649726306,"C. septentrionalis"
2024,"10-Jul","Avery",24,48,"Control",1,0.75,0.25,1.73698905077539,10,0.754364759878119,"C. septentrionalis"
2024,"10-Jul","Avery",25,49,"Castilleja",1.35,1.3,0.05,1.21026958248337,10,0.52561340128788,"C. septentrionalis"
2024,"10-Jul","Avery",25,50,"Control",1.065,0.965,0.1,1.53306854991187,8,0.737250131433564,"C. septentrionalis"
2024,"10-Jul","Avery",26,51,"Castilleja",1,0.84,0.16,1.5342723805965,7,0.788460033132235,"C. septentrionalis"
2024,"10-Jul","Avery",26,52,"Control",1.3,1.22,0.08,1.0874960739583,9,0.494940792659761,"C. septentrionalis"
