"year","date","site","pair","plot","castilleja","total_cover","plant_cover","bare","div","rich","even"
2024,"6/9/2024","Almont",1,1,"Castilleja",1,0.55,0.45,1.64797100023366,14,0.624454414741308
2024,"6/9/2024","Almont",1,2,"Control",1.005,0.285,0.72,1.31675726753685,8,0.633226393309971
2024,"6/9/2024","Almont",2,3,"Castilleja",1.015,0.545,0.47,1.85239720160226,11,0.772509634851773
2024,"6/9/2024","Almont",2,4,"Control",1,0.35,0.65,1.22247581984901,7,0.628228297407506
2024,"6/9/2024","Almont",3,5,"Castilleja",1,0.48,0.52,2.00685633562317,11,0.836924096889832
2024,"6/9/2024","Almont",3,6,"Control",1.005,0.565,0.44,1.81094916802732,9,0.824198485082853
2024,"6/9/2024","Almont",4,7,"Castilleja",1.185,0.685,0.5,1.66569024429184,9,0.758088299882037
2024,"6/9/2024","Almont",4,8,"Control",1.035,0.285,0.75,1.98134213512564,10,0.860485956047472
2024,"6/9/2024","Almont",5,9,"Castilleja",1.0225,0.4725,0.55,1.64459402412889,11,0.685848978804496
2024,"6/9/2024","Almont",5,10,"Control",1.005,0.705,0.3,1.80573600084909,11,0.753050402714952
2024,"6/9/2024","Almont",6,11,"Castilleja",1.035,0.435,0.6,2.52508317686104,14,0.956812551407953
2024,"6/9/2024","Almont",6,12,"Control",1.05,0.9,0.15,1.96689944935651,13,0.76683753760468
2024,"6/9/2024","Almont",7,13,"Castilleja",1.075,0.375,0.7,2.08246546816244,9,0.947770878608636
2024,"6/9/2024","Almont",7,14,"Control",1,0.5,0.5,2.06732246232014,11,0.862140430306428
2024,"6/9/2024","Almont",8,15,"Castilleja",1.085,0.635,0.45,1.25660796691497,9,0.571906931988903
2024,"6/9/2024","Almont",8,16,"Control",1.14,0.99,0.15,1.50282486926405,11,0.626726649121016
2024,"6/9/2024","Almont",9,17,"Castilleja",1.07,0.57,0.5,2.14068163726352,13,0.834590215606477
2024,"6/9/2024","Almont",9,18,"Control",1.005,0.495,0.51,1.52320264433415,12,0.61298183755277
2024,"6/9/2024","Almont",10,19,"Castilleja",1.08,0.58,0.5,1.77425590094624,12,0.71401310028995
2024,"6/9/2024","Almont",10,20,"Control",1.025,0.525,0.5,1.85212732239809,11,0.772397086481863
2024,"6/9/2024","Almont",11,21,"Castilleja",0.98,0.48,0.5,1.7912488475081,11,0.747008790512228
2024,"6/9/2024","Almont",11,22,"Control",1.025,0.575,0.45,2.05418807172474,12,0.82666609303009
2024,"6/9/2024","Almont",12,23,"Castilleja",1.09,0.69,0.4,1.48755612303944,11,0.620359087368917
2024,"6/9/2024","Almont",12,24,"Control",1,0.37,0.63,2.29732128719513,14,0.870508291508033
2024,"6/9/2024","Almont",13,25,"Castilleja",1.005,0.515,0.49,2.05277864011704,11,0.856075185352622
2024,"6/9/2024","Almont",13,26,"Control",1,0.49,0.51,2.01032197190774,10,0.873071739248395
2024,"6/9/2024","Almont",14,27,"Castilleja",1.205,0.505,0.7,1.77478128142045,11,0.740141282045758
2024,"6/9/2024","Almont",14,28,"Control",1.12,0.37,0.75,1.57263264284384,9,0.715735960295147
2024,"6/9/2024","Almont",15,29,"Castilleja",1,0.57,0.43,1.86625961428877,14,0.707169030905763
2024,"6/9/2024","Almont",15,30,"Control",1.06,0.41,0.65,2.04870587878831,14,0.776302149937374
2024,"6/24/2024","Almont",16,31,"Castilleja",1.005,0.685,0.32,1.45552199776205,11,0.606999819497303
2024,"6/24/2024","Almont",16,32,"Control",1,0.65,0.35,1.53490583283995,11,0.640105450080268
2024,"6/24/2024","Almont",17,33,"Castilleja",1,0.38,0.62,2.27575841560383,13,0.887252767382545
2024,"6/24/2024","Almont",17,34,"Control",1.005,0.725,0.28,1.63029788832923,13,0.635606267853448
2024,"6/24/2024","Almont",18,35,"Castilleja",1.09,0.36,0.73,2.1507787522657,14,0.814979927919663
2024,"6/24/2024","Almont",18,36,"Control",1.005,0.485,0.52,1.79616409941008,9,0.817469510370958
2024,"6/24/2024","Almont",19,37,"Castilleja",1.085,0.485,0.6,1.75784987537591,13,0.685335119877613
2024,"6/24/2024","Almont",19,38,"Control",1,0.46,0.54,1.16211013931806,8,0.558856844986982
2024,"6/24/2024","Almont",20,39,"Castilleja",1,0.31,0.69,2.06544260623232,11,0.861356469426591
2024,"6/24/2024","Almont",20,40,"Control",1.015,0.615,0.4,1.86413688364982,10,0.809584362081441
