"Year","Date","Site","Field.plot","Pair","Plot","Treatment","Achnatherum.sp.","Agoseris.sp.","Castilleja.septentrionalis","Taraxacum.officinale","Elymus.lanceolatus","Erigeron.subtrinervis","Lathyrus.lanszwertii","Poa.pratensis","Deschampsia.cespitosa","Potentilla.pulcherrima","Thalictrum.fendleri","Achillea.millefolium","Ipomopsis.aggregata","Valeriana.occidentalis","Solidago.multiradiata","Boechera.stricta","Artemisia.dracunculus","Dactylis.glomerata","Carex.sp.","Fragaria.virginiana","Anemone.multifida","Hymenoxys.hoopesii","Senecio.crassulus","Cirsium.griseum","Pyrrocoma.crocea","Phleum.alpinum","Draba.spectabilis","Erigeron.leiomerus","Poa.alpina","Erigeron.coulteri","Eremogone.congesta","Valeriana.edulis","Delphinium.barbeyi","Viola.adunca","Androsace.septentrionales","Aquilegia.coerulea","Astragalus.alpinus","Botrychium.sp.","Bromus.inermis","Campanula.petiolata","Carex.sp...obtusata..geyeri.","Carex.pityophila","Carex.sp...chalciolepis..ebenea..egglestonii..hoodii..","Chenopodium.atrovirens","Cymopterus.lemmonii","Danthonia.parryi","Delphinium.nuttalianum","Erigeron.speciosus","Eriogonum.umbellatum.majus","Frasera.speciosa","Galium.boreale","Gentiana.parryi","Helianthella.quinquenerva","Heterotheca.sp.","Lomatium.triternatum","Lupinus.argenteus","Maianthemum.stellatum","Mertensia.brevistyla","Moehringia.sp.","Noccaea.fendleri","Oreochrysum.parryi","Poa.compressa","Poa.fendleriana","Polygonum.sp.","Populus.balsamifera","Potentilla.glaucophylla","Sedum.lanceolatum","Sibbaldia.procumbens","Silene.drummondii","Trisetum.canescens","Trisetum.spicatum","Vicia.americana"
2023,"7/25/23","Avery","E1",1,1,"Castilleja",0,15,1,16,3,5,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/25/23","Avery","E1C",1,2,"Control",0,7,0,6,4,1,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/25/23","Avery","E2",2,3,"Castilleja",3,0,1,8,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/25/23","Avery","E2C",2,4,"Control",1,0,0,4,1,6,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/26/23","Avery","E3",3,5,"Castilleja",0,0,2,5,1,8,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/26/23","Avery","E3C",3,6,"Control",0,3,0,4,4,2,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/26/23","Avery","E4",4,7,"Castilleja",0,3,1,5,1,5,0,13,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/26/23","Avery","E4C",4,8,"Control",0,3,0,8,0,8,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/26/23","Avery","E5",5,9,"Castilleja",0,3,1,13,1,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"7/26/23","Avery","E5C",5,10,"Control",0,0,0,4,2,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
